,date,open,close,high,low,volume,code
0,2016-01-04,9.553,8.995,9.577,8.94,563497.0,000001
1,2016-01-05,8.972,9.075,9.21,8.876,663269.0,000001
2,2016-01-06,9.091,9.179,9.202,9.067,515706.0,000001
3,2016-01-07,9.083,8.709,9.083,8.685,174761.0,000001
4,2016-01-08,8.924,8.852,8.987,8.677,747527.0,000001
5,2016-01-11,8.757,8.566,8.82,8.502,732013.0,000001
6,2016-01-12,8.621,8.605,8.685,8.47,561642.0,000001
7,2016-01-13,8.669,8.526,8.709,8.518,391709.0,000001
8,2016-01-14,8.43,8.574,8.597,8.343,666314.0,000001
9,2016-01-15,8.486,8.327,8.597,8.295,448202.0,000001
10,2016-01-18,8.231,8.287,8.406,8.199,421040.0,000001
11,2016-01-19,8.319,8.526,8.582,8.287,501109.0,000001
12,2016-01-20,8.518,8.39,8.597,8.311,603752.0,000001
13,2016-01-21,8.343,8.215,8.558,8.215,606145.0,000001
14,2016-01-22,8.279,8.279,8.319,8.136,466752.0,000001
15,2016-01-25,8.279,8.255,8.311,8.223,376431.0,000001
16,2016-01-26,8.215,7.857,8.215,7.849,647901.0,000001
17,2016-01-27,7.905,7.865,7.945,7.642,569037.0,000001
18,2016-01-28,7.817,7.714,7.873,7.682,302540.0,000001
19,2016-01-29,7.754,7.961,8.024,7.714,544435.0,000001
20,2016-02-01,7.945,7.801,7.969,7.754,417732.0,000001
21,2016-02-02,7.801,7.921,7.984,7.785,369104.0,000001
22,2016-02-03,7.841,7.841,7.873,7.777,274572.0,000001
23,2016-02-04,7.873,7.921,7.961,7.865,373099.0,000001
24,2016-02-05,7.929,7.897,7.937,7.889,270893.0,000001
25,2016-02-15,7.69,7.793,7.841,7.682,278499.0,000001
26,2016-02-16,7.833,7.969,7.984,7.825,428386.0,000001
27,2016-02-17,7.984,8.08,8.136,7.953,585167.0,000001
28,2016-02-18,8.104,8.032,8.136,8.032,406178.0,000001
29,2016-02-19,8.032,7.992,8.072,7.953,318898.0,000001
30,2016-02-22,8.064,8.191,8.207,8.008,617739.0,000001
31,2016-02-23,8.191,8.056,8.191,8.0,425874.0,000001
32,2016-02-24,8.008,8.08,8.08,7.969,300103.0,000001
33,2016-02-25,8.056,7.698,8.064,7.642,622072.0,000001
34,2016-02-26,7.777,7.793,7.825,7.69,392154.0,000001
35,2016-02-29,7.793,7.61,7.809,7.499,566896.0,000001
36,2016-03-01,7.658,7.722,7.777,7.626,377910.0,000001
37,2016-03-02,7.762,8.04,8.064,7.738,676613.0,000001
38,2016-03-03,8.032,8.048,8.104,7.992,553089.0,000001
39,2016-03-04,8.032,8.279,8.359,8.016,1381249.0,000001
40,2016-03-07,8.239,8.231,8.351,8.199,606352.0,000001
41,2016-03-08,8.247,8.183,8.247,7.913,643156.0,000001
42,2016-03-09,8.072,8.096,8.136,7.992,325900.0,000001
43,2016-03-10,8.152,8.08,8.239,8.064,474020.0,000001
44,2016-03-11,8.04,8.088,8.136,7.992,383736.0,000001
45,2016-03-14,8.128,8.168,8.327,8.128,655158.0,000001
46,2016-03-15,8.183,8.215,8.247,8.088,417920.0,000001
47,2016-03-16,8.176,8.239,8.319,8.16,664886.0,000001
48,2016-03-17,8.247,8.295,8.343,8.199,610996.0,000001
49,2016-03-18,8.295,8.39,8.414,8.279,797215.0,000001
50,2016-03-21,8.398,8.597,8.645,8.398,920432.0,000001
51,2016-03-22,8.574,8.534,8.709,8.51,625482.0,000001
52,2016-03-23,8.526,8.518,8.574,8.446,430278.0,000001
53,2016-03-24,8.446,8.375,8.462,8.359,372406.0,000001
54,2016-03-25,8.367,8.43,8.438,8.359,237070.0,000001
55,2016-03-28,8.454,8.343,8.478,8.319,358621.0,000001
56,2016-03-29,8.367,8.303,8.375,8.263,318317.0,000001
57,2016-03-30,8.343,8.518,8.518,8.335,539699.0,000001
58,2016-03-31,8.526,8.47,8.558,8.47,418387.0,000001
59,2016-04-01,8.454,8.486,8.51,8.359,369341.0,000001
60,2016-04-05,8.454,8.518,8.605,8.359,592308.0,000001
61,2016-04-06,8.502,8.534,8.558,8.446,435259.0,000001
62,2016-04-07,8.534,8.43,8.542,8.43,377719.0,000001
63,2016-04-08,8.398,8.414,8.494,8.359,376553.0,000001
64,2016-04-11,8.438,8.534,8.597,8.438,786386.0,000001
65,2016-04-12,8.518,8.494,8.526,8.454,298599.0,000001
66,2016-04-13,8.542,8.605,8.733,8.526,856760.0,000001
67,2016-04-14,8.661,8.629,8.677,8.589,323646.0,000001
68,2016-04-15,8.629,8.661,8.709,8.597,497224.0,000001
69,2016-04-18,8.613,8.542,8.637,8.542,350654.0,000001
70,2016-04-19,8.574,8.574,8.605,8.526,218239.0,000001
71,2016-04-20,8.574,8.375,8.582,8.247,606586.0,000001
72,2016-04-21,8.375,8.367,8.462,8.319,558799.0,000001
73,2016-04-22,8.327,8.398,8.454,8.287,359677.0,000001
74,2016-04-25,8.406,8.359,8.406,8.295,349257.0,000001
75,2016-04-26,8.343,8.43,8.438,8.327,291699.0,000001
76,2016-04-27,8.422,8.414,8.446,8.375,239553.0,000001
77,2016-04-28,8.422,8.486,8.566,8.39,457460.0,000001
78,2016-04-29,8.47,8.414,8.47,8.398,404977.0,000001
79,2016-05-03,8.422,8.502,8.534,8.375,489102.0,000001
80,2016-05-04,8.502,8.534,8.558,8.486,412435.0,000001
81,2016-05-05,8.51,8.534,8.534,8.478,239516.0,000001
82,2016-05-06,8.542,8.375,8.542,8.375,346545.0,000001
83,2016-05-09,8.359,8.239,8.382,8.215,411171.0,000001
84,2016-05-10,8.231,8.183,8.255,8.176,292599.0,000001
85,2016-05-11,8.199,8.255,8.311,8.199,327289.0,000001
86,2016-05-12,8.207,8.263,8.279,8.16,325885.0,000001
87,2016-05-13,8.239,8.239,8.279,8.223,184266.0,000001
88,2016-05-16,8.215,8.247,8.247,8.16,215224.0,000001
89,2016-05-17,8.247,8.199,8.255,8.152,250424.0,000001
90,2016-05-18,8.191,8.199,8.215,8.096,534150.0,000001
91,2016-05-19,8.176,8.16,8.215,8.16,170777.0,000001
92,2016-05-20,8.152,8.199,8.223,8.112,206703.0,000001
93,2016-05-23,8.223,8.183,8.231,8.16,323646.0,000001
94,2016-05-24,8.176,8.128,8.183,8.112,259294.0,000001
95,2016-05-25,8.16,8.144,8.183,8.112,204235.0,000001
96,2016-05-26,8.136,8.136,8.176,8.096,261396.0,000001
97,2016-05-27,8.136,8.176,8.191,8.112,222818.0,000001
98,2016-05-30,8.16,8.183,8.183,8.12,380946.0,000001
99,2016-05-31,8.168,8.398,8.414,8.168,946467.0,000001
100,2016-06-01,8.367,8.343,8.398,8.311,556750.0,000001
101,2016-06-02,8.335,8.327,8.343,8.295,293036.0,000001
102,2016-06-03,8.335,8.359,8.375,8.287,423389.0,000001
103,2016-06-06,8.367,8.367,8.382,8.319,338332.0,000001
104,2016-06-07,8.375,8.375,8.382,8.343,229282.0,000001
105,2016-06-08,8.39,8.359,8.39,8.327,268188.0,000001
106,2016-06-13,8.327,8.223,8.335,8.223,344816.0,000001
107,2016-06-14,8.231,8.279,8.287,8.215,273637.0,000001
108,2016-06-15,8.223,8.311,8.343,8.215,378172.0,000001
109,2016-06-16,8.311,8.311,8.34,8.272,386670.0,000001
110,2016-06-17,8.311,8.32,8.349,8.282,315173.0,000001
111,2016-06-20,8.33,8.34,8.34,8.301,270731.0,000001
112,2016-06-21,8.349,8.349,8.388,8.32,380749.0,000001
113,2016-06-22,8.34,8.466,8.466,8.32,478002.0,000001
114,2016-06-23,8.408,8.398,8.437,8.369,335614.0,000001
115,2016-06-24,8.379,8.311,8.437,8.262,427664.0,000001
116,2016-06-27,8.311,8.349,8.379,8.282,325214.0,000001
117,2016-06-28,8.32,8.369,8.379,8.301,336519.0,000001
118,2016-06-29,8.369,8.427,8.427,8.359,369611.0,000001
119,2016-06-30,8.427,8.437,8.476,8.398,362204.0,000001
120,2016-07-01,8.427,8.446,8.466,8.417,348930.0,000001
121,2016-07-04,8.427,8.543,8.592,8.408,608257.0,000001
122,2016-07-05,8.534,8.543,8.563,8.505,422037.0,000001
123,2016-07-06,8.534,8.524,8.553,8.495,322950.0,000001
124,2016-07-07,8.524,8.514,8.534,8.476,312853.0,000001
125,2016-07-08,8.524,8.476,8.524,8.466,261342.0,000001
126,2016-07-11,8.485,8.485,8.524,8.476,365372.0,000001
127,2016-07-12,8.485,8.611,8.621,8.476,711832.0,000001
128,2016-07-13,8.611,8.718,8.776,8.592,798288.0,000001
129,2016-07-14,8.699,8.669,8.728,8.64,359699.0,000001
130,2016-07-15,8.679,8.718,8.728,8.64,352033.0,000001
131,2016-07-18,8.718,8.766,8.805,8.699,506934.0,000001
132,2016-07-19,8.766,8.699,8.776,8.679,362787.0,000001
133,2016-07-20,8.689,8.689,8.718,8.679,310926.0,000001
134,2016-07-21,8.679,8.718,8.737,8.679,340261.0,000001
135,2016-07-22,8.718,8.669,8.718,8.65,295549.0,000001
136,2016-07-25,8.66,8.708,8.708,8.64,264682.0,000001
137,2016-07-26,8.699,8.834,8.844,8.699,546556.0,000001
138,2016-07-27,8.844,8.737,8.892,8.64,818678.0,000001
139,2016-07-28,8.708,8.805,8.834,8.699,479910.0,000001
140,2016-07-29,8.805,8.922,8.96,8.757,671425.0,000001
141,2016-08-01,8.902,8.999,9.057,8.892,759324.0,000001
142,2016-08-02,8.96,8.97,8.98,8.892,449165.0,000001
143,2016-08-03,8.931,8.902,8.941,8.873,424622.0,000001
144,2016-08-04,8.892,8.718,8.902,8.66,1344462.0,000001
145,2016-08-05,8.718,8.766,8.796,8.679,725948.0,000001
146,2016-08-08,8.766,8.834,8.834,8.737,398479.0,000001
147,2016-08-09,8.815,8.873,8.873,8.796,415676.0,000001
148,2016-08-10,8.873,8.863,8.902,8.844,436655.0,000001
149,2016-08-11,8.863,8.941,9.067,8.854,935576.0,000001
150,2016-08-12,8.922,9.213,9.242,8.902,1370021.0,000001
151,2016-08-15,9.261,9.387,9.503,9.222,1897552.0,000001
152,2016-08-16,9.387,9.232,9.387,9.174,1099558.0,000001
153,2016-08-17,9.232,9.261,9.309,9.193,560725.0,000001
154,2016-08-18,9.271,9.213,9.3,9.145,691504.0,000001
155,2016-08-19,9.203,9.222,9.232,9.145,505334.0,000001
156,2016-08-22,9.213,9.116,9.222,9.077,979432.0,000001
157,2016-08-23,9.096,9.116,9.164,9.086,890656.0,000001
158,2016-08-24,9.125,9.145,9.145,9.096,732281.0,000001
159,2016-08-25,9.135,9.154,9.164,9.057,617389.0,000001
160,2016-08-26,9.164,9.164,9.183,9.116,502233.0,000001
161,2016-08-29,9.125,9.135,9.164,9.096,565231.0,000001
162,2016-08-30,9.135,9.183,9.183,9.125,595081.0,000001
163,2016-08-31,9.174,9.203,9.213,9.145,489746.0,000001
164,2016-09-01,9.203,9.164,9.232,9.135,480131.0,000001
165,2016-09-02,9.145,9.164,9.174,9.135,368796.0,000001
166,2016-09-05,9.174,9.135,9.174,9.116,469936.0,000001
167,2016-09-06,9.135,9.125,9.145,9.077,574738.0,000001
168,2016-09-07,9.125,9.116,9.135,9.086,459373.0,000001
169,2016-09-08,9.106,9.116,9.135,9.096,295218.0,000001
170,2016-09-09,9.116,9.096,9.145,9.077,327431.0,000001
171,2016-09-12,9.009,8.883,9.038,8.854,756581.0,000001
172,2016-09-13,8.902,8.912,8.931,8.863,460931.0,000001
173,2016-09-14,8.892,8.786,8.902,8.776,421481.0,000001
174,2016-09-19,8.776,8.844,8.863,8.776,354348.0,000001
175,2016-09-20,8.844,8.805,8.844,8.766,436678.0,000001
176,2016-09-21,8.805,8.805,8.825,8.757,405665.0,000001
177,2016-09-22,8.825,8.883,8.902,8.815,494613.0,000001
178,2016-09-23,8.883,8.873,8.912,8.863,288798.0,000001
179,2016-09-26,8.854,8.766,8.854,8.766,439481.0,000001
