,date,open,close,high,low,volume,code
0,2005-04-29,984.66,932.4,1008.73,914.83,187171470.0,hs300
1,2005-05-31,934.65,855.95,937.39,842.1,141907943.0,hs300
2,2005-06-30,855.21,878.69,925.36,807.78,312585658.0,hs300
3,2005-07-29,875.93,888.16,901.0,818.86,240896707.0,hs300
4,2005-08-31,887.72,927.92,959.34,885.85,445921200.0,hs300
5,2005-09-30,928.52,917.39,971.99,901.38,348097278.0,hs300
6,2005-10-31,917.21,876.28,926.09,859.69,171928729.0,hs300
7,2005-11-30,875.96,873.83,886.74,847.49,229226003.0,hs300
8,2005-12-30,873.47,923.45,934.0,855.72,255538467.0,hs300
9,2006-01-25,926.56,1009.6,1009.65,926.41,374806100.0,hs300
10,2006-02-28,1013.42,1053.01,1057.22,1012.81,393093400.0,hs300
11,2006-03-31,1051.76,1061.09,1074.04,999.93,420437400.0,hs300
12,2006-04-28,1061.96,1172.35,1173.88,1061.96,706071500.0,hs300
13,2006-05-31,1179.58,1365.45,1387.57,1179.58,988143700.0,hs300
14,2006-06-30,1364.18,1393.96,1413.11,1269.52,793216600.0,hs300
15,2006-07-31,1398.74,1294.33,1430.94,1293.53,594780600.0,hs300
16,2006-08-31,1292.71,1338.69,1349.2,1221.99,407744700.0,hs300
17,2006-09-29,1339.31,1403.27,1405.56,1314.57,521242800.0,hs300
18,2006-10-31,1420.36,1464.47,1464.48,1403.01,538312900.0,hs300
19,2006-11-30,1465.67,1714.36,1714.49,1453.26,1001154000.0,hs300
20,2006-12-29,1719.28,2041.05,2052.86,1705.91,1277622500.0,hs300
21,2007-01-31,2073.25,2385.33,2599.45,2030.76,1692228200.0,hs300
22,2007-02-28,2350.6,2544.57,2719.52,2198.9,1009261600.0,hs300
23,2007-03-30,2550.26,2781.78,2830.08,2409.72,1578690200.0,hs300
24,2007-04-30,2793.96,3558.71,3568.68,2793.96,1945243300.0,hs300
25,2007-05-31,3643.81,3927.95,4168.53,3556.61,1897376600.0,hs300
26,2007-06-29,3953.1,3764.08,4292.2,3246.73,1788221500.0,hs300
27,2007-07-31,3746.18,4460.56,4467.65,3475.27,1124137000.0,hs300
28,2007-08-31,4479.3,5296.81,5307.42,4271.06,1676872400.0,hs300
29,2007-09-28,5335.05,5580.81,5590.85,5059.46,1229233000.0,hs300
30,2007-10-31,5703.28,5688.54,5891.72,5266.37,932426500.0,hs300
31,2007-11-30,5701.49,4737.41,5702.21,4619.51,682749000.0,hs300
32,2007-12-28,4714.92,5338.27,5391.67,4689.52,707407600.0,hs300
33,2008-01-31,5349.76,4620.4,5756.92,4606.14,1113566800.0,hs300
34,2008-02-29,4623.62,4674.55,5062.26,4394.59,497368000.0,hs300
35,2008-03-31,4648.73,3790.53,4836.66,3658.04,729076000.0,hs300
36,2008-04-30,3776.27,3959.12,3970.57,3122.39,900616500.0,hs300
37,2008-05-30,4015.21,3611.33,4075.57,3533.47,839167900.0,hs300
38,2008-06-30,3600.23,2791.82,3650.48,2691.87,649936500.0,hs300
39,2008-07-31,2799.2,2805.21,3056.91,2617.26,961731000.0,hs300
40,2008-08-29,2786.12,2391.64,2868.68,2273.89,560880900.0,hs300
41,2008-09-26,2372.64,2243.66,2372.64,1804.77,717351400.0,hs300
42,2008-10-31,2206.56,1663.66,2206.56,1607.67,762853100.0,hs300
43,2008-11-28,1648.56,1829.92,1994.82,1606.73,1216727700.0,hs300
44,2008-12-31,1823.77,1817.72,2107.6,1799.84,1435860300.0,hs300
45,2009-01-23,1848.33,2032.68,2054.33,1837.84,934225700.0,hs300
46,2009-02-27,2052.44,2140.49,2470.62,2029.72,2235286600.0,hs300
47,2009-03-31,2123.37,2507.79,2516.38,2100.64,1994149500.0,hs300
48,2009-04-30,2519.89,2622.93,2713.3,2457.42,2126071400.0,hs300
49,2009-05-27,2635.13,2759.71,2849.64,2632.3,1630504900.0,hs300
50,2009-06-30,2798.93,3166.47,3195.72,2798.93,2095254400.0,hs300
51,2009-07-31,3153.54,3734.62,3765.59,3150.65,2836509300.0,hs300
52,2009-08-31,3754.22,2830.27,3803.06,2825.77,1972255600.0,hs300
53,2009-09-30,2804.58,3004.8,3330.43,2795.49,1624524700.0,hs300
54,2009-10-30,3078.75,3280.37,3436.39,3071.27,1089182800.0,hs300
55,2009-11-30,3205.83,3511.67,3698.13,3198.31,1988044300.0,hs300
56,2009-12-31,3507.56,3575.684,3672.8,3296.29,1648027591.0,hs300
57,2010-01-29,3592.468,3204.155,3597.75,3168.46,1501909123.0,hs300
