成交日期,证券代码,证券名称,成交量,成交均价,成交金额,手续费,发生金额
20180313,510300,300ETF,100,4.108,410.8,0.12,410.92
20180313,513100,纳指ETF,200,2.367,473.4,0.14,473.54
20180327,510300,300ETF,100,3.91,391,0.12,391.12
20180327,513100,纳指ETF,300,2.25,675,0.2,675.2
20180411,510300,300ETF,200,3.94,788,0.24,788.24
20180412,513100,纳指ETF,100,2.177,217.7,0.1,217.8
20180423,510300,300ETF,100,3.75,375,0.11,375.11
20180423,513100,纳指ETF,300,2.205,661.5,0.2,661.7
20180510,510300,300ETF,200,3.87,774,0.23,774.23
20180510,513100,纳指ETF,100,2.301,230.1,0.1,230.2
20180523,513100,纳指ETF,200,2.3,460,0.14,460.14
20180523,510300,300ETF,100,3.87,387,0.12,387.12
20180607,513100,纳指ETF,300,2.437,731.1,0.22,731.32
20180607,510300,300ETF,100,3.837,383.7,0.12,383.82
20180608,510300,300ETF,100,3.782,378.2,0.11,378.31
20180608,513100,纳指ETF,200,2.406,481.2,0.14,481.34
20180622,513100,纳指ETF,300,2.475,742.5,0.22,742.72
20180622,510300,300ETF,100,3.61,361,0.11,361.11
20180702,513100,纳指ETF,200,2.441,488.2,0.15,488.35
20180702,513100,纳指ETF,100,2.442,244.2,0.1,244.3
20180702,510300,300ETF,100,3.43,343,0.1,343.1
20180711,510300,300ETF,100,3.444,344.4,0.1,344.5
20180711,513100,纳指ETF,200,2.563,512.6,0.15,512.75
20180720,513100,纳指ETF,100,2.611,261.1,0.1,261.2
20180720,510300,300ETF,200,3.486,697.2,0.21,697.41
20180731,510300,300ETF,200,3.576,715.2,0.22,715.42
20180731,513100,纳指ETF,400,2.587,1034.8,0.31,1035.11
20180810,510300,300ETF,100,3.44,344,0.1,344.1
20180810,513100,纳指ETF,200,2.665,533,0.16,533.16
20180821,513100,纳指ETF,300,2.64,792,0.24,792.24
20180821,510300,300ETF,100,3.38,338,0.1,338.1
20180903,513100,纳指ETF,100,2.745,274.5,0.1,274.6
20180903,513100,纳指ETF,100,2.744,274.4,0.1,274.5
20180905,510300,300ETF,100,3.402,340.2,0.1,340.3
20180910,513100,纳指ETF,100,2.676,267.6,0.1,267.7
20180910,510300,300ETF,200,3.307,661.4,0.2,661.6
20180920,510300,300ETF,200,3.376,675.2,0.2,675.4
20180920,513100,纳指ETF,200,2.689,537.8,0.16,537.96
20181008,510300,300ETF,100,3.37,337,0.1,337.1
20181008,513100,纳指ETF,200,2.6815,536.3,0.2,536.5
20181011,510300,300ETF,200,3.159,631.8,0.19,631.99
20181011,513100,纳指ETF,200,2.515,503,0.15,503.15
20181022,513100,纳指ETF,200,2.574,514.8,0.15,514.95
20181022,510300,300ETF,100,3.275,327.5,0.1,327.6
20181105,510300,300ETF,100,3.292,329.2,0.1,329.3
20181105,513100,纳指ETF,300,2.502,750.6,0.3,750.9
20181112,510300,300ETF,200,3.2465,649.3,0.2,649.5
20181112,513100,纳指ETF,100,2.568,256.8,0.1,256.9
20181120,513100,纳指ETF,300,2.395,718.5,0.22,718.72
20181120,510300,300ETF,100,3.28,328,0.1,328.1
20181205,510300,300ETF,200,3.323,664.6,0.2,664.8
20181205,513100,纳指ETF,100,2.442,244.2,0.1,244.3
20181214,513100,纳指ETF,100,2.412,241.2,0.1,241.3
20181214,510300,300ETF,300,3.244,973.2,0.29,973.49
20181221,510300,300ETF,200,3.076,615.2,0.18,615.38
20181221,513100,纳指ETF,100,2.26,226,0.1,226.1
20190104,510300,300ETF,100,3.074,307.4,0.1,307.5
20190104,513100,纳指ETF,300,2.216,664.8,0.2,665
