Date,Open,Close,High,Low,Volume
2016-01-04,207.277,199.671,207.277,199.661,17349.0
2016-01-05,199.671,202.352,203.446,197.303,31908.0
2016-01-06,202.314,201.744,203.151,199.005,23760.0
2016-01-07,198.711,192.283,198.711,190.191,8148.0
2016-01-08,194.128,194.565,197.769,190.163,44510.0
2016-01-11,193.167,190.03,193.766,189.592,29702.0
2016-01-12,191.209,187.111,192.16,186.36,40287.0
2016-01-13,189.307,189.954,195.868,188.832,29201.0
2016-01-14,187.415,194.746,195.849,185.894,34776.0
2016-01-15,194.679,189.212,196.039,188.261,26681.0
2016-01-18,188.261,189.621,192.445,187.501,27371.0
2016-01-19,191.114,199.899,199.985,190.172,59110.0
2016-01-20,196.819,192.369,199.823,191.123,40968.0
2016-01-21,191.361,190.41,194.527,190.068,21832.0
2016-01-22,193.12,192.768,193.396,189.031,22733.0
2016-01-25,193.015,192.797,193.481,191.589,13750.0
2016-01-26,191.104,189.222,194.413,188.737,22280.0
2016-01-27,190.144,190.096,191.009,186.074,29840.0
2016-01-28,189.925,186.968,189.925,185.998,17903.0
2016-01-29,187.767,190.781,192.54,187.31,23090.0
2016-02-01,192.16,191.389,192.825,190.058,19178.0
2016-02-02,192.064,194.489,194.727,190.771,17842.0
2016-02-03,192.616,193.643,194.499,191.589,15156.0
2016-02-04,194.727,194.907,195.754,193.529,16624.0
2016-02-05,194.907,193.842,195.088,192.568,14227.0
2016-02-15,190.163,190.553,193.015,189.783,19470.0
2016-02-16,190.695,193.89,197.769,190.695,19223.0
2016-02-17,193.719,192.35,194.841,190.648,20349.0
2016-02-18,193.205,191.789,193.586,191.209,18892.0
2016-02-19,191.703,193.12,193.186,191.237,14238.0
2016-02-22,195.868,197.579,198.074,195.868,27759.0
2016-02-23,197.551,201.962,204.406,196.838,37460.0
2016-02-24,201.763,207.03,207.306,200.631,33129.0
2016-02-25,208.038,201.962,209.636,201.696,39480.0
2016-02-26,202.619,206.175,208.466,200.869,28332.0
2016-02-29,208.219,204.339,210.016,196.628,47712.0
2016-03-01,205.338,207.677,209.464,200.051,34004.0
2016-03-02,208.228,213.192,214.409,207.915,47942.0
2016-03-03,213.933,216.605,220.57,210.757,40193.0
2016-03-04,215.721,227.035,228.348,213.943,85838.0
2016-03-07,226.398,222.148,228.195,219.686,39345.0
2016-03-08,221.825,217.936,221.825,215.835,26147.0
2016-03-09,215.835,216.253,221.207,214.979,16402.0
2016-03-10,217.727,216.843,222.205,216.786,25727.0
2016-03-11,215.397,216.833,220.475,214.409,16320.0
2016-03-14,219.41,213.524,222.015,211.271,45277.0
2016-03-15,213.743,220.513,222.861,213.306,36356.0
2016-03-16,218.896,217.366,221.064,213.933,24250.0
2016-03-17,218.687,218.269,222.586,217.071,28820.0
2016-03-18,220.589,214.884,220.836,214.675,70568.0
2016-03-21,215.512,220.57,220.608,215.502,38547.0
2016-03-22,220.836,222.956,226.465,220.113,41766.0
2016-03-23,223.632,223.413,225.343,221.235,21412.0
2016-03-24,223.441,230.725,233.33,219.923,62068.0
2016-03-25,230.572,232.93,237.504,229.165,44756.0
