Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-12-30,11.85,11.96,11.81,11.84,1541900.0,0.0,1.0,10.24262863685,10.337707890019,10.20805436297,10.23398506838,1541900.0
2011-12-29,11.81,11.95,11.79,11.88,2324700.0,0.0,1.0,10.20805436297,10.329064321549,10.19076722603,10.268559342259,2324700.0
2011-12-28,11.94,11.94,11.67,11.72,2370200.0,0.0,1.0,10.320420753079,10.320420753079,10.087044404391,10.130262246741,2370200.0
2011-12-27,11.8,11.97,11.74,11.91,2191600.0,0.0,1.0,10.1994107945,10.346351458489,10.147549383681,10.294490047669,2191600.0
2011-12-23,11.83,11.92,11.78,11.87,4001500.0,0.0,1.0,10.22534149991,10.303133616139,10.18212365756,10.259915773789,4001500.0
2011-12-22,11.66,11.84,11.64,11.8,4791300.0,0.0,1.0,10.078400835921,10.23398506838,10.061113698981,10.1994107945,4791300.0
2011-12-21,11.69,11.69,11.4899,11.59,5751700.0,0.0,1.0,10.104331541331,10.104331541331,9.931373736248,10.017895856632,5751700.0
2011-12-20,11.67,11.7562,11.58,11.69,8518000.0,0.0,1.0,10.087044404391,10.161551964602,10.009252288162,10.104331541331,8518000.0
2011-12-19,11.59,11.695,11.44,11.48,5287000.0,0.0,1.0,10.017895856632,10.108653325566,9.8882423295831,9.9228166034628,5287000.0
2011-12-16,11.65,11.75,11.43,11.5,7936900.0,0.0,1.0,10.069757267451,10.15619295215,9.8795987611132,9.9401037404026,7936900.0
2011-12-15,11.68,11.85,11.56,11.57,5811800.0,0.0,1.0,10.095687972861,10.24262863685,9.9919651512221,10.000608719692,5811800.0
2011-12-14,11.62,11.695,11.48,11.51,5527500.0,0.0,1.0,10.043826562042,10.108653325566,9.9228166034628,9.9487473088725,5527500.0
2011-12-13,11.81,11.93,11.61,11.67,7046900.0,0.0,1.0,10.20805436297,10.311777184609,10.035182993572,10.087044404391,7046900.0
2011-12-12,11.73,11.88,11.6,11.72,5027900.0,0.0,1.0,10.138905815211,10.268559342259,10.026539425102,10.130262246741,5027900.0
2011-12-09,11.6,11.9,11.59,11.86,5688000.0,0.0,1.0,10.026539425102,10.285846479199,10.017895856632,10.25127220532,5688000.0
2011-12-08,11.94,12.0,11.47,11.505,8389900.0,0.0,1.0,10.320420753079,10.372282163898,9.9141730349929,9.9444255246376,8389900.0
2011-12-07,11.99,12.12,11.96,12.04,3942400.0,0.0,1.0,10.363638595428,10.476004985537,10.337707890019,10.406856437778,3942400.0
2011-12-06,12.1,12.19,11.95,12.07,5660700.0,0.0,1.0,10.458717848598,10.536509964827,10.329064321549,10.432787143188,5660700.0
2011-12-05,12.13,12.2,11.97,12.08,5512800.0,0.0,1.0,10.484648554007,10.545153533297,10.346351458489,10.441430711658,5512800.0
2011-12-02,12.2,12.21,11.86,11.94,7119800.0,0.0,1.0,10.545153533297,10.553797101767,10.25127220532,10.320420753079,7119800.0
2011-12-01,12.01,12.235,11.965,12.11,6622400.0,0.0,1.0,10.380925732368,10.575406022941,10.342029674254,10.467361417067,6622400.0
2011-11-30,11.995,12.11,11.875,12.08,7044000.0,0.0,1.0,10.367960379663,10.467361417067,10.264237558024,10.441430711658,7044000.0
2011-11-29,11.66,11.77,11.45,11.65,5773100.0,0.0,1.0,10.078400835921,10.17348008909,9.896885898053,10.069757267451,5773100.0
2011-11-28,11.41,11.62,11.33,11.42,6274000.0,0.0,1.0,9.8623116241734,10.043826562042,9.793163076414,9.8709551926433,6274000.0
2011-11-25,11.07,11.25,11.07,11.09,1478300.0,0.0,1.0,9.5684302961962,9.7240145286547,9.5684302961962,9.5857174331361,1478300.0
2011-11-23,11.15,11.22,10.96,11.12,8625900.0,0.0,1.0,9.6375788439556,9.698083823245,9.4733510430272,9.6116481385458,8625900.0
2011-11-22,11.44,11.51,11.11,11.25,7039300.0,0.0,1.0,9.8882423295831,9.9487473088725,9.6030045700759,9.7240145286547,7039300.0
2011-11-21,11.6,11.61,11.28,11.49,5940100.0,0.0,1.0,10.026539425102,10.035182993572,9.7499452340645,9.9314601719327,5940100.0
2011-11-18,11.61,11.81,11.55,11.75,6264300.0,0.0,1.0,10.035182993572,10.20805436297,9.9833215827522,10.15619295215,6264300.0
2011-11-17,11.67,11.68,11.365,11.49,7689500.0,0.0,1.0,10.087044404391,10.095687972861,9.8234155660588,9.9314601719327,7689500.0
2011-11-16,11.65,11.92,11.56,11.7,5345000.0,0.0,1.0,10.069757267451,10.303133616139,9.9919651512221,10.112975109801,5345000.0
2011-11-15,11.65,11.88,11.61,11.82,3646000.0,0.0,1.0,10.069757267451,10.268559342259,10.035182993572,10.21669793144,3646000.0
2011-11-14,11.64,11.79,11.59,11.7,4206700.0,0.0,1.0,10.061113698981,10.19076722603,10.017895856632,10.112975109801,4206700.0
2011-11-11,11.73,11.78,11.6,11.78,3523700.0,0.0,1.0,10.138905815211,10.18212365756,10.026539425102,10.18212365756,3523700.0
2011-11-10,11.62,11.67,11.35,11.48,4755300.0,0.0,1.0,10.043826562042,10.087044404391,9.8104502133539,9.9228166034628,4755300.0
2011-11-09,11.8,11.8,11.36,11.41,7521500.0,0.0,1.0,10.1994107945,10.1994107945,9.8190937818238,9.8623116241734,7521500.0
2011-11-08,11.95,12.14,11.84,12.12,4959400.0,0.0,1.0,10.329064321549,10.493292122477,10.23398506838,10.476004985537,4959400.0
2011-11-07,11.85,11.9594,11.78,11.93,5436700.0,0.0,1.0,10.24262863685,10.337189275911,10.18212365756,10.311777184609,5436700.0
2011-11-04,11.97,12.11,11.605,11.91,8018000.0,0.0,1.0,10.346351458489,10.467361417067,10.030861209337,10.294490047669,8018000.0
2011-11-03,11.4,11.67,11.3,11.58,5835800.0,0.0,1.0,9.8536680557035,10.087044404391,9.7672323710043,10.009252288162,5835800.0
2011-11-02,11.12,11.42,11.08,11.29,5817000.0,0.0,1.0,9.6116481385458,9.8709551926433,9.5770738646662,9.7585888025344,5817000.0
2011-11-01,10.8,11.205,10.8,10.94,7131300.0,0.0,1.0,9.3350539475085,9.6851184705401,9.3350539475085,9.4560639060873,7131300.0
2011-10-31,11.49,11.5,11.22,11.22,5034200.0,0.0,1.0,9.9314601719327,9.9401037404026,9.698083823245,9.698083823245,5034200.0
2011-10-28,11.5,11.7,11.3,11.65,5400500.0,0.0,1.0,9.9401037404026,10.112975109801,9.7672323710043,10.069757267451,5400500.0
2011-10-27,11.29,11.7,11.29,11.52,9985800.0,0.0,1.0,9.7585888025344,10.112975109801,9.7585888025344,9.9573908773424,9985800.0
2011-10-26,11.13,11.25,10.86,10.96,6523200.0,0.0,1.0,9.6202917070157,9.7240145286547,9.386915358328,9.4733510430272,6523200.0
2011-10-25,11.16,11.16,10.8,10.82,5223100.0,0.0,1.0,9.6462224124255,9.6462224124255,9.3350539475085,9.3523410844484,5223100.0
2011-10-24,11.22,11.39,11.13,11.23,5623000.0,0.0,1.0,9.698083823245,9.8450244872335,9.6202917070157,9.7067273917149,5623000.0
2011-10-21,10.95,11.195,10.95,11.19,5589300.0,0.0,1.0,9.4647074745573,9.6764749020702,9.4647074745573,9.6721531178352,5589300.0
2011-10-20,10.78,10.855,10.57,10.82,5589700.0,0.0,1.0,9.3177668105687,9.3825935740931,9.1362518727005,9.3523410844484,5589700.0
2011-10-19,10.71,10.97,10.65,10.79,6712600.0,0.0,1.0,9.2572618312793,9.4819946114971,9.2054004204598,9.3264103790386,6712600.0
2011-10-18,10.26,10.82,10.18,10.7,9919000.0,0.0,1.0,8.8683012501331,9.3523410844484,8.7991527023738,9.2486182628094,9919000.0
2011-10-17,10.48,10.52,10.23,10.25,4963600.0,0.0,1.0,9.0584597564712,9.0930340303509,8.8423705447234,8.8596576816632,4963600.0
2011-10-14,10.55,10.65,10.48,10.51,5118400.0,0.0,1.0,9.1189647357607,9.2054004204598,9.0584597564712,9.084390461881,5118400.0
2011-10-13,10.36,10.455,10.14,10.39,6205400.0,0.0,1.0,8.9547369348323,9.0368508352965,8.7645784284941,8.980667640242,6205400.0
2011-10-12,10.27,10.58,10.23,10.47,5510600.0,0.0,1.0,8.876944818603,9.1448954411704,8.8423705447234,9.0498161880013,5510600.0
2011-10-11,10.26,10.46,10.195,10.21,5218200.0,0.0,1.0,8.8683012501331,9.0411726195314,8.8121180550787,8.8250834077835,5218200.0
2011-10-10,10.26,10.48,10.16,10.35,5359300.0,0.0,1.0,8.8683012501331,9.0584597564712,8.781865565434,8.9460933663623,5359300.0
2011-10-07,10.21,10.22,9.86,10.02,6427600.0,0.0,1.0,8.8250834077835,8.8337269762534,8.5225585113365,8.6608556068551,6427600.0
2011-10-06,9.69,10.22,9.66,10.16,6571900.0,0.0,1.0,8.3756178473479,8.8337269762534,8.3496871419382,8.781865565434,6571900.0
2011-10-05,9.47,9.785,9.29,9.76,8246500.0,0.0,1.0,8.1854593410098,8.4577317478121,8.0298751085513,8.4361228266373,8246500.0
2011-10-04,9.29,9.44,9.0,9.44,9700000.0,0.0,1.0,8.0298751085513,8.1595286356001,7.7792116229238,8.1595286356001,9700000.0
2011-10-03,9.68,9.85,9.44,9.44,7379700.0,0.0,1.0,8.366974278878,8.5139149428666,8.1595286356001,8.1595286356001,7379700.0
2011-09-30,10.12,10.12,9.76,9.76,7583300.0,0.0,1.0,8.7472912915543,8.7472912915543,8.4361228266373,8.4361228266373,7583300.0
2011-09-29,10.19,10.28,10.04,10.26,6978900.0,0.0,1.0,8.8077962708437,8.8855883870729,8.678142743795,8.8683012501331,6978900.0
2011-09-28,10.21,10.31,9.94,9.95,7917900.0,0.0,1.0,8.8250834077835,8.9115190924827,8.5917070590958,8.6003506275657,7917900.0
2011-09-27,10.33,10.44,10.13,10.19,9308600.0,0.0,1.0,8.9288062294225,9.0238854825916,8.7559348600242,8.8077962708437,9308600.0
2011-09-26,10.02,10.1,9.72,10.07,8120600.0,0.0,1.0,8.6608556068551,8.7300041546145,8.4015485527577,8.7040734492047,8120600.0
2011-09-23,9.8,10.14,9.75,9.87,9893500.0,0.0,1.0,8.470697100517,8.7645784284941,8.4274792581674,8.5312020798064,9893500.0
2011-09-22,9.99,10.02,9.69,9.83,15174100.0,0.0,1.0,8.6349249014454,8.6608556068551,8.3756178473479,8.4966278059267,15174100.0
2011-09-21,10.69,10.84,10.35,10.36,7751900.0,0.0,1.0,9.2399746943395,9.3696282213882,8.9460933663623,8.9547369348323,7751900.0
2011-09-20,10.96,11.07,10.68,10.72,6521400.0,0.0,1.0,9.4733510430272,9.5684302961962,9.2313311258696,9.2659053997492,6521400.0
2011-09-19,10.87,10.98,10.81,10.93,6312300.0,0.0,1.0,9.3955589267979,9.490638179967,9.3436975159785,9.4474203376174,6312300.0
2011-09-16,10.97,11.15,10.93,11.06,6120600.0,0.0,1.0,9.4819946114971,9.6375788439556,9.4474203376174,9.5597867277263,6120600.0
2011-09-15,10.7,10.89,10.6,10.89,6818300.0,0.0,1.0,9.2486182628094,9.4128460637378,9.1621825781102,9.4128460637378,6818300.0
