Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-12-30,186.33,186.48,183.85,183.88,3530900.0,0.0,1.0,157.60374637389,157.73062106908,155.50608474663,155.53145968567,3530900.0
2011-12-29,184.07,186.23,184.01,186.18,2941600.0,0.0,1.0,155.69216763292,157.51916324375,155.64141775484,157.47687167869,2941600.0
2011-12-28,185.19,185.4,183.34,183.99,2872000.0,0.0,1.0,156.63949869039,156.81712326366,155.07471078296,155.62450112881,2872000.0
2011-12-27,184.97,185.85,184.39,184.95,2775200.0,0.0,1.0,156.4534158041,157.19774734925,155.96283364934,156.43649917807,2775200.0
2011-12-23,183.11,184.85,181.89,184.75,3052300.0,0.0,1.0,154.88016958365,156.35191604794,153.84825539605,156.26733291781,3052300.0
2011-12-22,182.71,182.8,181.0,182.04,5052000.0,0.0,1.0,154.54183706313,154.61796188025,153.09546553788,153.97513009125,5052000.0
2011-12-21,183.22,183.5,179.04,181.47,9282500.0,0.0,1.0,154.9732110268,155.21004379117,151.4376361873,153.4930062495,9282500.0
2011-12-20,185.5,187.33,184.755,187.24,4740100.0,0.0,1.0,156.90170639379,158.4495776752,156.27156207432,158.37345285808,4740100.0
2011-12-19,184.51,184.69,182.25,182.89,5039900.0,0.0,1.0,156.06433340549,156.21658303973,154.15275466452,154.69408669736,5039900.0
2011-12-16,188.01,188.01,181.91,183.57,11849400.0,0.0,1.0,159.02474296009,159.02474296009,153.86517202208,155.26925198226,11849400.0
2011-12-15,190.48,191.2,186.89,187.48,4474500.0,0.0,1.0,161.11394627434,161.72294481129,158.07741190262,158.5764523704,4474500.0
2011-12-14,189.84,190.28,188.0,188.72,5057700.0,0.0,1.0,160.5726142415,160.94478001408,159.01628464708,159.62528318403,5057700.0
2011-12-13,193.46,194.3,190.64,191.15,5008400.0,0.0,1.0,163.63452355226,164.34502184536,161.24927928255,161.68065324622,5008400.0
2011-12-12,193.64,193.9,191.22,192.18,3796100.0,0.0,1.0,163.78677318649,164.00668932483,161.73986143731,162.55185948657,3796100.0
2011-12-09,192.91,194.87,192.4,194.56,4847900.0,0.0,1.0,163.16931633653,164.82714568711,162.73794237286,164.5649379837,4847900.0
2011-12-08,192.48,193.8,191.07,191.58,4369000.0,0.0,1.0,162.80560887697,163.9221061947,161.61298674211,162.04436070579,4369000.0
2011-12-07,191.99,194.9,191.28,194.05,5081700.0,0.0,1.0,162.39115153932,164.85252062615,161.79061131539,164.13356402003,5081700.0
2011-12-06,190.65,193.53,190.32,192.94,4144900.0,0.0,1.0,161.25773759556,163.69373174335,160.97861326613,163.19469127557,4144900.0
2011-12-05,191.18,193.61,190.38,190.84,5699400.0,0.0,1.0,161.70602818526,163.76139824745,161.02936314421,161.41844554281,5699400.0
2011-12-02,189.92,191.33,189.45,189.66,4962200.0,0.0,1.0,160.6402807456,161.83290288046,160.24274003399,160.42036460726,4962200.0
2011-12-01,187.01,189.99,186.77,189.45,4858800.0,0.0,1.0,158.17891165878,160.6994889367,157.97591214646,160.24274003399,4858800.0
2011-11-30,184.57,188.35,184.21,188.0,7836800.0,0.0,1.0,156.11508328357,159.31232560254,155.8105840151,159.01628464708,7836800.0
2011-11-29,182.02,183.31,180.84,180.94,3661600.0,0.0,1.0,153.95821346522,155.04933584392,152.96013252967,153.0447156598,3661600.0
2011-11-28,182.71,182.93,180.67,182.21,4524200.0,0.0,1.0,154.54183706313,154.72791994942,152.81634120845,154.11892141247,4524200.0
2011-11-25,178.01,179.56,177.06,177.06,2232800.0,0.0,1.0,150.56642994695,151.87746846399,149.7628902107,149.7628902107,2232800.0
2011-11-23,180.67,181.49,177.52,177.95,4800900.0,0.0,1.0,152.81634120845,153.50992287552,150.15197260931,150.51568006887,4800900.0
2011-11-22,182.22,182.98,180.29,181.31,4178600.0,0.0,1.0,154.12737972548,154.77021151448,152.49492531395,153.35767324129,4178600.0
2011-11-21,183.37,183.96,180.0,181.48,5145100.0,0.0,1.0,155.100085722,155.59912618977,152.24963423657,153.50146456251,5145100.0
2011-11-18,186.71,186.97,184.66,185.24,4440900.0,0.0,1.0,157.92516226838,158.14507840673,156.19120810069,156.68179025545,4440900.0
2011-11-17,186.81,188.83,183.39,185.73,5840500.0,0.0,1.0,158.00974539852,159.71832462717,155.11700234802,157.0962475931,5840500.0
2011-11-16,187.82,189.9,186.3,186.62,4616800.0,0.0,1.0,158.86403501284,160.62336411958,157.57837143485,157.84903745127,4616800.0
2011-11-15,187.49,189.97,185.64,188.75,4585300.0,0.0,1.0,158.58491068341,160.68257231067,157.02012277598,159.65065812307,4585300.0
2011-11-14,189.17,189.84,186.85,187.35,6038600.0,0.0,1.0,160.00590726962,160.5726142415,158.04357865057,158.46649430123,6038600.0
2011-11-11,185.27,187.83,185.14,187.38,3665300.0,0.0,1.0,156.70716519449,158.87249332586,156.59720712532,158.49186924027,3665300.0
2011-11-10,183.58,184.77,181.87,183.35,3881600.0,0.0,1.0,155.27771029527,156.28424954384,153.83133877002,155.08316909597,3881600.0
2011-11-09,184.2,185.24,181.16,182.24,5494800.0,0.0,1.0,155.80212570209,156.68179025545,153.23079854609,154.14429635151,5494800.0
2011-11-08,187.48,187.88,185.51,187.25,4330600.0,0.75,1.0,158.5764523704,158.91478489092,156.91016470681,158.38191117109,4330600.0
2011-11-07,186.22,187.73,184.75,187.32,3530800.0,0.0,1.0,156.88233775681,158.15444778803,155.64392600457,157.80904042856,3530800.0
2011-11-04,186.27,187.14,184.74,186.38,3237600.0,0.0,1.0,156.92446060553,157.65739817318,155.63550143483,157.01713087271,3237600.0
2011-11-03,185.13,187.78,184.02,187.3,4953500.0,0.0,1.0,155.96405965481,158.19657063675,155.02893241332,157.79219128907,4953500.0
2011-11-02,184.0,185.25,183.03,183.92,4136600.0,0.0,1.0,155.01208327384,156.06515449173,154.19490000875,154.94468671589,4136600.0
2011-11-01,181.55,183.26,180.74,181.35,5881200.0,0.0,1.0,152.94806368677,154.38866511284,152.26567353757,152.7795722919,5881200.0
2011-10-31,185.59,186.91,184.63,184.63,4710000.0,0.0,1.0,156.351589863,157.46363306909,155.54283116766,155.54283116766,4710000.0
2011-10-28,185.57,188.07,185.28,187.45,5009800.0,0.0,1.0,156.33474072351,158.4408831593,156.09042820096,157.91855983522,5009800.0
2011-10-27,184.99,187.0,183.18,186.34,7057800.0,0.0,1.0,155.84611567841,157.53945419678,154.3212685549,156.98343259373,7057800.0
2011-10-26,181.74,182.28,179.03,181.97,5387700.0,0.0,1.0,153.10813051189,153.56305727802,150.82507211149,153.30189561598,5387700.0
2011-10-25,181.66,182.97,180.01,180.36,5373100.0,0.0,1.0,153.04073395394,154.14435259029,151.65067994632,151.94553988733,5373100.0
2011-10-24,181.51,183.39,180.62,182.25,5890600.0,0.0,1.0,152.91436540779,154.49818451951,152.16457870065,153.53778356879,5890600.0
2011-10-21,179.11,181.67,178.75,181.63,8054200.0,0.0,1.0,150.89246866944,153.04915852368,150.58918415869,153.01546024471,8054200.0
2011-10-20,178.13,179.24,176.17,177.25,7513800.0,0.0,1.0,150.06686083461,151.0019880761,148.41564516496,149.32549869722,7513800.0
2011-10-19,179.68,179.81,177.01,177.39,6708300.0,0.0,1.0,151.3726691448,151.48218855146,149.12330902338,149.44344267362,6708300.0
2011-10-18,178.0,179.38,176.25,178.9,15729400.0,0.0,1.0,149.95734142795,151.1199320525,148.4830417229,150.71555270483,15729400.0
2011-10-17,189.71,190.16,185.9,186.59,8790300.0,0.0,1.0,159.82251259717,160.20161823561,156.61275152503,157.19404683731,8790300.0
2011-10-14,188.19,190.53,187.7314,190.53,5368200.0,0.0,1.0,158.54197799621,160.51332731611,158.15562722779,160.51332731611,5368200.0
2011-10-13,184.97,187.5,184.5,186.82,4399200.0,0.0,1.0,155.82926653892,157.96068268394,155.43331176099,157.3878119414,4399200.0
2011-10-12,186.08,188.0,185.65,186.12,5338200.0,0.0,1.0,156.76439378041,158.38191117109,156.40213728146,156.79809205938,5338200.0
2011-10-11,184.59,186.0,184.11,185.0,5330500.0,0.0,1.0,155.50913288868,156.69699722247,155.10475354101,155.85454024815,5330500.0
2011-10-10,183.0,186.63,182.9,186.62,5784800.0,0.0,1.0,154.16962629952,157.22774511628,154.08538060209,157.21932054654,5784800.0
2011-10-07,182.32,183.72,181.64,182.39,6842600.0,0.0,1.0,153.59675555699,154.77619532103,153.02388481446,153.65572754519,6842600.0
2011-10-06,176.81,181.99,175.66,181.69,7180900.0,0.0,1.0,148.95481762852,153.31874475547,147.98599210806,153.06600766317,7180900.0
2011-10-05,174.57,177.2961,172.68,176.85,5851700.0,0.0,1.0,147.06771400605,149.36433596373,145.4754703246,148.98851590749,5851700.0
2011-10-04,171.54,175.07,168.88,174.74,9200000.0,0.0,1.0,144.51506937388,147.48894249321,142.2741338222,147.21093169169,9200000.0
2011-10-03,174.36,177.92,173.04,173.29,9042600.0,0.0,1.0,146.89079804145,149.88994487001,145.77875483535,145.98936907893,9042600.0
2011-09-30,176.01,178.27,174.75,174.87,7807400.0,0.0,1.0,148.28085204907,150.18480481102,147.21935626143,147.32045109835,7807400.0
2011-09-29,179.69,180.91,175.53,179.17,6944300.0,0.0,1.0,151.38109371454,152.40889122321,147.87647270139,150.9430160879,6944300.0
2011-09-28,177.97,180.75,177.08,177.55,7732200.0,0.0,1.0,149.93206771872,152.27409810732,149.18228101158,149.57823578951,7732200.0
2011-09-27,176.82,179.62,176.43,177.71,7638800.0,0.0,1.0,148.96324219826,151.32212172634,148.63468397828,149.7130289054,7638800.0
2011-09-26,170.96,174.7,169.86,174.51,6745700.0,0.0,1.0,144.02644432878,147.17723341271,143.09974165703,147.01716658759,6745700.0
2011-09-23,166.99,169.54,165.76,169.34,5586600.0,0.0,1.0,140.68189014075,142.83015542525,139.64566806234,142.66166403039,5586600.0
2011-09-22,168.33,169.97,166.5,168.62,8195600.0,0.0,1.0,141.81078248633,143.19241192421,140.26908622334,142.05509500888,8195600.0
2011-09-21,175.0,177.67,172.62,173.02,7043100.0,0.0,1.0,147.42997050501,149.67933062643,145.42492290614,145.76190569587,7043100.0
2011-09-20,173.57,177.43,172.7,174.72,6209600.0,0.0,1.0,146.22525703174,149.47714095259,145.49231946409,147.1940825522,6209600.0
2011-09-19,169.5,173.87,169.43,173.13,4755600.0,0.0,1.0,142.79645714628,146.47799412403,142.73748515808,145.85457596304,4755600.0
2011-09-16,171.33,172.99,169.74,172.99,11048100.0,0.0,1.0,144.33815340927,145.73663198664,142.99864682011,145.73663198664,11048100.0
2011-09-15,168.64,170.16,167.23,170.09,5464400.0,0.0,1.0,142.07194414837,143.35247874933,140.88407981459,143.29350676112,5464400.0
2011-09-14,164.01,169.66,161.99,167.24,6980700.0,0.0,1.0,138.17136835729,142.93125026217,136.46960526918,140.89250438433,6980700.0
2011-09-13,163.64,163.92,161.54,163.43,4723800.0,0.0,1.0,137.8596592768,138.09554722961,136.09049963074,137.68274331219,4723800.0
2011-09-12,159.64,162.44,158.76,162.42,5247200.0,0.0,1.0,134.48983137954,136.84871090762,133.74846924214,136.83186176813,5247200.0
2011-09-09,164.57,165.19,160.81,161.37,6743900.0,0.0,1.0,138.64314426291,139.16546758698,135.47550603949,135.9472819451,6743900.0
2011-09-08,167.0,169.58,165.1,165.25,6027200.0,0.0,1.0,140.69031471049,142.86385370422,139.0896464593,139.21601500544,6027200.0
2011-09-07,167.28,167.9,166.16,167.31,6796600.0,0.0,1.0,140.9262026633,141.44852598738,139.98265085207,140.95147637253,6796600.0
2011-09-06,163.06,165.55,162.2,165.11,5761200.0,0.0,1.0,137.3710342317,139.46875209774,136.64652123378,139.09807102904,5761200.0
2011-09-02,167.69,168.93,166.0,166.98,4979100.0,0.0,1.0,141.27161002277,142.31625667092,139.84785773618,140.67346557101,4979100.0
2011-09-01,172.71,173.68,170.12,170.33,5463900.0,0.0,1.0,145.50074403383,146.31792729891,143.31878047035,143.49569643496,5463900.0
2011-08-31,173.29,173.72,170.71,171.91,6074200.0,0.0,1.0,145.98936907893,146.35162557789,143.8158300852,144.82677845438,6074200.0
2011-08-30,172.06,173.51,170.88,172.51,4477700.0,0.0,1.0,144.95314700052,146.17470961328,143.95904777083,145.33225263897,4477700.0
2011-08-29,170.58,172.72,170.36,172.62,5293400.0,0.0,1.0,143.70631067854,145.50916860357,143.52097014419,145.42492290614,5293400.0
2011-08-26,164.85,169.33,163.28,169.14,6438200.0,0.0,1.0,138.87903221572,142.65323946065,137.55637476604,142.49317263553,6438200.0
2011-08-25,167.52,168.53,164.85,165.58,6751600.0,0.0,1.0,141.12839233714,141.97927388119,138.87903221572,139.49402580697,6751600.0
2011-08-24,164.13,166.83,163.35,166.76,6427000.0,0.0,1.0,138.27246319421,140.54709702486,137.61534675425,140.48812503666,6427000.0
2011-08-23,160.65,164.59,159.53,164.32,6923300.0,0.0,1.0,135.3407129236,138.6599934024,134.39716111237,138.43253001933,6923300.0
2011-08-22,161.35,161.68,157.62,158.98,7249100.0,0.0,1.0,135.93043280562,136.20844360714,132.78806829143,133.93380977649,7249100.0
