"","Date","Open","High","Low","Close","Volume"
"1",2014-01-02,2.62,2.62,2.59,2.61,41632500
"2",2014-01-03,2.6,2.61,2.56,2.56,45517700
"3",2014-01-06,2.57,2.57,2.5,2.53,68674700
"4",2014-01-07,2.51,2.52,2.49,2.52,53293800
"5",2014-01-08,2.51,2.54,2.49,2.51,69087900
"6",2014-01-09,2.51,2.53,2.49,2.5,45339800
"7",2014-01-10,2.5,2.51,2.49,2.49,41009000
"8",2014-01-13,2.5,2.52,2.5,2.52,29469300
"9",2014-01-14,2.51,2.52,2.5,2.51,30626300
"10",2014-01-15,2.51,2.52,2.5,2.51,50614100
"11",2014-01-16,2.51,2.52,2.49,2.5,31381500
"12",2014-01-17,2.5,2.5,2.48,2.48,41326400
"13",2014-01-20,2.49,2.49,2.45,2.47,39797800
"14",2014-01-21,2.46,2.48,2.46,2.47,33143500
"15",2014-01-22,2.47,2.51,2.47,2.51,52102900
"16",2014-01-23,2.5,2.5,2.48,2.48,40174200
"17",2014-01-24,2.48,2.5,2.47,2.49,36289700
"18",2014-01-27,2.48,2.49,2.46,2.48,43715200
"19",2014-01-28,2.48,2.5,2.47,2.49,29807200
"20",2014-01-29,2.5,2.53,2.49,2.53,39061000
"21",2014-01-30,2.52,2.53,2.51,2.51,19595700
"22",2014-01-31,2.51,2.51,2.51,2.51,0
"23",2014-02-03,2.51,2.51,2.51,2.51,0
"24",2014-02-05,2.51,2.51,2.51,2.51,0
"25",2014-02-06,2.51,2.51,2.51,2.51,0
"26",2014-02-07,2.5,2.5,2.48,2.49,21622600
"27",2014-02-10,2.5,2.52,2.49,2.51,36473700
"28",2014-02-11,2.51,2.56,2.5,2.55,60653200
"29",2014-02-12,2.54,2.56,2.53,2.54,29736800
"30",2014-02-13,2.54,2.57,2.53,2.55,48498800
"31",2014-02-14,2.55,2.55,2.53,2.54,27342300
"32",2014-02-17,2.54,2.56,2.54,2.55,31423800
"33",2014-02-18,2.55,2.56,2.53,2.54,30007000
"34",2014-02-19,2.54,2.67,2.53,2.63,105567500
"35",2014-02-20,2.62,2.64,2.6,2.61,45629300
"36",2014-02-21,2.6,2.61,2.56,2.58,27924300
"37",2014-02-24,2.57,2.58,2.51,2.53,29814500
"38",2014-02-25,2.53,2.55,2.51,2.54,34158800
"39",2014-02-26,2.53,2.54,2.5,2.51,20024900
"40",2014-02-27,2.5,2.54,2.5,2.53,27054900
"41",2014-02-28,2.52,2.53,2.5,2.51,29348600
"42",2014-03-03,2.51,2.52,2.49,2.5,42113200
"43",2014-03-04,2.5,2.5,2.48,2.5,26658900
"44",2014-03-05,2.5,2.5,2.47,2.49,32268700
"45",2014-03-06,2.48,2.5,2.47,2.5,19814200
"46",2014-03-07,2.5,2.52,2.49,2.49,20809700
"47",2014-03-10,2.48,2.49,2.45,2.46,36749500
"48",2014-03-11,2.46,2.46,2.45,2.46,22320700
"49",2014-03-12,2.46,2.47,2.44,2.45,29255800
"50",2014-03-13,2.46,2.53,2.46,2.49,47525400
"51",2014-03-14,2.49,2.49,2.45,2.47,32855600
"52",2014-03-17,2.48,2.49,2.47,2.48,16838400
"53",2014-03-18,2.48,2.49,2.46,2.47,17728400
"54",2014-03-19,2.47,2.48,2.44,2.47,28158100
"55",2014-03-20,2.46,2.49,2.45,2.46,27012600
"56",2014-03-21,2.46,2.54,2.45,2.53,77473600
"57",2014-03-24,2.54,2.55,2.51,2.54,42313700
"58",2014-03-25,2.53,2.54,2.52,2.54,22556600
"59",2014-03-26,2.53,2.55,2.53,2.54,25953700
"60",2014-03-27,2.55,2.59,2.54,2.56,52897800
"61",2014-03-28,2.57,2.61,2.56,2.58,93338700
"62",2014-03-31,2.58,2.59,2.56,2.59,42516900
"63",2014-04-01,2.58,2.6,2.57,2.59,31012700
"64",2014-04-02,2.59,2.6,2.58,2.6,25085800
"65",2014-04-03,2.6,2.6,2.57,2.58,38009600
"66",2014-04-04,2.57,2.6,2.57,2.6,19780700
"67",2014-04-07,2.6,2.6,2.6,2.6,0
"68",2014-04-08,2.6,2.65,2.58,2.64,56091500
"69",2014-04-09,2.64,2.66,2.63,2.63,28325500
"70",2014-04-10,2.63,2.67,2.62,2.67,48276900
"71",2014-04-11,2.66,2.69,2.65,2.68,47730600
"72",2014-04-14,2.67,2.69,2.64,2.67,38701600
"73",2014-04-15,2.66,2.67,2.62,2.62,30741900
"74",2014-04-16,2.62,2.65,2.61,2.63,18820500
"75",2014-04-17,2.64,2.64,2.62,2.63,15252100
"76",2014-04-18,2.62,2.64,2.61,2.63,17030800
"77",2014-04-21,2.62,2.64,2.6,2.6,19209300
"78",2014-04-22,2.6,2.64,2.57,2.63,24913800
"79",2014-04-23,2.62,2.63,2.6,2.61,16532600
"80",2014-04-24,2.61,2.62,2.59,2.6,17214400
"81",2014-04-25,2.61,2.63,2.6,2.61,27196200
"82",2014-04-28,2.62,2.63,2.6,2.62,24740100
"83",2014-04-29,2.62,2.62,2.6,2.61,17761400
"84",2014-04-30,2.61,2.62,2.6,2.6,21770500
"85",2014-05-01,2.6,2.6,2.6,2.6,0
"86",2014-05-02,2.6,2.6,2.6,2.6,0
"87",2014-05-05,2.61,2.61,2.58,2.6,23877400
"88",2014-05-06,2.59,2.6,2.58,2.59,15396500
"89",2014-05-07,2.59,2.61,2.59,2.6,17600600
"90",2014-05-08,2.6,2.61,2.59,2.61,25448100
"91",2014-05-09,2.6,2.61,2.59,2.61,17153700
"92",2014-05-12,2.61,2.65,2.61,2.64,49628900
"93",2014-05-13,2.64,2.65,2.63,2.65,18049000
"94",2014-05-14,2.65,2.66,2.63,2.65,19610400
"95",2014-05-15,2.64,2.66,2.64,2.65,18152200
"96",2014-05-16,2.64,2.66,2.64,2.65,14380000
"97",2014-05-19,2.65,2.66,2.64,2.65,35135700
"98",2014-05-20,2.65,2.66,2.64,2.65,17071100
"99",2014-05-21,2.64,2.67,2.63,2.66,24147500
"100",2014-05-22,2.66,2.68,2.65,2.67,19835500
"101",2014-05-23,2.67,2.68,2.66,2.68,16807200
"102",2014-05-26,2.68,2.69,2.67,2.69,13475300
"103",2014-05-27,2.68,2.69,2.68,2.68,22561200
"104",2014-05-28,2.68,2.7,2.68,2.69,26361100
"105",2014-05-29,2.7,2.7,2.68,2.69,16838200
"106",2014-05-30,2.69,2.69,2.67,2.67,20636800
"107",2014-06-02,2.67,2.67,2.67,2.67,0
"108",2014-06-03,2.68,2.73,2.68,2.72,47703000
"109",2014-06-04,2.72,2.73,2.69,2.72,30888800
"110",2014-06-05,2.71,2.74,2.7,2.73,27686800
"111",2014-06-06,2.73,2.74,2.69,2.7,25256000
"112",2014-06-09,2.7,2.73,2.69,2.72,26544400
"113",2014-06-10,2.71,2.74,2.71,2.74,33614700
"114",2014-06-11,2.74,2.75,2.73,2.74,22813700
"115",2014-06-12,2.74,2.76,2.73,2.76,23814200
"116",2014-06-13,2.76,2.8,2.75,2.8,54952700
"117",2014-06-16,2.79,2.82,2.78,2.81,48428500
"118",2014-06-17,2.8,2.81,2.78,2.78,29160800
"119",2014-06-18,2.78,2.78,2.74,2.76,43445400
"120",2014-06-19,2.76,2.76,2.72,2.72,23052800
"121",2014-06-20,2.72,2.75,2.71,2.75,28306000
"122",2014-06-23,2.75,2.76,2.73,2.73,24956100
"123",2014-06-24,2.74,2.76,2.73,2.75,24819000
"124",2014-06-25,2.75,2.77,2.74,2.77,32276400
"125",2014-06-26,2.77,2.78,2.75,2.77,59990100
"126",2014-06-27,2.58,2.58,2.53,2.54,47758400
"127",2014-06-30,2.55,2.56,2.54,2.55,23791500
"128",2014-07-01,2.56,2.57,2.55,2.56,24726300
"129",2014-07-02,2.56,2.58,2.56,2.58,23100300
"130",2014-07-03,2.57,2.6,2.56,2.59,26073800
"131",2014-07-04,2.59,2.6,2.58,2.59,18484000
"132",2014-07-07,2.58,2.59,2.55,2.58,25578800
"133",2014-07-08,2.57,2.58,2.55,2.58,28417600
"134",2014-07-09,2.57,2.58,2.55,2.56,38112000
"135",2014-07-10,2.54,2.55,2.53,2.54,35329700
"136",2014-07-11,2.54,2.57,2.53,2.55,26389800
"137",2014-07-14,2.55,2.57,2.55,2.56,21270900
"138",2014-07-15,2.57,2.57,2.55,2.57,25686700
"139",2014-07-16,2.57,2.57,2.56,2.57,21838300
"140",2014-07-17,2.56,2.57,2.55,2.57,22643200
"141",2014-07-18,2.56,2.57,2.55,2.57,28377700
"142",2014-07-21,2.57,2.57,2.55,2.57,24926400
"143",2014-07-22,2.56,2.57,2.55,2.57,35684200
"144",2014-07-23,2.56,2.57,2.56,2.56,29587800
"145",2014-07-24,2.57,2.61,2.56,2.59,58498200
"146",2014-07-25,2.6,2.62,2.59,2.61,33451200
