,date,gsyh,pfyh,zglt
2014/1/3,2014/1/3,-0.005586592,0,-0.018575851
2014/1/6,2014/1/6,-0.002808989,0.00547046,-0.028391167
2014/1/7,2014/1/7,0,-0.005440696,0.003246753
2014/1/8,2014/1/8,0.005633803,0.006564551,-0.012944984
2014/1/9,2014/1/9,-0.011204482,0.009782609,-0.009836066
2014/1/10,2014/1/10,0,0.012917115,-0.006622517
2014/1/13,2014/1/13,0.002832861,-0.002125399,0.003333333
2014/1/14,2014/1/14,-0.005649718,0.001064963,0.009966777
2014/1/15,2014/1/15,-0.017045455,-0.018085106,-0.003289474
2014/1/16,2014/1/16,-0.00867052,-0.005417118,-0.00660066
2014/1/17,2014/1/17,-0.005830904,-0.006535948,-0.006644518
2014/1/20,2014/1/20,-0.002932551,-0.005482456,-0.003344482
2014/1/21,2014/1/21,0,0.009922822,0.010067114
2014/1/22,2014/1/22,0.008823529,0.019650655,0.013289037
2014/1/23,2014/1/23,-0.008746356,-0.012847966,-0.009836066
2014/1/24,2014/1/24,0,0.001084599,0.003311258
2014/1/27,2014/1/27,-0.011764706,-0.01191766,-0.01320132
2014/1/28,2014/1/28,0.008928571,0.007675439,0.013377926
2014/1/29,2014/1/29,0.014749263,0.010881393,0.00330033
2014/1/30,2014/1/30,-0.00872093,-0.012917115,-0.013157895
2014/1/31,2014/1/31,0,0,0
2014/2/3,2014/2/3,0,0,0
2014/2/5,2014/2/5,0,0,0
2014/2/6,2014/2/6,0,0,0
2014/2/7,2014/2/7,-0.002932551,0.001090513,0.01
2014/2/10,2014/2/10,0.005882353,0.011982571,0.00990099
2014/2/11,2014/2/11,0.00877193,0.026910657,0.006535948
2014/2/12,2014/2/12,-0.002898551,-0.004192872,0.003246753
2014/2/13,2014/2/13,0,0.010526316,-0.006472492
2014/2/14,2014/2/14,-0.002906977,-0.001041667,0.003257329
2014/2/17,2014/2/17,0.002915452,-0.00729927,0.022727273
2014/2/18,2014/2/18,-0.002906977,-0.027310924,-0.022222222
2014/2/19,2014/2/19,0.014577259,0.024838013,0.012987013
2014/2/20,2014/2/20,-0.011494253,-0.010537408,0.006410256
2014/2/21,2014/2/21,0,-0.010649627,0
2014/2/24,2014/2/24,-0.020348837,-0.030139935,-0.022292994
2014/2/25,2014/2/25,0,-0.019977802,-0.019543974
2014/2/26,2014/2/26,-0.008902077,0.002265006,0.006644518
2014/2/27,2014/2/27,0.005988024,0.010169492,0.01650165
2014/2/28,2014/2/28,-0.005952381,-0.003355705,-0.006493506
2014/3/3,2014/3/3,-0.002994012,-0.006734007,0.065359477
2014/3/4,2014/3/4,0.003003003,0.002259887,0.006134969
2014/3/5,2014/3/5,-0.005988024,-0.019165727,-0.015243902
2014/3/6,2014/3/6,0.003012048,0.011494253,0
2014/3/7,2014/3/7,0,-0.007954545,0.00619195
2014/3/10,2014/3/10,-0.021021021,-0.033218786,-0.024615385
2014/3/11,2014/3/11,-0.009202454,0.002369668,-0.006309148
2014/3/12,2014/3/12,0,0.011820331,-0.022222222
2014/3/13,2014/3/13,0.012383901,0.03271028,0
2014/3/14,2014/3/14,-0.009174312,0.016968326,0
2014/3/17,2014/3/17,0.00308642,0,0.003246753
2014/3/18,2014/3/18,0.003076923,-0.011123471,-0.009708738
2014/3/19,2014/3/19,0.006134969,0.01799775,0.003267974
2014/3/20,2014/3/20,0,-0.006629834,-0.016286645
2014/3/21,2014/3/21,0.018292683,0.100111235,0.023178808
2014/3/24,2014/3/24,0.011976048,-0.009100101,0.009708738
2014/3/25,2014/3/25,-0.00591716,-0.005102041,-0.003205128
2014/3/26,2014/3/26,0.011904762,-0.017435897,-0.006430868
2014/3/27,2014/3/27,-0.005882353,0.011482255,-0.009708738
2014/3/28,2014/3/28,0.023668639,-0.002063983,0.009803922
2014/3/31,2014/3/31,-0.002890173,0.005170631,-0.009708738
2014/4/1,2014/4/1,0,0.001028807,0
2014/4/2,2014/4/2,-0.002898551,0.021582734,0.009803922
2014/4/3,2014/4/3,-0.005813953,-0.027162978,-0.006472492
2014/4/4,2014/4/4,0.002923977,0.006204757,0
2014/4/7,2014/4/7,0,0,0
2014/4/8,2014/4/8,0.020408163,0.042137718,0.016286645
2014/4/9,2014/4/9,-0.005714286,-0.003944773,0.003205128
2014/4/10,2014/4/10,0.020114943,0.012871287,0.012779553
2014/4/11,2014/4/11,-0.008450704,0.001955034,-0.003154574
2014/4/14,2014/4/14,-0.005681818,-0.012682927,-0.006329114
2014/4/15,2014/4/15,-0.011428571,-0.026679842,-0.012738854
2014/4/16,2014/4/16,0.011560694,0.005076142,0.006451613
2014/4/17,2014/4/17,-0.005714286,-0.014141414,0
2014/4/18,2014/4/18,-0.002873563,0.00204918,0.006410256
2014/4/21,2014/4/21,-0.008645533,-0.007157464,-0.01910828
2014/4/22,2014/4/22,0.002906977,0.019567456,0.025974026
2014/4/23,2014/4/23,-0.002898551,-0.002020202,-0.018987342
2014/4/24,2014/4/24,-0.005813953,-0.001012146,-0.003225806
2014/4/25,2014/4/25,0.00877193,-0.003039514,-0.009708738
2014/4/28,2014/4/28,0.002898551,-0.017276423,-0.006535948
2014/4/29,2014/4/29,-0.002890173,0.01344364,0.009868421
2014/4/30,2014/4/30,-0.002898551,-0.003061224,0.035830619
2014/5/1,2014/5/1,0,0,0
2014/5/2,2014/5/2,0,0,0
2014/5/5,2014/5/5,-0.005813953,-0.003070624,-0.018867925
2014/5/6,2014/5/6,-0.005847953,-0.004106776,0.009615385
2014/5/7,2014/5/7,0.005882353,-0.004123711,0.003174603
2014/5/8,2014/5/8,0.002923977,0.00931677,0.018987342
2014/5/9,2014/5/9,0.005830904,0.001025641,0.00310559
2014/5/12,2014/5/12,0.008695652,0.017418033,0.00619195
2014/5/13,2014/5/13,-0.005747126,-0.003021148,0.033846154
2014/5/14,2014/5/14,-0.002890173,-0.009090909,-0.011904762
2014/5/15,2014/5/15,0.005797101,-0.008154944,-0.024096386
2014/5/16,2014/5/16,0.002881844,0.002055498,0
2014/5/19,2014/5/19,-0.005747126,-0.023589744,-0.009259259
2014/5/20,2014/5/20,0.002890173,0.003151261,-0.00623053
2014/5/21,2014/5/21,0.005763689,0.005235602,0.003134796
2014/5/22,2014/5/22,0.00286533,0,0.003125
2014/5/23,2014/5/23,0.005714286,0.010416667,0.003115265
2014/5/26,2014/5/26,-0.002840909,0.004123711,-0.00621118
2014/5/27,2014/5/27,0.005698006,-0.008213552,-0.0125
2014/5/28,2014/5/28,0.011331445,0.002070393,0.012658228
