date,return,sig
2014/1/2,-0.3454,0
2014/1/3,-1.3436,0
2014/1/6,-2.2762,0
2014/1/7,-0.0284,0
2014/1/8,0.1747,1
2014/1/9,-0.8783,0
2014/1/10,-0.7817,0
2014/1/13,-0.5067,0
2014/1/14,0.8737,1
2014/1/15,-0.1765,0
2014/1/16,0.1314,1
2014/1/17,-1.5081,0
2014/1/20,-0.5736,0
2014/1/21,0.9888,1
2014/1/22,2.5778,1
2014/1/23,-0.5307,0
2014/1/24,0.6178,1
2014/1/27,-1.3252,0
2014/1/28,0.1776,1
2014/1/29,0.3571,1
2014/1/30,-1.1371,0
2014/2/7,0.4555,1
2014/2/10,2.4882,1
2014/2/11,0.795,1
2014/2/12,0.2487,1
2014/2/13,-0.5103,0
2014/2/14,0.7028,1
2014/2/17,0.7001,1
2014/2/18,-1.2634,0
2014/2/19,1.1485,1
2014/2/20,-0.9191,0
2014/2/21,-1.0117,0
2014/2/24,-2.1987,0
2014/2/25,-2.5559,0
2014/2/26,0.2547,1
2014/2/27,-0.4297,0
2014/2/28,1.1542,1
2014/3/3,0.5231,1
2014/3/4,-0.2784,0
2014/3/5,-0.9292,0
2014/3/6,0.4463,1
2014/3/7,-0.2427,0
2014/3/10,-3.2546,0
2014/3/11,0.5184,1
2014/3/12,0.2595,1
2014/3/13,1.2392,1
2014/3/14,-0.8175,0
2014/3/17,0.9517,1
2014/3/18,-0.2289,0
2014/3/19,-0.8074,0
2014/3/20,-1.5985,0
2014/3/21,3.4419,1
2014/3/24,0.8225,1
2014/3/25,-0.0971,0
2014/3/26,-0.156,0
2014/3/27,-0.7066,0
2014/3/28,-0.1736,0
2014/3/31,-0.263,0
2014/4/1,0.7832,1
2014/4/2,0.8142,1
2014/4/3,-0.7208,0
2014/4/4,0.9452,1
2014/4/8,2.3722,1
2014/4/9,0.0583,1
2014/4/10,1.5698,1
2014/4/11,-0.1361,0
2014/4/14,-0.0904,0
2014/4/15,-1.7257,0
2014/4/16,0.1374,1
2014/4/17,-0.3459,0
2014/4/18,-0.0146,0
2014/4/21,-1.6737,0
2014/4/22,0.4365,1
2014/4/23,-0.0968,0
2014/4/24,-0.1911,0
2014/4/25,-1.0339,0
2014/4/28,-1.5157,0
2014/4/29,1.1008,1
2014/4/30,0.0088,1
2014/5/5,-0.1014,0
2014/5/6,0.0398,1
2014/5/7,-0.9276,0
2014/5/8,-0.0852,0
2014/5/9,-0.0742,0
2014/5/12,2.1624,1
2014/5/13,-0.2386,0
2014/5/14,-0.114,0
2014/5/15,-1.3022,0
2014/5/16,0.0871,1
2014/5/19,-1.4357,0
2014/5/20,0.0297,1
2014/5/21,0.9516,1
2014/5/22,-0.2358,0
2014/5/23,0.8234,1
2014/5/26,0.352,1
2014/5/27,-0.4033,0
2014/5/28,1.0279,1
2014/5/29,-0.654,0
2014/5/30,0.0603,1
2014/6/3,-0.3036,0
2014/6/4,-1.0067,0
2014/6/5,1.0491,1
2014/6/6,-0.7387,0
2014/6/9,-0.0204,0
2014/6/10,1.2645,1
2014/6/11,-0.0232,0
2014/6/12,-0.3404,0
2014/6/13,1.0603,1
2014/6/16,0.7174,1
2014/6/17,-1.012,0
2014/6/18,-0.4349,0
2014/6/19,-1.543,0
2014/6/20,0.4618,1
