"","Date","Open","High","Low","Close","Volume"
"1",2014-01-01,15.502,15.502,15.502,15.502,0
"2",2014-01-02,15.732,15.87,15.203,15.64,2946700
"3",2014-01-03,15.548,16.399,15.41,16.169,6475400
"4",2014-01-06,16.192,16.261,15.111,15.18,4401100
"5",2014-01-07,14.973,15.387,14.674,14.927,2718000
"6",2014-01-08,14.95,15.111,14.628,14.72,2645200
"7",2014-01-09,14.72,15.203,14.697,14.766,2777400
"8",2014-01-10,14.766,14.973,14.651,14.881,1594200
"9",2014-01-13,14.95,15.088,14.628,14.743,1590900
"10",2014-01-14,14.49,14.927,14.49,14.927,1525600
"11",2014-01-15,14.927,15.318,14.743,15.157,2027300
"12",2014-01-16,15.065,15.387,15.065,15.18,1268900
"13",2014-01-17,15.18,15.272,14.789,14.812,1165300
"14",2014-01-20,14.651,14.904,14.513,14.605,1143600
"15",2014-01-21,14.605,15.571,14.605,15.433,4256400
"16",2014-01-22,15.318,15.663,15.203,15.571,2557100
"17",2014-01-23,15.41,15.801,15.318,15.617,2768100
"18",2014-01-24,15.525,16.077,15.433,15.962,2560400
"19",2014-01-27,15.962,16.008,15.594,15.64,1989700
"20",2014-01-28,15.732,15.755,15.318,15.663,1255300
"21",2014-01-29,15.64,15.87,15.479,15.663,1455200
"22",2014-01-30,15.709,15.778,15.318,15.41,1571100
"23",2014-01-31,15.41,15.41,15.41,15.41,0
"24",2014-02-03,15.41,15.41,15.41,15.41,0
"25",2014-02-05,15.41,15.41,15.41,15.41,0
"26",2014-02-06,15.41,15.41,15.41,15.41,0
"27",2014-02-07,15.295,15.617,14.996,15.525,1683600
"28",2014-02-10,15.479,16.675,15.456,16.514,6974300
"29",2014-02-11,16.675,18.101,16.491,17.204,14293700
"30",2014-02-12,16.951,18.101,16.79,17.664,9141900
"31",2014-02-13,17.342,17.802,17.066,17.158,5549700
"32",2014-02-14,17.112,17.434,16.905,17.296,3175600
"33",2014-02-17,17.227,17.365,16.836,17.365,6378200
"34",2014-02-18,17.204,17.917,17.043,17.457,6332500
"35",2014-02-19,17.595,17.595,16.997,17.158,3611100
"36",2014-02-20,17.066,17.319,16.468,16.537,5089000
"37",2014-02-21,16.537,16.836,16.491,16.79,2290300
"38",2014-02-24,16.79,16.928,16.284,16.583,2949800
"39",2014-02-25,16.56,16.882,15.64,16.008,4273300
"40",2014-02-26,15.893,16.445,15.686,16.422,2884200
"41",2014-02-27,16.445,17.25,16.33,16.537,4957400
"42",2014-02-28,16.376,16.583,15.824,16.422,3651200
"43",2014-03-03,16.445,17.549,16.284,17.48,9229800
"44",2014-03-04,17.48,18.446,17.434,17.572,12321000
"45",2014-03-05,17.434,18.17,17.25,17.296,5418100
"46",2014-03-06,17.112,18.745,16.974,18.699,9131200
"47",2014-03-07,18.4,18.607,18.078,18.423,5382400
"48",2014-03-10,17.986,18.423,17.641,17.779,4210200
"49",2014-03-11,17.388,18.331,17.388,18.216,3551600
"50",2014-03-12,18.055,18.216,17.549,17.756,2867300
"51",2014-03-13,17.572,17.94,17.48,17.848,2892800
"52",2014-03-14,17.802,18.63,17.687,18.584,4936100
"53",2014-03-17,18.561,19.159,18.262,18.676,5076100
"54",2014-03-18,18.676,18.883,18.308,18.722,4418800
"55",2014-03-19,18.538,19.228,17.94,19.113,7316200
"56",2014-03-20,18.952,20.033,18.86,19.067,7864800
"57",2014-03-21,18.906,19.619,18.538,19.32,5201600
"58",2014-03-24,19.389,20.447,19.159,20.102,6836300
"59",2014-03-25,19.987,20.424,19.665,20.263,6940700
"60",2014-03-26,20.056,20.7,19.711,19.78,6726400
"61",2014-03-27,19.803,19.918,18.998,19.044,6147400
"62",2014-03-28,18.4,18.975,18.17,18.469,6185800
"63",2014-03-31,18.423,18.607,17.779,17.963,3538100
