"","Date","Open","High","Low","Close","Volume"
"1",2014-01-01,14.24,14.24,14.24,14.24,0
"2",2014-01-02,14.23,14.57,14.15,14.55,7093500
"3",2014-01-03,14.43,14.5,14.09,14.24,6885700
"4",2014-01-06,14.14,14.14,13.5,13.68,5462500
"5",2014-01-07,13.68,14.14,13.39,13.91,4491900
"6",2014-01-08,13.87,14.33,13.65,14.3,7635200
"7",2014-01-09,14.16,14.32,13.67,13.7,4747600
"8",2014-01-10,13.68,13.79,13.2,13.28,4529500
"9",2014-01-13,13.28,13.55,13.02,13.16,2856100
"10",2014-01-14,13.1,13.4,12.97,13.4,4182100
"11",2014-01-15,13.34,13.89,13.26,13.66,9398900
"12",2014-01-16,13.75,13.75,13.43,13.49,4591200
"13",2014-01-17,13.44,13.49,13.16,13.17,4250300
"14",2014-01-20,13.17,13.34,13.11,13.25,3213200
"15",2014-01-21,13.26,13.47,13.26,13.42,3191600
"16",2014-01-22,13.48,13.85,13.41,13.83,6379800
"17",2014-01-23,13.78,13.93,13.71,13.77,6425400
"18",2014-01-24,13.73,14.08,13.73,13.98,6344000
"19",2014-01-27,13.89,13.91,13.55,13.67,7232500
"20",2014-01-28,13.64,13.72,13.35,13.53,3739200
"21",2014-01-29,13.55,14.35,13.53,14.31,14293200
"22",2014-01-30,14.32,15.31,14.06,14.84,20188300
"23",2014-01-31,14.84,14.84,14.84,14.84,0
"24",2014-02-03,14.84,14.84,14.84,14.84,0
"25",2014-02-05,14.84,14.84,14.84,14.84,0
"26",2014-02-06,14.84,14.84,14.84,14.84,0
"27",2014-02-07,14.59,15.2,14.5,15.03,15315800
"28",2014-02-10,15.06,15.43,14.86,15.24,15143600
"29",2014-02-11,15.25,15.25,14.86,14.98,11129600
"30",2014-02-12,14.9,15.01,14.6,14.96,8349000
"31",2014-02-13,14.93,14.93,14.42,14.47,9213600
"32",2014-02-14,14.43,14.75,14.25,14.68,8425400
"33",2014-02-17,14.77,15.9,14.77,15.84,25973400
"34",2014-02-18,15.86,15.86,15.45,15.5,14429400
"35",2014-02-19,15.51,15.69,15.24,15.56,11622900
"36",2014-02-20,15.56,15.64,15.02,15.04,9864500
"37",2014-02-21,15.03,15.3,14.88,15.15,7950600
"38",2014-02-24,15.14,15.33,14.89,15.31,6875500
"39",2014-02-25,15.28,15.35,14.25,14.35,13091800
"40",2014-02-26,14.14,14.14,13.68,14.07,8134600
"41",2014-02-27,14.19,14.56,14.04,14.19,8450100
"42",2014-02-28,14.07,14.38,13.88,14.3,5769400
