"","Date","Open","High","Low","Close","Volume"
"1",2014-01-01,10.59,10.59,10.59,10.59,0
"2",2014-01-02,10.62,10.99,10.58,10.96,10984100
"3",2014-01-03,10.89,11.04,10.71,10.85,7629900
"4",2014-01-06,10.83,10.83,10,10.1,14364700
"5",2014-01-07,10.05,10.22,9.95,10.11,5219100
"6",2014-01-08,10.18,10.28,10.04,10.06,5764200
"7",2014-01-09,10.1,10.18,9.84,9.88,7950600
"8",2014-01-10,9.81,9.9,9.31,9.41,11868100
"9",2014-01-13,9.41,9.58,9.25,9.29,7538000
"10",2014-01-14,9.36,9.5,9.2,9.49,8988300
"11",2014-01-15,9.53,9.76,9.5,9.66,8741900
"12",2014-01-16,9.67,9.81,9.64,9.67,5597800
"13",2014-01-17,9.65,9.66,9.42,9.49,4847600
"14",2014-01-20,9.46,9.76,9.46,9.7,6860800
"15",2014-01-21,9.71,10.18,9.7,10.15,10702100
"16",2014-01-22,10.22,10.61,10.22,10.43,13210700
"17",2014-01-23,10.4,10.52,10.26,10.41,8763100
"18",2014-01-24,10.39,10.79,10.33,10.6,10541800
"19",2014-01-27,10.51,10.79,10.44,10.7,9048900
"20",2014-01-28,10.86,10.92,10.41,10.48,10326600
"21",2014-01-29,10.52,10.68,10.52,10.62,5569200
"22",2014-01-30,10.57,10.65,10.42,10.44,4457400
"23",2014-01-31,10.44,10.44,10.44,10.44,0
"24",2014-02-03,10.44,10.44,10.44,10.44,0
"25",2014-02-05,10.44,10.44,10.44,10.44,0
"26",2014-02-06,10.44,10.44,10.44,10.44,0
"27",2014-02-07,10.34,10.69,10.18,10.68,7711700
"28",2014-02-10,10.68,10.96,10.68,10.94,10953500
"29",2014-02-11,11.15,11.36,10.87,11.04,20065900
"30",2014-02-12,11.11,11.81,11.02,11.74,22220700
"31",2014-02-13,11.6,11.9,11.5,11.54,16864200
"32",2014-02-14,11.53,11.74,11.4,11.58,12356700
"33",2014-02-17,11.63,11.76,11.51,11.67,14269700
"34",2014-02-18,11.78,12.09,11.68,11.76,26104600
"35",2014-02-19,11.75,11.76,11.41,11.48,17603000
"36",2014-02-20,11.45,11.56,11.11,11.15,14341800
"37",2014-02-21,11.12,11.43,11.08,11.27,11545300
"38",2014-02-24,11.2,11.22,11.01,11.15,9094600
"39",2014-02-25,11.22,11.38,10.7,10.8,13079400
"40",2014-02-26,10.72,10.78,10.4,10.64,10959600
"41",2014-02-27,10.69,10.72,10.17,10.24,13378400
"42",2014-02-28,10.24,10.41,9.95,10.33,12228700
"43",2014-03-03,10.4,10.98,10.36,10.97,17361800
"44",2014-03-04,10.9,11.25,10.77,11.06,15830800
"45",2014-03-05,11.09,11.17,10.87,10.89,8176800
"46",2014-03-06,10.9,10.9,10.5,10.64,9647500
"47",2014-03-07,10.64,10.88,10.51,10.65,9052600
"48",2014-03-10,10.61,10.61,10.22,10.26,6652100
"49",2014-03-11,10.45,11.29,10.45,11.19,33152600
"50",2014-03-12,11.21,11.48,10.8,11.47,37224200
"51",2014-03-13,11.55,11.95,11.54,11.63,35784400
"52",2014-03-14,11.5,12.28,11.4,12.24,41907900
"53",2014-03-17,12.23,12.5,12.03,12.34,37275300
"54",2014-03-18,12.3,12.44,12.02,12.06,27483300
"55",2014-03-19,11.91,12.33,11.83,12.06,28365100
"56",2014-03-20,11.99,12.19,11.58,11.6,24677000
"57",2014-03-21,11.61,12.67,11.5,12.48,40184000
"58",2014-03-24,12.36,13,12.33,12.8,45004700
"59",2014-03-25,12.8,12.94,12.53,12.62,27406000
"60",2014-03-26,12.6,13.17,12.51,13.01,37003900
"61",2014-03-27,13.1,13.25,12.78,12.89,37193400
"62",2014-03-28,12.8,13.04,12.15,12.18,37019100
"63",2014-03-31,12.2,12.85,11.88,12.82,29063000
"64",2014-04-01,12.66,13.4,12.66,12.96,43260700
"65",2014-04-02,12.99,13.2,12.83,12.98,29389100
"66",2014-04-03,13.1,13.34,12.86,13.09,29874300
"67",2014-04-04,13.01,13.8,12.91,13.58,51633100
"68",2014-04-07,13.58,13.58,13.58,13.58,0
"69",2014-04-08,13.4,14.07,13.38,13.5,49792000
"70",2014-04-09,13.38,13.79,13.22,13.77,34975700
"71",2014-04-10,13.76,13.76,13.27,13.32,33012300
"72",2014-04-11,13.2,13.49,13.14,13.29,17088800
"73",2014-04-14,13.29,13.4,12.9,13.31,21745300
"74",2014-04-15,13.22,13.25,12.51,12.52,39981200
"75",2014-04-16,12.4,12.74,12.36,12.6,19981000
"76",2014-04-17,12.59,12.86,12.52,12.54,16441600
"77",2014-04-18,12.49,12.63,12.31,12.44,12922900
"78",2014-04-21,12.32,12.65,12.21,12.47,13643100
"79",2014-04-22,12.21,12.36,11.7,11.96,25137500
"80",2014-04-23,11.95,11.97,11.76,11.82,12809400
"81",2014-04-24,11.77,11.91,11.71,11.73,10408100
"82",2014-04-25,11.72,11.79,11.13,11.2,16699700
"83",2014-04-28,11.23,11.23,10.69,10.73,13217200
"84",2014-04-29,10.68,10.95,10.56,10.91,14137200
"85",2014-04-30,10.47,10.47,9.82,9.82,11883800
"86",2014-05-01,9.82,9.82,9.82,9.82,0
"87",2014-05-02,9.82,9.82,9.82,9.82,0
"88",2014-05-05,9.23,9.64,9.23,9.57,28264500
"89",2014-05-06,9.49,9.68,9.42,9.55,18757900
"90",2014-05-07,9.59,9.62,9.37,9.41,13593100
"91",2014-05-08,9.46,9.57,9.34,9.36,13972200
"92",2014-05-09,9.32,9.43,9.03,9.15,13671600
"93",2014-05-12,9.24,9.45,9.16,9.42,17383400
"94",2014-05-13,9.44,9.56,9.37,9.45,12079300
"95",2014-05-14,9.49,9.5,9.38,9.43,7835800
"96",2014-05-15,9.43,9.44,9.06,9.12,15148400
"97",2014-05-16,9.1,9.16,8.71,8.87,14981500
"98",2014-05-19,8.89,9.02,8.7,9,8612800
"99",2014-05-20,9.02,9.12,8.97,9.03,8414700
"100",2014-05-21,9.06,9.14,8.85,9.12,6422900
"101",2014-05-22,9.15,9.27,9.05,9.09,9679700
"102",2014-05-23,9.09,9.19,9.07,9.18,6022700
"103",2014-05-26,9.19,9.29,9.13,9.28,8161900
"104",2014-05-27,9.29,9.29,9.06,9.1,8764800
"105",2014-05-28,9.1,9.15,8.97,9.14,9617800
"106",2014-05-29,9.14,9.14,8.92,8.93,8846200
"107",2014-05-30,8.93,9.03,8.9,8.98,6448000
"108",2014-06-02,8.98,8.98,8.98,8.98,0
"109",2014-06-03,9,9.1,8.95,8.98,7142000
"110",2014-06-04,8.98,9.02,8.84,8.89,5614700
"111",2014-06-05,8.89,9.01,8.86,8.99,5721200
"112",2014-06-06,9,9.01,8.86,8.88,5119000
"113",2014-06-09,8.87,8.95,8.78,8.79,6005600
"114",2014-06-10,8.79,8.81,8.08,8.33,26377900
"115",2014-06-11,8.3,8.4,8.27,8.34,10114500
"116",2014-06-12,8.33,9.08,8.32,9.03,29037100
"117",2014-06-13,9,9.08,8.85,9.04,17572400
"118",2014-06-16,9.05,9.08,8.92,8.99,10456700
"119",2014-06-17,9.02,9.35,8.99,9.21,27462700
"120",2014-06-18,9,9,8.69,8.71,12742200
"121",2014-06-19,8.66,8.73,8.25,8.35,12775000
"122",2014-06-20,8.35,8.44,8.3,8.42,5133300
"123",2014-06-23,8.47,8.56,8.38,8.39,6271700
"124",2014-06-24,8.39,9.09,8.39,8.85,20573500
"125",2014-06-25,8.8,8.85,8.63,8.77,10806900
"126",2014-06-26,8.8,9.03,8.75,8.85,14723500
"127",2014-06-27,8.87,9.23,8.83,9.1,25122900
"128",2014-06-30,9.1,9.19,8.99,9.15,12957500
"129",2014-07-01,9.11,9.17,8.94,9.05,13320500
"130",2014-07-02,9.07,9.12,8.9,8.98,13186900
"131",2014-07-03,8.98,9.18,8.91,9.11,17326300
"132",2014-07-04,9.13,9.36,9.07,9.24,22780700
"133",2014-07-07,9.21,9.24,9.06,9.16,10166400
"134",2014-07-08,9.15,9.15,9,9.12,7983400
"135",2014-07-09,9.12,9.17,8.87,8.88,11308600
"136",2014-07-10,8.88,8.95,8.73,8.77,12753300
"137",2014-07-11,8.74,8.95,8.71,8.88,6667500
"138",2014-07-14,8.92,9.15,8.88,9.12,10973000
"139",2014-07-15,9.12,9.16,9,9.09,8815800
"140",2014-07-16,9.06,9.12,8.99,9.03,6880800
"141",2014-07-17,9.09,9.22,9.01,9.16,13468600
"142",2014-07-18,9.08,9.08,8.6,8.78,22951700
"143",2014-07-21,8.63,8.74,8.48,8.56,13171900
"144",2014-07-22,8.55,8.6,8.42,8.59,15009100
"145",2014-07-23,8.56,8.6,8.36,8.44,12062800
"146",2014-07-24,8.45,8.51,8.38,8.5,8263300
"147",2014-07-25,8.5,8.62,8.45,8.61,8837600
"148",2014-07-28,8.61,8.89,8.61,8.82,14833700
"149",2014-07-29,8.85,9.05,8.82,9.04,21377400
"150",2014-07-30,9.1,9.13,8.91,9.03,15877200
"151",2014-07-31,9.03,9.1,8.96,9.09,14321300
"152",2014-08-01,9.08,9.24,9.02,9.06,21089700
"153",2014-08-04,9.05,9.2,9.02,9.2,18460400
"154",2014-08-05,9.21,9.56,9.12,9.5,40803800
"155",2014-08-06,9.42,9.62,9.34,9.49,23300700
"156",2014-08-07,9.46,9.56,9.31,9.34,17549600
"157",2014-08-08,9.35,9.44,9.22,9.32,12620900
"158",2014-08-11,9.4,9.65,9.37,9.58,22607800
"159",2014-08-12,9.57,9.64,9.5,9.61,14464800
"160",2014-08-13,9.6,9.62,9.34,9.46,15064200
"161",2014-08-14,9.45,9.51,9.29,9.31,14436300
"162",2014-08-15,9.46,10.24,9.45,10.24,67822900
"163",2014-08-18,10.45,10.94,10.39,10.75,72517000
"164",2014-08-19,10.68,10.68,10.43,10.6,39148000
"165",2014-08-20,10.53,10.56,10.32,10.48,24304900
"166",2014-08-21,10.52,10.71,10.4,10.57,30274700
"167",2014-08-22,10.57,10.58,10.35,10.42,18221300
"168",2014-08-25,10.45,10.48,10.24,10.29,16230900
"169",2014-08-26,10.29,10.29,9.75,9.81,27457000
"170",2014-08-27,9.75,9.89,9.72,9.78,12385200
"171",2014-08-28,9.79,9.8,9.51,9.62,13809200
"172",2014-08-29,9.64,9.75,9.55,9.75,9826600
"173",2014-09-01,9.77,10.03,9.71,9.96,13475700
"174",2014-09-02,10,10.06,9.92,10.03,17867300
"175",2014-09-03,10.03,10.38,10,10.29,27933200
"176",2014-09-04,10.22,10.31,10.17,10.27,16248500
"177",2014-09-05,10.27,10.37,10.11,10.24,15246000
"178",2014-09-08,10.24,10.24,10.24,10.24,0
"179",2014-09-09,10.24,10.35,10.03,10.32,17861100
"180",2014-09-10,10.29,10.29,10.11,10.23,12735200
"181",2014-09-11,10.24,10.49,10.17,10.45,32613900
"182",2014-09-12,10.4,10.48,10.34,10.48,18454800
"183",2014-09-15,10.5,10.56,10.36,10.48,19633600
"184",2014-09-16,10.5,10.53,9.89,9.96,26572700
"185",2014-09-17,9.95,10.06,9.73,9.94,15647600
"186",2014-09-18,9.93,10.03,9.85,10,10284300
"187",2014-09-19,10,10.15,9.88,10.11,13669400
"188",2014-09-22,10.07,10.07,9.82,9.85,11484700
"189",2014-09-23,9.85,9.96,9.85,9.96,10628000
"190",2014-09-24,9.93,10.15,9.87,10.13,14251000
"191",2014-09-25,10.21,10.87,10.16,10.59,49571100
"192",2014-09-26,10.4,10.55,10.35,10.41,21220900
"193",2014-09-29,10.48,10.69,10.41,10.52,22684900
"194",2014-09-30,10.52,10.6,10.43,10.45,15713500
"195",2014-10-01,10.45,10.45,10.45,10.45,0
"196",2014-10-02,10.45,10.45,10.45,10.45,0
"197",2014-10-03,10.45,10.45,10.45,10.45,0
"198",2014-10-06,10.45,10.45,10.45,10.45,0
"199",2014-10-07,10.45,10.45,10.45,10.45,0
"200",2014-10-08,10.51,10.7,10.48,10.69,25262000
"201",2014-10-09,10.68,10.73,10.43,10.6,22481100
"202",2014-10-10,10.51,10.56,10.38,10.41,16383200
"203",2014-10-13,10.4,10.5,10.23,10.5,15235800
"204",2014-10-14,10.47,10.58,10.33,10.44,13963800
"205",2014-10-15,10.44,10.49,10.31,10.43,11844300
"206",2014-10-16,10.4,10.44,10.16,10.17,14748500
"207",2014-10-17,10.14,10.17,9.91,10.03,16252000
"208",2014-10-20,10.07,10.17,10.05,10.14,7002900
