time,CPI
2014-5-1,100.1
2014-4-1,99.7
2014-3-1,99.5
2014-2-1,100.5
2014-1-1,101
2013-12-1,100.3
2013-11-1,99.9
2013-10-1,100.1
2013-9-1,100.8
2013-8-1,100.5
2013-7-1,100.1
2013-6-1,100
2013-5-1,99.4
2013-4-1,100.2
2013-3-1,99.1
2013-2-1,101.1
2013-1-1,101
2012-12-1,100.8
2012-11-1,100.1
2012-10-1,99.9
2012-9-1,100.3
2012-8-1,100.6
2012-7-1,100.1
2012-6-1,99.4
2012-5-1,99.7
2012-4-1,99.9
2012-3-1,100.2
2012-2-1,99.9
2012-1-1,101.5
2011-12-1,100.3
2011-11-1,99.8
2011-10-1,100.1
2011-9-1,100.5
2011-8-1,100.3
2011-7-1,100.5
2011-6-1,100.3
2011-5-1,100.1
2011-4-1,100.1
2011-3-1,99.8
2011-2-1,101.2
2011-1-1,101
2010-12-1,100.5
2010-11-1,101.1
2010-10-1,100.7
2010-9-1,100.6
2010-8-1,100.6
2010-7-1,100.4
2010-6-1,99.4
2010-5-1,99.9
2010-4-1,100.2
2010-3-1,99.3
2010-2-1,101.2
2010-1-1,100.6
2009-12-1,101
2009-11-1,100.3
2009-10-1,99.9
2009-9-1,100.4
2009-8-1,100.5
2009-7-1,100
2009-6-1,99.5
2009-5-1,99.7
2009-4-1,99.8
2009-3-1,99.7
2009-2-1,100
2009-1-1,100.9
2008-12-1,99.8
2008-11-1,99.2
2008-10-1,99.7
2008-9-1,100
2008-8-1,99.9
2008-7-1,100.1
2008-6-1,99.8
2008-5-1,99.6
2008-4-1,100.1
2008-3-1,99.3
2008-2-1,102.6
2008-1-1,101.2
2007-12-1,101
2007-11-1,100.7
2007-10-1,100.3
2007-9-1,100.3
2007-8-1,101.2
2007-7-1,
2007-6-1,100.4
2007-5-1,100.3
2007-4-1,99.9
2007-3-1,99.7
2007-2-1,101
2007-1-1,100.7
2006-12-1,101.4
2006-11-1,100.3
2006-10-1,100.1
2006-9-1,100.5
2006-8-1,100.4
2006-7-1,101
2006-6-1,101.5
2006-5-1,99.8
2006-4-1,100.1
2006-3-1,99
2006-2-1,100.5
2006-1-1,101.3
2005-12-1,100.4
2005-11-1,99.7
2005-10-1,100.4
2005-9-1,100.7
2005-8-1,100.2
2005-7-1,100
2005-6-1,99.2
2005-5-1,99.8
2005-4-1,99.7
2005-3-1,99.1
2005-2-1,101.8
2005-1-1,100.6
2004-12-1,100.1
2004-11-1,99.7
2004-10-1,100
2004-9-1,101.1
2004-8-1,100.7
2004-7-1,99.8
2004-6-1,99.3
2004-5-1,99.9
2004-4-1,100.5
2004-3-1,100.3
2004-2-1,99.8
2004-1-1,101.1
2003-12-1,100.6
2003-11-1,101
2003-10-1,100.9
2003-9-1,101.2
2003-8-1,100.7
2003-7-1,99.5
2003-6-1,98.8
2003-5-1,99.3
2003-4-1,99.8
2003-3-1,99.4
2003-2-1,100.9
2003-1-1,101.1
2002-12-1,100.3
2002-11-1,99.9
2002-10-1,100.2
2002-9-1,101
2002-8-1,100.3
2002-7-1,99.3
2002-6-1,99.1
2002-5-1,99.7
2002-4-1,99.7
2002-3-1,98.7
2002-2-1,101.1
2002-1-1,100.3
2001-12-1,100.1
2001-11-1,99.8
2001-10-1,100.3
2001-9-1,100.9
2001-8-1,100.1
2001-7-1,99.5
2001-6-1,98.8
2001-5-1,99.5
2001-4-1,100.2
2001-3-1,99.4
2001-2-1,100.2
2001-1-1,101.9
