Indexcd	Trddt	Daywk	Opnindex	Hiindex	Loindex	Clsindex	Retindex
1	2014/1/2	4	2112.126	2113.11	2101.016	2109.387	-0.003115
1	2014/1/3	5	2101.542	2102.167	2075.899	2083.136	-0.012445
1	2014/1/6	1	2078.684	2078.684	2034.006	2045.709	-0.017967
1	2014/1/7	2	2034.224	2052.279	2029.246	2047.317	0.000786
1	2014/1/8	3	2047.256	2062.952	2037.11	2044.34	-0.001454
1	2014/1/9	4	2041.773	2057.196	2026.446	2027.622	-0.008178
1	2014/1/10	5	2023.535	2029.297	2008.007	2013.298	-0.007064
1	2014/1/13	1	2014.978	2027.181	2000.404	2009.564	-0.001855
1	2014/1/14	2	2007.156	2027.428	2001.135	2026.842	0.008598
1	2014/1/15	3	2024.228	2027.409	2010.204	2023.348	-0.001724
1	2014/1/16	4	2022.538	2034.707	2014.407	2023.701	0.000174
1	2014/1/17	5	2017.522	2017.868	2001.33	2004.949	-0.009266
1	2014/1/20	1	2001.894	2005.938	1984.824	1991.253	-0.006831
1	2014/1/21	2	1992.015	2014.152	1992.015	2008.313	0.008567
1	2014/1/22	3	2009.969	2052.339	2008.93	2051.749	0.021628
1	2014/1/23	4	2048.331	2052.528	2039.052	2042.18	-0.004664
1	2014/1/24	5	2037.667	2060.986	2034.453	2054.392	0.00598
1	2014/1/27	1	2044.272	2044.846	2029.626	2033.3	-0.010267
1	2014/1/28	2	2036.402	2047.129	2026.987	2038.513	0.002564
1	2014/1/29	3	2042.176	2051.583	2039.771	2049.914	0.005593
1	2014/1/30	4	2045.931	2045.931	2031.466	2033.083	-0.008211
1	2014/2/7	5	2022.323	2044.73	2014.698	2044.497	0.005614
1	2014/2/10	1	2049.984	2087.975	2049.984	2086.067	0.020333
1	2014/2/11	2	2086.177	2111.061	2082.522	2103.671	0.008439
1	2014/2/12	3	2103.828	2110.904	2096.509	2109.955	0.002987
1	2014/2/13	4	2106.934	2122.826	2096.966	2098.401	-0.005476
1	2014/2/14	5	2097.32	2116.186	2095.09	2115.848	0.008314
1	2014/2/17	1	2124.88	2136.447	2117.689	2135.415	0.009248
1	2014/2/18	2	2134.143	2134.143	2113.128	2119.066	-0.007656
1	2014/2/19	3	2116.919	2152.961	2111.168	2142.554	0.011084
1	2014/2/20	4	2152.891	2177.978	2136.481	2138.782	-0.001761
1	2014/2/21	5	2131.592	2132.703	2098.328	2113.693	-0.011731
1	2014/2/24	1	2099.717	2099.717	2058.791	2076.686	-0.017508
1	2014/2/25	2	2077.285	2087.616	2026.543	2034.219	-0.020449
1	2014/2/26	3	2026.61	2041.627	2014.381	2041.254	0.003458
1	2014/2/27	4	2045.096	2068.314	2036.391	2047.354	0.002988
1	2014/2/28	5	2040.624	2058.489	2020.935	2056.302	0.004371
1	2014/3/3	1	2052.075	2078.333	2047.067	2075.235	0.009207
1	2014/3/4	2	2068.107	2074.025	2050.125	2071.473	-0.001813
1	2014/3/5	3	2073.295	2074.815	2050.175	2053.084	-0.008877
1	2014/3/6	4	2050.032	2065.79	2030.946	2059.578	0.003163
1	2014/3/7	5	2058.375	2079.49	2050.47	2057.908	-0.000811
1	2014/3/10	1	2042.352	2042.634	1995.549	1999.065	-0.028594
1	2014/3/11	2	1994.415	2008.071	1985.599	2001.157	0.001046
1	2014/3/12	3	1996.239	2011.06	1974.382	1997.692	-0.001731
1	2014/3/13	4	2000.695	2029.12	1996.529	2019.111	0.010722
1	2014/3/14	5	2008.825	2017.913	1990.98	2004.339	-0.007316
1	2014/3/17	1	2009.882	2024.372	1999.249	2023.673	0.009646
1	2014/3/18	2	2026.224	2034.917	2020.41	2025.196	0.000753
1	2014/3/19	3	2019.98	2022.181	2002.441	2021.734	-0.001709
1	2014/3/20	4	2017.22	2030.847	1993.002	1993.479	-0.013976
1	2014/3/21	5	1987.679	2052.472	1986.071	2047.619	0.027159
1	2014/3/24	1	2050.827	2074.056	2043.33	2066.279	0.009113
1	2014/3/25	2	2063.323	2079.551	2057.491	2067.311	0.000499
1	2014/3/26	3	2070.574	2074.572	2057.648	2063.67	-0.001761
1	2014/3/27	4	2060.812	2073.982	2042.713	2046.588	-0.008277
1	2014/3/28	5	2046.851	2060.134	2035.243	2041.712	-0.002383
1	2014/3/31	1	2043.045	2048.134	2024.185	2033.306	-0.004117
1	2014/4/1	2	2031.005	2050.681	2028.096	2047.46	0.006961
1	2014/4/2	3	2049.423	2060.778	2046.742	2058.988	0.00563
1	2014/4/3	4	2063.497	2066.007	2037.447	2043.702	-0.007424
1	2014/4/4	5	2037.552	2060.104	2035.221	2058.831	0.007403
1	2014/4/8	2	2054.53	2102.452	2052.9	2098.284	0.019163
1	2014/4/9	3	2100.651	2108.75	2095.64	2105.237	0.003314
1	2014/4/10	4	2105.876	2146.67	2098.079	2134.3	0.013805
1	2014/4/11	5	2130.368	2138.651	2120.179	2130.542	-0.001761
1	2014/4/14	1	2127.409	2134.434	2116.61	2131.539	0.000468
1	2014/4/15	2	2125.902	2125.902	2098.15	2101.601	-0.014045
1	2014/4/16	3	2097.213	2112.05	2092.157	2105.122	0.001675
1	2014/4/17	4	2108.947	2110.716	2095.714	2098.885	-0.002963
1	2014/4/18	5	2091.48	2099.637	2081.185	2097.748	-0.000542
1	2014/4/21	1	2085.98	2103.078	2065.234	2065.826	-0.015217
1	2014/4/22	2	2062.787	2073.663	2047.332	2072.831	0.003391
1	2014/4/23	3	2068.084	2076.349	2059.109	2067.382	-0.002629
1	2014/4/24	4	2064.156	2075.757	2056.193	2057.033	-0.005006
1	2014/4/25	5	2060.538	2065.643	2035.566	2036.519	-0.009973
1	2014/4/28	1	2033.337	2035.99	2000.137	2003.487	-0.01622
1	2014/4/29	2	2001.896	2021.68	1997.64	2020.341	0.008412
1	2014/4/30	3	2020.438	2029.538	2016.577	2026.358	0.002978
1	2014/5/5	1	2022.178	2028.957	2007.351	2027.353	0.000491
1	2014/5/6	2	2024.256	2038.705	2021.485	2028.038	0.000338
1	2014/5/7	3	2023.152	2024.631	2008.451	2010.083	-0.008853
1	2014/5/8	4	2006.853	2036.941	2005.685	2015.274	0.002582
1	2014/5/9	5	2016.501	2020.454	2001.3	2011.135	-0.002054
1	2014/5/12	1	2022.932	2055.506	2016.638	2052.871	0.020752
1	2014/5/13	2	2055.079	2061.06	2043.547	2050.728	-0.001044
1	2014/5/14	3	2049.27	2056.574	2042.744	2047.91	-0.001374
1	2014/5/15	4	2044.377	2047.316	2022.861	2024.974	-0.0112
1	2014/5/16	5	2023.596	2027.756	2012.694	2026.504	0.000756
1	2014/5/19	1	2023.014	2023.267	1996.015	2005.183	-0.010521
1	2014/5/20	2	2011.846	2018.156	2002.759	2008.119	0.001464
1	2014/5/21	3	2001.306	2025.194	1991.055	2024.951	0.008382
1	2014/5/22	4	2023.148	2041.96	2018.877	2021.285	-0.00181
1	2014/5/23	5	2020.115	2034.569	2017.739	2034.569	0.006572
1	2014/5/26	1	2042.028	2045.381	2035.094	2041.476	0.003395
1	2014/5/27	2	2039.791	2044.148	2032.839	2034.565	-0.003385
1	2014/5/28	3	2034.561	2052.656	2029.336	2050.228	0.007698
1	2014/5/29	4	2051.84	2057.077	2039.238	2040.595	-0.004699
1	2014/5/30	5	2040.394	2046.96	2031.373	2039.212	-0.000678
1	2014/6/3	2	2039.196	2049.576	2037.3	2038.305	-0.000445
1	2014/6/4	3	2037.989	2038.481	2012.913	2024.834	-0.006609
1	2014/6/5	4	2019.442	2041.701	2016.175	2040.878	0.007924
1	2014/6/6	5	2040.864	2041.573	2022.158	2029.956	-0.005352
1	2014/6/9	1	2024.942	2045.255	2023.198	2030.502	0.000269
1	2014/6/10	2	2033.207	2052.765	2026.389	2052.532	0.01085
1	2014/6/11	3	2049.128	2056.631	2045.407	2054.948	0.001177
1	2014/6/12	4	2051.582	2057.105	2045.962	2051.713	-0.001574
1	2014/6/13	5	2049.206	2073.596	2048.618	2070.715	0.009262
1	2014/6/16	1	2070.699	2087.322	2069.441	2085.983	0.007373
1	2014/6/17	2	2080.482	2080.482	2064.666	2066.698	-0.009245
1	2014/6/18	3	2064.383	2066.913	2051.746	2055.519	-0.005409
1	2014/6/19	4	2054.62	2059.255	2017.653	2023.735	-0.015463
1	2014/6/20	5	2013.414	2027.148	2010.53	2026.674	0.001452
1	2014/6/23	1	2026.226	2033.32	2022.917	2024.365	-0.001139
1	2014/6/24	2	2023.699	2034.707	2021.75	2033.931	0.004725
1	2014/6/25	3	2030.433	2030.616	2018.36	2025.502	-0.004144
1	2014/6/26	4	2025.662	2040.754	2025.314	2038.677	0.006505
1	2014/6/27	5	2031.907	2043.982	2025.073	2036.51	-0.001063
1	2014/6/30	1	2038.613	2052.342	2038.527	2048.327	0.005803
1	2014/7/1	2	2051.225	2052.635	2041.937	2050.381	0.001003
1	2014/7/2	3	2049.485	2060.595	2044.035	2059.418	0.004407
1	2014/7/3	4	2051.632	2066.641	2048.081	2063.229	0.001851
1	2014/7/4	5	2062.358	2065.078	2054.217	2059.375	-0.001868
1	2014/7/7	1	2058.128	2064.043	2050.887	2059.927	0.000268
1	2014/7/8	2	2058.134	2064.433	2047.204	2064.021	0.001987
1	2014/7/9	3	2061.635	2062.474	2037.601	2038.612	-0.01231
1	2014/7/10	4	2036.54	2045.527	2034.956	2038.342	-0.000132
1	2014/7/11	5	2033.869	2051.737	2033.004	2046.961	0.004228
1	2014/7/14	1	2047.744	2067.342	2044.901	2066.646	0.009617
1	2014/7/15	2	2065.9	2070.358	2059.679	2070.357	0.001796
1	2014/7/16	3	2068.343	2075.493	2061.572	2067.276	-0.001488
1	2014/7/17	4	2062.888	2062.888	2046.189	2055.591	-0.005652
1	2014/7/18	5	2047.498	2067.233	2045.996	2059.067	0.001691
1	2014/7/21	1	2057.767	2061.823	2049.175	2054.479	-0.002228
1	2014/7/22	2	2050.5	2078.085	2049.815	2075.481	0.010223
1	2014/7/23	3	2074.195	2088.192	2072.229	2078.489	0.001449
1	2014/7/24	4	2079.632	2107.946	2079.632	2105.062	0.012785
1	2014/7/25	5	2108.714	2127.217	2106.714	2126.614	0.010238
1	2014/7/28	1	2135.249	2181.496	2135.249	2177.948	0.024139
1	2014/7/29	2	2179.826	2193.523	2172.102	2183.192	0.002408
1	2014/7/30	3	2178.179	2194.572	2177.244	2181.243	-0.000893
1	2014/7/31	4	2179.543	2202.126	2173.9	2201.562	0.009315
1	2014/8/1	5	2194.17	2218.789	2184.641	2185.303	-0.007385
1	2014/8/4	1	2190.036	2224.068	2186.917	2223.331	0.017402
1	2014/8/5	2	2224.632	2226.838	2206.85	2219.945	-0.001523
1	2014/8/6	3	2212.003	2223.893	2192.993	2217.465	-0.001117
1	2014/8/7	4	2216.659	2220.568	2185.763	2187.669	-0.013437
1	2014/8/8	5	2188.709	2199.578	2180.597	2194.425	0.003088
1	2014/8/11	1	2199.433	2225.961	2198.314	2224.654	0.013775
1	2014/8/12	2	2222.696	2222.979	2210	2221.595	-0.001375
1	2014/8/13	3	2223.051	2230.991	2202.443	2222.877	0.000577
1	2014/8/14	4	2221.541	2230.894	2204.384	2206.466	-0.007383
1	2014/8/15	5	2207.226	2230.872	2203.242	2226.734	0.009186
1	2014/8/18	1	2229.804	2242.035	2228.134	2239.466	0.005718
1	2014/8/19	2	2242.34	2246.016	2227.925	2245.33	0.002618
1	2014/8/20	3	2241.664	2248.939	2233.892	2240.211	-0.00228
1	2014/8/21	4	2239.568	2240.077	2211.63	2230.458	-0.004354
1	2014/8/22	5	2228.974	2243.303	2225.267	2240.812	0.004642
1	2014/8/25	1	2241.1	2241.553	2222.009	2229.274	-0.005149
1	2014/8/26	2	2225.291	2232.785	2200.618	2207.106	-0.009944
1	2014/8/27	3	2207.03	2216.67	2204.048	2209.465	0.001069
1	2014/8/28	4	2210.484	2219.473	2194.861	2195.818	-0.006177
1	2014/8/29	5	2198.946	2218.696	2193.263	2217.2	0.009738
1	2014/9/1	1	2220.129	2236.286	2217.685	2235.511	0.008259
1	2014/9/2	2	2239.684	2267.509	2234.378	2266.046	0.013659
1	2014/9/3	3	2268.395	2290.547	2268.1	2288.627	0.009965
1	2014/9/4	4	2290.029	2307.701	2283.277	2306.862	0.007968
1	2014/9/5	5	2311.305	2327.557	2307.447	2326.432	0.008483
1	2014/9/9	2	2328.426	2331.917	2315.894	2326.527	0.000041
1	2014/9/10	3	2318.496	2321.908	2306.421	2318.305	-0.003534
1	2014/9/11	4	2315.732	2343.595	2304.602	2311.679	-0.002858
1	2014/9/12	5	2308.346	2331.95	2302.775	2331.95	0.008769
1	2014/9/15	1	2330.187	2340.449	2321.593	2339.14	0.003083
1	2014/9/16	2	2341.027	2347.935	2293.869	2296.555	-0.018205
1	2014/9/17	3	2298.982	2309.048	2282.795	2307.893	0.004937
1	2014/9/18	4	2303.85	2319.875	2297.931	2315.928	0.003482
1	2014/9/19	5	2312.984	2331.561	2305.517	2329.451	0.005839
1	2014/9/22	1	2323.554	2323.554	2284.378	2289.866	-0.016993
1	2014/9/23	2	2289.091	2311.525	2289.024	2309.718	0.00867
1	2014/9/24	3	2302.231	2345.747	2297.876	2343.575	0.014658
1	2014/9/25	4	2352.865	2365.154	2336.805	2345.103	0.000652
1	2014/9/26	5	2339.288	2350.109	2329.955	2347.718	0.001115
1	2014/9/29	1	2353.708	2363.059	2346.579	2357.711	0.004256
1	2014/9/30	2	2361.318	2365.491	2354.268	2363.87	0.002612
1	2014/10/8	3	2368.576	2382.794	2354.29	2382.794	0.008006
1	2014/10/9	4	2383.859	2391.348	2367.111	2389.371	0.00276
1	2014/10/10	5	2380.755	2386.277	2365.075	2374.54	-0.006207
1	2014/10/13	1	2366.426	2366.862	2341.124	2366.009	-0.003593
1	2014/10/14	2	2362.802	2380.515	2349.194	2359.475	-0.002762
1	2014/10/15	3	2358.233	2374.808	2344.373	2373.67	0.006016
1	2014/10/16	4	2361.13	2389.675	2353.406	2356.499	-0.007234
1	2014/10/17	5	2352.784	2360.597	2312.826	2341.184	-0.006499
1	2014/10/20	1	2346.052	2357.509	2340.459	2356.728	0.006639
1	2014/10/21	2	2355.033	2361.653	2337.551	2339.657	-0.007244
1	2014/10/22	3	2339.223	2352.124	2324.59	2326.553	-0.005601
1	2014/10/23	4	2322.316	2329.927	2297.33	2302.418	-0.010374
1	2014/10/24	5	2303.08	2314.875	2296.657	2302.28	-0.00006
1	2014/10/27	1	2293.573	2293.644	2279.836	2290.437	-0.005144
1	2014/10/28	2	2294.012	2338.278	2294.012	2337.871	0.02071
1	2014/10/29	3	2343.72	2381.643	2339.712	2373.03	0.015039
1	2014/10/30	4	2371.891	2397.256	2365.919	2391.076	0.007605
1	2014/10/31	5	2393.178	2423.596	2384.483	2420.178	0.012171
1	2014/11/3	1	2425.225	2436.785	2418.167	2430.032	0.004072
1	2014/11/4	2	2428.271	2435.223	2417.221	2430.677	0.000265
1	2014/11/5	3	2432.169	2434.363	2415.502	2419.254	-0.0047
1	2014/11/6	4	2419.617	2426.89	2401.75	2425.864	0.002732
1	2014/11/7	5	2427.898	2454.423	2407.442	2418.171	-0.003171
1	2014/11/10	1	2436.628	2474.156	2428.185	2473.673	0.022952
1	2014/11/11	2	2483.648	2508.623	2445.96	2469.673	-0.001617
1	2014/11/12	3	2454.602	2494.917	2444.814	2494.476	0.010043
1	2014/11/13	4	2494.998	2507.743	2471.407	2485.606	-0.003556
1	2014/11/14	5	2477.966	2481.025	2457.045	2478.824	-0.002729
1	2014/11/17	1	2506.864	2508.767	2472.446	2474.009	-0.001942
1	2014/11/18	2	2474.182	2477.052	2449.813	2456.366	-0.007131
1	2014/11/19	3	2452.15	2461.491	2442.71	2450.986	-0.00219
1	2014/11/20	4	2443.276	2458.319	2437.476	2452.66	0.000683
1	2014/11/21	5	2452.635	2488.201	2446.646	2486.791	0.013916
1	2014/11/24	1	2505.532	2546.746	2495.521	2532.879	0.018533
1	2014/11/25	2	2531.998	2568.381	2527.077	2567.597	0.013707
1	2014/11/26	3	2572.649	2605.07	2570.404	2604.345	0.014312
1	2014/11/27	4	2615.367	2631.399	2599.108	2630.486	0.010037
1	2014/11/28	5	2629.626	2683.18	2622.061	2682.835	0.019901
1	2014/12/1	1	2691.725	2720.743	2668.841	2680.155	-0.000999
1	2014/12/2	2	2667.82	2777.372	2665.686	2763.545	0.031114
1	2014/12/3	3	2768.678	2824.179	2733.868	2779.525	0.005782
1	2014/12/4	4	2783.469	2900.508	2772.432	2899.456	0.043148
1	2014/12/5	5	2926.573	2978.029	2813.052	2937.647	0.013172
1	2014/12/8	1	2907.815	3041.657	2879.847	3020.258	0.028121
1	2014/12/9	2	2992.49	3091.324	2834.592	2856.269	-0.054296
1	2014/12/10	3	2855.94	2946.707	2807.678	2940.006	0.029317
1	2014/12/11	4	2912.346	2965.675	2892.611	2925.743	-0.004851
1	2014/12/12	5	2929.36	2962.51	2914.956	2938.173	0.004248
1	2014/12/15	1	2921.446	2960.227	2890.904	2953.421	0.00519
1	2014/12/16	2	2953.811	3021.897	2943.912	3021.518	0.023057
1	2014/12/17	3	3031.952	3076.599	2993.333	3061.02	0.013074
1	2014/12/18	4	3062.801	3089.791	3030.319	3057.521	-0.001143
1	2014/12/19	5	3053.075	3117.527	3018.421	3108.596	0.016705
1	2014/12/22	1	3129.267	3189.867	3090.509	3127.445	0.006064
1	2014/12/23	2	3085.08	3136.838	3025.667	3032.612	-0.030323
1	2014/12/24	3	3039.206	3050.507	2934.911	2972.532	-0.019811
1	2014/12/25	4	2992.462	3073.345	2969.874	3072.536	0.033643
1	2014/12/26	5	3078.005	3164.155	3064.176	3157.603	0.027686
1	2014/12/29	1	3212.559	3223.86	3126.944	3168.016	0.003298
