Date,Open,High,Low,Close,Volume,Name
2006-01-03,10.34,10.68,10.32,10.68,201853036,AAPL
2006-01-04,10.73,10.85,10.64,10.71,155225609,AAPL
2006-01-05,10.69,10.7,10.54,10.63,112396081,AAPL
2006-01-06,10.75,10.96,10.65,10.9,176139334,AAPL
2006-01-09,10.96,11.03,10.82,10.86,168861224,AAPL
2006-01-10,10.89,11.7,10.83,11.55,570088246,AAPL
2006-01-11,11.98,12.11,11.8,11.99,373548882,AAPL
2006-01-12,12.14,12.34,11.95,12.04,320201966,AAPL
2006-01-13,12.14,12.29,12.09,12.23,194153393,AAPL
2006-01-17,12.24,12.34,11.98,12.1,209215265,AAPL
2006-01-18,11.87,12.01,11.69,11.78,303279501,AAPL
2006-01-19,11.61,11.67,11.25,11.29,424100026,AAPL
2006-01-20,11.33,11.43,10.83,10.87,284634847,AAPL
2006-01-23,10.87,11.37,10.86,11.1,264942587,AAPL
2006-01-24,11.25,11.35,10.82,10.86,285661873,AAPL
2006-01-25,11.06,11.07,10.46,10.6,319019939,AAPL
2006-01-26,10.65,10.78,10.28,10.33,295599087,AAPL
2006-01-27,10.42,10.51,10.16,10.29,238597205,AAPL
2006-01-30,10.17,10.94,10.12,10.71,349600251,AAPL
2006-01-31,10.79,10.91,10.54,10.79,228385745,AAPL
2006-02-01,10.71,10.92,10.66,10.77,130335751,AAPL
2006-02-02,10.73,10.77,10.29,10.3,176898442,AAPL
2006-02-03,10.32,10.4,10.15,10.26,173040616,AAPL
2006-02-06,10.29,10.36,9.53,9.61,413058506,AAPL
2006-02-07,9.75,9.93,9.53,9.66,347308367,AAPL
2006-02-08,9.78,9.87,9.43,9.83,238316400,AAPL
2006-02-09,9.87,9.89,9.22,9.28,287548464,AAPL
2006-02-10,9.31,9.67,8.99,9.62,440118924,AAPL
2006-02-13,9.52,9.54,9.23,9.24,220907862,AAPL
2006-02-14,9.3,9.73,9.29,9.66,290278597,AAPL
2006-02-15,9.59,9.95,9.54,9.89,290010133,AAPL
2006-02-16,9.99,10.14,9.93,10.08,238485674,AAPL
2006-02-17,10.04,10.13,9.94,10.04,143999667,AAPL
2006-02-21,10.08,10.11,9.81,9.87,194941775,AAPL
2006-02-22,9.86,10.24,9.71,10.19,244625822,AAPL
2006-02-23,10.26,10.43,10.2,10.25,214376771,AAPL
2006-02-24,10.31,10.41,10.17,10.21,133695940,AAPL
2006-02-27,10.28,10.3,10.09,10.14,197844178,AAPL
2006-02-28,10.23,10.34,9.73,9.78,316873795,AAPL
2006-03-01,9.83,9.93,9.72,9.87,190969667,AAPL
2006-03-02,9.86,10.0,9.81,9.94,156396212,AAPL
2006-03-03,9.91,9.99,9.65,9.67,184453752,AAPL
2006-03-06,9.67,9.67,9.28,9.35,228326098,AAPL
2006-03-07,9.39,9.56,9.3,9.47,218252139,AAPL
2006-03-08,9.47,9.6,9.34,9.38,163362941,AAPL
