Date,Open,High,Low,Close,Volume,Name
2006-01-03,51.7,52.58,51.05,52.58,7825700,AXP
2006-01-04,52.44,52.57,51.81,51.95,5729400,AXP
2006-01-05,51.9,52.51,51.9,52.5,3926000,AXP
2006-01-06,52.64,52.87,52.28,52.68,4137800,AXP
2006-01-09,52.82,53.99,52.82,53.99,6093300,AXP
2006-01-10,53.58,53.91,53.51,53.83,4894100,AXP
2006-01-11,53.7,53.82,53.42,53.54,4611800,AXP
2006-01-12,53.58,53.7,53.25,53.55,2995000,AXP
2006-01-13,53.7,53.92,53.4,53.44,7639300,AXP
2006-01-17,53.08,53.25,52.83,52.96,4915200,AXP
2006-01-18,52.65,53.07,52.6,52.86,5606100,AXP
2006-01-19,53.06,53.1,52.48,52.59,4638700,AXP
2006-01-20,52.59,52.59,51.28,51.4,11886200,AXP
2006-01-23,51.5,52.35,51.38,51.44,10460600,AXP
2006-01-24,51.9,52.97,51.81,52.82,8565200,AXP
2006-01-25,52.5,53.25,52.5,52.9,7591100,AXP
2006-01-26,53.15,53.48,52.95,53.32,5302200,AXP
2006-01-27,53.22,53.49,53.05,53.3,6928900,AXP
2006-01-30,53.15,53.22,52.52,52.68,6335800,AXP
2006-01-31,52.51,52.91,52.25,52.45,5701300,AXP
2006-02-01,52.45,52.82,52.32,52.62,3847400,AXP
2006-02-02,52.6,52.86,52.32,52.56,5521200,AXP
2006-02-03,52.57,52.88,52.28,52.33,4008900,AXP
2006-02-06,52.22,52.4,51.8,52.22,2948400,AXP
2006-02-07,52.1,52.45,52.02,52.07,3506400,AXP
2006-02-08,51.97,52.86,51.65,52.73,5284600,AXP
2006-02-09,52.95,53.74,52.77,53.04,4959000,AXP
2006-02-10,53.14,53.44,52.72,53.0,3741400,AXP
2006-02-13,53.0,53.49,52.94,53.02,3812100,AXP
2006-02-14,53.3,53.95,53.15,53.51,4900700,AXP
2006-02-15,53.68,54.24,53.56,54.19,4576100,AXP
2006-02-16,54.05,54.48,53.82,54.48,4240600,AXP
2006-02-17,54.48,54.49,54.1,54.45,4385800,AXP
2006-02-21,54.5,54.57,53.83,53.86,3990900,AXP
2006-02-22,53.97,54.95,53.95,54.84,6256200,AXP
2006-02-23,54.28,55.0,54.18,54.57,4328300,AXP
2006-02-24,54.59,54.95,54.51,54.87,2890200,AXP
2006-02-27,54.87,54.94,54.6,54.74,2582500,AXP
2006-02-28,54.3,54.49,53.88,53.88,8026700,AXP
2006-03-01,53.95,54.2,53.77,54.12,2956800,AXP
2006-03-02,54.11,54.29,53.75,53.78,4595300,AXP
2006-03-03,53.6,54.35,53.55,53.75,3756200,AXP
2006-03-06,53.73,54.13,53.64,53.75,3676400,AXP
2006-03-07,53.55,54.0,53.43,53.59,4394200,AXP
2006-03-08,53.59,54.05,53.42,53.84,5726400,AXP
2006-03-09,53.81,53.92,53.09,53.2,5611500,AXP
2006-03-10,53.25,54.31,53.1,54.23,4243400,AXP
2006-03-13,54.45,54.49,53.55,53.84,4301900,AXP
2006-03-14,53.77,54.06,53.73,53.96,4237100,AXP
2006-03-15,53.96,54.14,53.8,54.02,2821700,AXP
2006-03-16,54.0,54.35,53.95,54.12,3365000,AXP
2006-03-17,54.41,54.66,54.28,54.65,5720300,AXP
2006-03-20,55.0,55.0,54.08,54.12,2893000,AXP
2006-03-21,53.96,54.02,53.48,53.59,5350200,AXP
2006-03-22,52.09,53.7,53.28,53.55,3542700,AXP
2006-03-23,53.55,53.55,52.75,53.1,4385800,AXP
2006-03-24,53.1,53.28,52.69,53.18,2686400,AXP
2006-03-27,53.18,53.46,52.93,53.36,3811900,AXP
2006-03-28,53.4,53.47,52.54,52.57,4858300,AXP
2006-03-29,52.85,52.91,52.46,52.5,5282100,AXP
2006-03-30,52.4,52.55,51.96,52.13,6197400,AXP
2006-03-31,51.76,52.78,51.76,52.55,5182300,AXP
2006-04-03,52.81,53.1,52.35,52.43,4105800,AXP
2006-04-04,52.42,53.23,52.19,53.23,2896500,AXP
2006-04-05,53.45,53.45,52.86,52.9,4224200,AXP
2006-04-06,52.8,52.84,52.03,52.27,4898900,AXP
2006-04-07,52.44,52.58,51.65,51.7,4555000,AXP
2006-04-10,51.68,52.14,51.53,51.85,2273600,AXP
2006-04-11,51.77,51.93,51.11,51.25,3458200,AXP
