Date,Open,High,Low,Close,Volume,Name
2006-01-03,70.4,70.6,69.33,70.44,4943100,BA
2006-01-04,70.08,71.27,69.86,71.17,3165000,BA
2006-01-05,70.55,70.55,69.58,70.33,4598300,BA
2006-01-06,70.34,70.5,69.05,69.35,4820200,BA
2006-01-09,69.28,69.4,68.66,68.77,4567700,BA
2006-01-10,68.8,69.24,68.57,69.1,3869000,BA
2006-01-11,69.97,70.3,69.11,70.1,5011900,BA
2006-01-12,70.25,70.45,69.54,69.69,2347000,BA
2006-01-13,69.64,70.2,68.79,69.48,2963700,BA
2006-01-17,69.07,69.4,68.66,68.69,2712900,BA
2006-01-18,68.55,68.92,68.05,68.41,2659400,BA
2006-01-19,68.16,68.49,67.72,68.17,2642700,BA
2006-01-20,68.1,68.16,66.49,66.5,6436700,BA
2006-01-23,65.9,67.34,65.9,67.02,4067400,BA
2006-01-24,67.41,67.88,67.13,67.66,3581900,BA
2006-01-25,67.71,67.91,66.91,66.91,3722700,BA
2006-01-26,67.44,68.75,67.32,68.72,4768400,BA
2006-01-27,68.39,69.25,67.99,68.56,3954700,BA
2006-01-30,68.52,69.05,68.2,69.03,2048100,BA
2006-01-31,69.0,69.05,68.31,68.31,4095000,BA
2006-02-01,70.0,72.17,70.0,71.62,11806100,BA
2006-02-02,71.35,72.3,71.3,71.7,6603100,BA
2006-02-03,71.7,72.09,70.86,70.87,3786900,BA
2006-02-06,70.65,71.64,70.3,71.14,3163000,BA
2006-02-07,71.3,72.05,71.16,71.55,4247000,BA
2006-02-08,71.25,71.93,71.0,71.76,2891100,BA
2006-02-09,71.77,72.76,71.37,72.01,4149200,BA
2006-02-10,72.1,72.7,72.03,72.53,2813100,BA
2006-02-13,71.95,72.64,71.82,72.11,3294600,BA
2006-02-14,72.35,72.86,71.93,72.71,4160400,BA
2006-02-15,72.37,72.74,72.05,72.45,2797800,BA
2006-02-16,72.65,72.93,72.2,72.55,2216800,BA
2006-02-17,72.55,73.0,72.28,72.96,2670700,BA
2006-02-21,73.15,73.4,72.65,73.05,3333000,BA
2006-02-22,73.06,74.61,73.06,74.39,5008400,BA
2006-02-23,73.95,74.2,73.78,73.9,2574300,BA
2006-02-24,73.65,74.59,73.31,74.31,2657100,BA
2006-02-27,74.05,74.89,74.0,74.13,1974100,BA
2006-02-28,73.9,74.0,72.36,72.69,3903600,BA
2006-03-01,72.56,73.08,72.25,72.95,2047500,BA
2006-03-02,72.75,73.35,72.34,72.8,1781000,BA
2006-03-03,72.81,74.4,72.51,73.39,2707900,BA
2006-03-06,73.7,73.71,72.3,72.63,2347000,BA
2006-03-07,72.66,73.23,72.37,73.16,1919500,BA
2006-03-08,72.85,72.86,71.9,72.82,3173300,BA
2006-03-09,72.75,74.25,72.5,73.76,3000800,BA
2006-03-10,73.77,74.9,73.2,74.79,3029200,BA
2006-03-13,75.21,75.9,74.5,74.84,3658300,BA
2006-03-14,74.84,75.63,74.72,75.45,2617900,BA
2006-03-15,75.4,76.3,75.27,76.05,2623300,BA
2006-03-16,76.25,77.05,76.1,76.73,2633500,BA
2006-03-17,77.2,78.08,77.05,77.85,4535500,BA
2006-03-20,78.5,78.86,77.83,78.18,3363500,BA
2006-03-21,78.8,79.2,78.25,78.26,4118800,BA
2006-03-22,77.45,78.8,78.0,78.61,2525300,BA
2006-03-23,78.61,78.62,77.51,77.9,2285900,BA
2006-03-24,78.05,79.11,78.05,78.73,2947500,BA
2006-03-27,78.73,78.75,77.82,78.39,3140100,BA
2006-03-28,78.5,79.0,77.37,77.51,2902200,BA
2006-03-29,77.95,79.48,77.86,79.18,4044400,BA
2006-03-30,78.95,79.5,78.06,78.42,3004100,BA
2006-03-31,78.6,78.92,77.81,77.93,2294800,BA
2006-04-03,78.25,79.13,78.01,78.01,3303500,BA
2006-04-04,78.58,78.85,77.5,78.6,2601000,BA
2006-04-05,78.85,79.19,77.82,79.11,3085800,BA
2006-04-06,79.22,80.13,79.22,79.82,2910700,BA
2006-04-07,79.99,80.37,78.72,79.57,2710000,BA
2006-04-10,79.62,80.92,79.61,80.79,2810700,BA
2006-04-11,80.63,80.71,79.71,80.57,2748100,BA
2006-04-12,81.12,84.23,81.11,83.21,6519900,BA
2006-04-13,83.7,83.7,82.81,82.93,3230700,BA
2006-04-17,83.2,83.99,81.95,82.35,3318000,BA
2006-04-18,82.42,83.37,81.88,83.3,4340700,BA
2006-04-19,83.75,84.99,83.7,84.96,3360600,BA
2006-04-20,84.71,86.26,84.71,85.5,4445900,BA
2006-04-21,86.2,86.58,85.86,86.46,4203000,BA
2006-04-24,86.66,87.25,86.1,86.1,3624300,BA
2006-04-25,86.35,86.48,84.9,85.11,4649400,BA
2006-04-26,84.16,86.1,83.2,84.91,6190800,BA
2006-04-27,84.54,84.7,83.1,84.1,3906500,BA
2006-04-28,84.28,84.66,83.01,83.45,3863800,BA
2006-05-01,83.45,84.12,82.82,83.86,3928200,BA
2006-05-02,84.26,85.82,83.86,85.33,3012300,BA
2006-05-03,85.4,86.03,85.22,85.87,3040800,BA
2006-05-04,85.89,87.15,85.81,86.64,3319700,BA
2006-05-05,87.47,88.55,87.3,88.47,3349100,BA
2006-05-08,88.48,89.3,87.36,87.59,3334800,BA
2006-05-09,87.61,88.0,87.1,87.99,2231900,BA
2006-05-10,88.0,89.58,87.65,88.94,3784500,BA
2006-05-11,89.45,89.55,87.9,88.21,2652900,BA
2006-05-12,88.21,89.01,86.94,87.01,2932300,BA
2006-05-15,85.76,86.47,84.57,85.86,4171300,BA
2006-05-16,85.89,86.98,85.35,86.4,3057000,BA
2006-05-17,86.4,86.4,83.28,83.77,5267100,BA
2006-05-18,84.25,84.84,82.6,82.73,3616900,BA
2006-05-19,83.0,85.3,82.06,84.61,5508200,BA
2006-05-22,84.46,86.03,84.02,85.71,4535300,BA
2006-05-23,86.04,86.7,85.15,85.15,4044100,BA
2006-05-24,84.97,85.15,81.63,82.38,6731600,BA
2006-05-25,82.8,83.8,82.29,82.99,3295700,BA
2006-05-26,83.6,83.81,83.05,83.5,2354600,BA
2006-05-30,83.5,83.5,81.57,82.13,3935800,BA
2006-05-31,81.21,83.44,81.21,83.25,3953600,BA
2006-06-01,83.6,83.72,82.55,83.64,2373600,BA
2006-06-02,84.0,84.58,83.17,83.8,3231000,BA
2006-06-05,83.79,83.97,82.06,82.13,3422900,BA
2006-06-06,82.0,82.34,79.47,80.65,6325400,BA
2006-06-07,80.83,81.92,80.29,81.46,5014700,BA
2006-06-08,81.46,81.84,79.01,81.19,7561900,BA
2006-06-09,81.95,81.99,80.0,80.5,3927800,BA
2006-06-12,80.6,80.75,77.47,77.88,5244400,BA
2006-06-13,77.77,77.88,76.4,76.98,5184600,BA
2006-06-14,79.4,82.01,79.2,82.01,9858900,BA
2006-06-15,82.01,85.13,82.01,84.81,8058300,BA
2006-06-16,85.1,85.85,84.75,85.54,6020000,BA
2006-06-19,85.65,86.23,84.31,84.76,4342200,BA
2006-06-20,85.25,85.48,84.05,84.85,3105800,BA
2006-06-21,84.9,86.08,84.9,85.85,3589600,BA
2006-06-22,85.55,85.68,83.88,84.06,3634000,BA
2006-06-23,84.06,84.48,83.16,83.39,3066100,BA
2006-06-26,83.48,84.28,82.8,83.89,1930000,BA
2006-06-27,83.85,84.2,81.76,81.93,3214200,BA
2006-06-28,81.94,82.69,80.83,82.64,3171800,BA
2006-06-29,82.64,83.5,81.28,83.0,5237200,BA
2006-06-30,82.99,83.0,81.57,81.91,4477900,BA
2006-07-03,81.35,81.67,80.94,81.3,1629300,BA
2006-07-05,81.28,81.29,79.26,80.17,5663000,BA
2006-07-06,80.27,80.98,80.0,80.81,3196000,BA
2006-07-07,80.4,81.29,79.53,79.99,2586600,BA
2006-07-10,80.03,81.25,80.03,80.35,2665800,BA
2006-07-11,80.1,81.81,78.86,81.63,3823300,BA
2006-07-12,81.45,81.95,80.37,80.92,2659500,BA
2006-07-13,80.7,81.04,79.47,79.59,3610200,BA
2006-07-14,79.59,79.6,76.89,77.25,5436900,BA
2006-07-17,78.11,79.77,77.8,78.95,4515600,BA
2006-07-18,79.5,80.26,77.97,79.17,4307600,BA
2006-07-19,79.32,82.57,78.36,82.29,5068100,BA
2006-07-20,82.9,83.0,80.62,80.69,4606700,BA
2006-07-21,80.69,80.69,78.56,79.08,4032200,BA
2006-07-24,79.45,81.61,79.43,81.44,4024500,BA
2006-07-25,80.75,84.06,80.7,83.75,4557500,BA
2006-07-26,82.18,82.36,79.6,79.9,6635100,BA
2006-07-27,80.0,80.29,78.15,78.71,5202500,BA
2006-07-28,79.4,80.1,78.7,78.91,4317100,BA
2006-07-31,78.46,78.52,77.3,77.42,5525700,BA
2006-08-01,77.42,78.28,76.52,78.17,4507100,BA
2006-08-02,78.7,79.65,78.4,78.62,3784600,BA
2006-08-03,77.88,79.89,77.42,79.4,3681200,BA
2006-08-04,80.16,80.7,79.15,79.49,3598400,BA
2006-08-07,79.1,79.95,78.62,79.75,3233500,BA
2006-08-08,79.55,80.83,77.84,78.15,5676700,BA
2006-08-09,78.25,79.02,76.71,77.16,4175500,BA
2006-08-10,76.8,76.8,75.07,76.2,5609200,BA
2006-08-11,76.22,76.76,75.66,75.96,3274000,BA
2006-08-14,76.65,77.19,75.15,75.39,3772400,BA
2006-08-15,76.0,76.7,75.69,76.58,3516300,BA
2006-08-16,77.2,78.95,76.86,78.83,4181600,BA
2006-08-17,78.83,79.43,77.88,78.59,2893300,BA
2006-08-18,78.68,78.68,77.16,77.62,3426400,BA
2006-08-21,77.62,77.62,76.51,76.63,2537700,BA
2006-08-22,77.0,77.85,76.25,76.95,2632800,BA
2006-08-23,77.0,77.55,76.07,76.36,2495300,BA
2006-08-24,76.85,77.04,75.0,75.24,3308000,BA
2006-08-25,75.24,75.6,73.55,73.93,4604300,BA
2006-08-28,74.04,75.02,73.05,74.72,4746300,BA
2006-08-29,75.96,75.99,72.9,73.78,7186100,BA
2006-08-30,74.0,75.3,73.64,75.02,3851200,BA
2006-08-31,74.75,75.58,74.75,74.9,3057800,BA
2006-09-01,75.0,75.91,74.46,75.43,3275600,BA
2006-09-05,75.75,76.3,75.05,75.36,2675400,BA
2006-09-06,75.36,75.55,74.2,74.44,3042800,BA
2006-09-07,74.44,74.44,72.76,72.87,4273000,BA
2006-09-08,73.3,73.62,72.17,72.8,4956300,BA
2006-09-11,72.13,74.13,72.13,73.82,3537000,BA
