Date,Open,High,Low,Close,Volume,Name
2006-01-03,57.87,58.11,57.05,57.8,3697500,CAT
2006-01-04,57.95,59.43,57.55,59.27,4577200,CAT
2006-01-05,59.02,59.86,59.0,59.27,4590700,CAT
2006-01-06,59.47,60.76,59.38,60.45,5692300,CAT
2006-01-09,60.45,61.68,60.45,61.55,4409300,CAT
2006-01-10,61.35,61.52,60.64,61.3,3188100,CAT
2006-01-11,60.87,61.64,60.7,61.33,2755600,CAT
2006-01-12,61.23,62.66,61.11,62.21,5322500,CAT
2006-01-13,62.02,62.49,61.87,62.33,1936700,CAT
2006-01-17,61.69,63.15,61.65,62.96,3623300,CAT
2006-01-18,62.36,62.72,61.7,62.33,3656100,CAT
2006-01-19,62.05,63.0,61.9,62.51,2375600,CAT
2006-01-20,62.51,62.51,60.48,60.78,4441300,CAT
2006-01-23,60.75,61.44,60.26,61.04,2710500,CAT
2006-01-24,60.79,61.86,60.75,61.35,3291600,CAT
2006-01-25,61.5,63.25,61.11,62.07,4772400,CAT
2006-01-26,63.3,65.44,62.3,65.17,10318100,CAT
2006-01-27,65.9,68.37,65.15,67.53,7588000,CAT
2006-01-30,66.53,68.12,66.32,67.01,5077400,CAT
2006-01-31,67.0,68.17,66.64,67.9,5674400,CAT
2006-02-01,68.1,69.34,67.9,69.24,4826100,CAT
2006-02-02,68.75,69.1,67.99,68.39,4605500,CAT
2006-02-03,68.2,68.97,67.75,68.13,3529800,CAT
2006-02-06,68.5,68.82,68.0,68.7,3745900,CAT
2006-02-07,68.3,68.34,66.93,67.16,4909100,CAT
2006-02-08,67.75,68.89,67.36,68.81,3569100,CAT
2006-02-09,69.0,69.75,68.23,68.45,4017700,CAT
2006-02-10,68.15,68.87,67.78,68.75,3167900,CAT
2006-02-13,68.3,69.06,67.88,68.62,2838400,CAT
2006-02-14,69.0,70.41,68.23,70.22,4532600,CAT
2006-02-15,69.93,71.65,69.9,71.6,4396500,CAT
2006-02-16,71.79,72.0,71.39,71.96,3483300,CAT
2006-02-17,72.0,72.39,71.71,72.05,4767900,CAT
2006-02-21,72.0,72.79,71.68,72.59,3956800,CAT
2006-02-22,72.59,73.73,72.54,73.06,5532000,CAT
2006-02-23,73.07,73.09,71.9,72.35,4974100,CAT
2006-02-24,72.5,72.92,71.76,72.7,2924100,CAT
2006-02-27,73.3,73.99,73.0,73.5,3217900,CAT
2006-02-28,73.1,73.36,72.4,73.08,4444400,CAT
2006-03-01,73.13,74.94,72.95,74.39,4193400,CAT
2006-03-02,74.14,74.62,73.81,74.34,2247700,CAT
2006-03-03,74.35,75.5,74.11,74.61,3397300,CAT
2006-03-06,74.63,74.88,72.5,73.22,5497000,CAT
2006-03-07,73.01,74.02,72.21,73.04,4904800,CAT
