Date,Open,High,Low,Close,Volume,Name
2006-01-03,57.25,59.1,57.06,59.08,13296500,CVX
2006-01-04,59.08,59.08,58.43,58.91,8838800,CVX
2006-01-05,58.68,58.96,57.85,58.19,8634800,CVX
2006-01-06,58.95,59.57,58.59,59.25,9609000,CVX
2006-01-09,59.49,59.58,58.55,58.95,6442300,CVX
2006-01-10,58.76,59.48,58.75,59.24,6969300,CVX
2006-01-11,59.22,60.0,58.65,59.84,6451300,CVX
2006-01-12,60.0,60.59,59.61,59.89,7535200,CVX
2006-01-13,59.89,60.62,59.75,60.36,5867900,CVX
2006-01-17,60.9,61.9,60.72,61.86,8751800,CVX
2006-01-18,61.98,62.0,60.46,61.5,9085900,CVX
2006-01-19,60.4,61.75,60.21,61.6,7878900,CVX
2006-01-20,62.0,62.43,60.75,61.12,11192100,CVX
2006-01-23,61.09,62.38,60.52,62.21,8962800,CVX
2006-01-24,62.05,62.72,61.8,62.05,8400100,CVX
2006-01-25,62.3,62.55,60.53,61.26,12447100,CVX
2006-01-26,61.5,61.5,60.11,60.22,14424900,CVX
2006-01-27,60.1,60.76,59.8,60.38,16687800,CVX
2006-01-30,60.85,60.85,59.81,60.75,12625000,CVX
2006-01-31,60.41,60.6,59.27,59.38,15267900,CVX
2006-02-01,59.38,59.8,58.6,58.7,11126600,CVX
2006-02-02,58.71,59.05,57.75,58.51,9142700,CVX
2006-02-03,58.12,58.69,57.37,57.5,11274800,CVX
2006-02-06,58.0,59.42,58.0,58.84,9909400,CVX
2006-02-07,58.54,58.54,57.6,57.74,9928400,CVX
2006-02-08,57.74,58.18,56.8,57.89,9928100,CVX
2006-02-09,58.12,58.97,56.73,56.9,11168100,CVX
2006-02-10,57.32,58.39,56.0,56.61,12130600,CVX
2006-02-13,56.63,58.24,56.35,56.62,8094100,CVX
2006-02-14,55.85,56.3,55.41,55.72,12427200,CVX
2006-02-15,55.85,56.37,55.5,55.96,11942200,CVX
2006-02-16,56.1,56.59,55.96,56.3,10608100,CVX
2006-02-17,56.78,57.39,56.3,57.17,10893100,CVX
2006-02-21,57.99,58.4,57.49,57.9,9605400,CVX
2006-02-22,57.9,57.9,56.91,57.24,7623500,CVX
2006-02-23,57.1,57.75,56.79,57.14,9233200,CVX
2006-02-24,57.56,57.97,57.4,57.65,8459600,CVX
2006-02-27,57.65,57.72,57.05,57.1,6207300,CVX
2006-02-28,56.69,56.84,56.23,56.48,8859200,CVX
2006-03-01,56.72,57.29,56.63,57.24,7412300,CVX
2006-03-02,57.24,57.59,56.5,57.01,10057300,CVX
2006-03-03,56.82,57.44,56.67,56.97,9623500,CVX
