Date,Open,High,Low,Close,Volume,Name
2006-01-03,24.08,24.48,24.0,24.4,9657400,DIS
2006-01-04,24.5,24.69,23.77,23.99,13165300,DIS
2006-01-05,24.13,24.69,24.1,24.41,8698200,DIS
2006-01-06,24.65,24.79,24.44,24.74,6412800,DIS
2006-01-09,24.85,25.03,24.72,25.0,6590300,DIS
2006-01-10,25.02,25.33,25.0,25.32,11798200,DIS
2006-01-11,25.38,25.79,25.25,25.56,12197600,DIS
2006-01-12,25.65,25.79,25.52,25.64,9897000,DIS
2006-01-13,25.61,25.74,25.5,25.7,8073600,DIS
2006-01-17,25.83,25.83,25.38,25.38,9326800,DIS
2006-01-18,25.23,25.35,24.99,25.22,7939500,DIS
2006-01-19,24.91,26.3,24.91,26.24,26537500,DIS
2006-01-20,26.1,26.5,25.6,25.72,18981000,DIS
2006-01-23,25.75,25.8,25.25,25.52,11311500,DIS
2006-01-24,25.6,26.13,25.6,25.99,22929000,DIS
2006-01-25,26.19,26.2,25.35,25.44,33056200,DIS
2006-01-26,25.5,25.58,24.9,25.08,32512800,DIS
2006-01-27,25.16,25.28,24.99,25.08,11728900,DIS
2006-01-30,25.22,25.58,25.18,25.46,20554000,DIS
2006-01-31,25.5,25.51,25.23,25.31,15992000,DIS
2006-02-01,25.15,25.34,25.15,25.27,11972900,DIS
2006-02-02,25.15,25.17,25.0,25.1,10637100,DIS
2006-02-03,24.98,25.11,24.9,25.01,12023300,DIS
2006-02-06,25.2,25.35,24.96,24.96,12377100,DIS
2006-02-07,25.57,26.88,25.5,26.7,48028600,DIS
2006-02-08,26.66,27.04,26.6,26.9,25301000,DIS
2006-02-09,26.86,26.86,26.57,26.72,13862500,DIS
2006-02-10,26.61,26.76,26.47,26.68,10225600,DIS
2006-02-13,26.68,26.76,26.25,26.41,9627500,DIS
2006-02-14,26.56,26.75,26.49,26.75,11966700,DIS
2006-02-15,26.75,26.91,26.62,26.88,12094100,DIS
2006-02-16,26.9,27.1,26.8,27.05,10968200,DIS
2006-02-17,27.05,27.19,26.83,26.91,8101800,DIS
2006-02-21,26.51,27.28,26.51,27.16,10655100,DIS
2006-02-22,27.23,27.55,27.15,27.46,10957400,DIS
2006-02-23,27.46,27.78,27.37,27.71,12931900,DIS
2006-02-24,27.71,27.99,27.61,27.98,11812900,DIS
2006-02-27,28.0,28.49,27.98,28.38,14670400,DIS
2006-02-28,28.46,28.46,27.82,27.99,10858500,DIS
2006-03-01,28.0,28.18,27.93,28.09,9110200,DIS
2006-03-02,28.0,28.07,27.74,28.03,9579600,DIS
2006-03-03,27.94,28.44,27.91,28.22,7872400,DIS
2006-03-06,28.15,28.22,27.88,27.88,7378700,DIS
2006-03-07,27.81,28.06,27.75,28.01,7741900,DIS
2006-03-08,27.99,28.15,27.91,28.05,7260700,DIS
2006-03-09,28.13,28.27,27.83,28.09,7005500,DIS
2006-03-10,28.04,28.3,27.94,28.16,8083700,DIS
2006-03-13,28.27,28.62,28.16,28.56,10409300,DIS
2006-03-14,28.46,28.66,28.42,28.66,5620500,DIS
2006-03-15,28.6,28.85,28.55,28.75,6644900,DIS
2006-03-16,28.81,28.85,28.51,28.68,6014800,DIS
2006-03-17,28.79,28.8,28.54,28.64,7977100,DIS
2006-03-20,28.68,28.81,28.52,28.64,6268700,DIS
2006-03-21,28.57,28.63,28.04,28.1,7682500,DIS
2006-03-22,27.46,28.2,27.75,27.79,13030400,DIS
2006-03-23,27.9,27.9,27.41,27.52,12481900,DIS
2006-03-24,27.49,27.68,27.35,27.45,6916900,DIS
2006-03-27,27.4,27.54,27.3,27.34,8328300,DIS
2006-03-28,27.41,27.44,27.06,27.09,12831800,DIS
2006-03-29,27.22,28.12,27.16,27.86,12855400,DIS
2006-03-30,27.68,28.09,27.65,27.87,7344900,DIS
2006-03-31,27.85,28.05,27.69,27.89,7905800,DIS
2006-04-03,27.87,28.07,27.81,27.94,7027900,DIS
2006-04-04,27.86,28.25,27.78,27.91,7457600,DIS
2006-04-05,27.87,27.94,27.63,27.79,7588000,DIS
2006-04-06,27.68,27.83,27.38,27.68,6492000,DIS
2006-04-07,27.75,28.0,27.37,27.53,5988200,DIS
2006-04-10,27.55,28.0,27.55,27.79,6659100,DIS
2006-04-11,27.81,28.05,27.62,27.77,5876700,DIS
2006-04-12,27.77,28.0,27.73,27.92,4912600,DIS
2006-04-13,27.82,28.0,27.77,27.88,3617500,DIS
2006-04-17,27.9,27.9,27.55,27.65,5845900,DIS
2006-04-18,27.74,28.19,27.7,28.09,7256200,DIS
2006-04-19,28.09,28.1,27.47,27.48,7626400,DIS
2006-04-20,27.46,27.54,27.29,27.34,7903900,DIS
2006-04-21,27.54,27.54,26.91,27.02,7633300,DIS
2006-04-24,26.81,27.34,26.75,27.27,6813600,DIS
2006-04-25,27.43,27.54,26.87,27.0,8047500,DIS
2006-04-26,27.0,27.44,26.98,27.2,6531100,DIS
2006-04-27,27.0,27.85,27.0,27.76,9581700,DIS
2006-04-28,27.71,28.15,27.65,27.96,11570700,DIS
2006-05-01,28.01,28.18,27.63,27.67,8275200,DIS
2006-05-02,27.9,28.03,27.78,27.89,6806100,DIS
2006-05-03,27.95,28.16,27.89,28.11,8444100,DIS
2006-05-04,28.16,28.43,28.16,28.4,7803700,DIS
2006-05-05,28.5,29.15,28.5,29.09,52024400,DIS
2006-05-08,29.3,29.32,28.61,28.77,27585700,DIS
2006-05-09,28.85,29.6,28.78,29.58,18208600,DIS
2006-05-10,29.8,30.19,29.58,30.11,21113500,DIS
2006-05-11,29.85,29.94,29.52,29.8,14468200,DIS
2006-05-12,29.8,29.98,29.61,29.9,12792400,DIS
2006-05-15,29.75,30.0,29.72,29.99,10999400,DIS
