Date,Open,High,Low,Close,Volume,Name
2006-01-03,35.1,35.4,34.8,35.37,33221400,GE
2006-01-04,35.35,35.4,35.1,35.32,24017300,GE
2006-01-05,35.27,35.35,35.1,35.23,18860400,GE
2006-01-06,35.38,35.53,35.19,35.47,22085300,GE
2006-01-09,35.4,35.43,35.24,35.38,20716900,GE
2006-01-10,35.27,35.31,35.05,35.19,21044000,GE
2006-01-11,35.14,35.55,35.1,35.43,22394700,GE
2006-01-12,35.45,35.46,34.94,35.0,22159800,GE
2006-01-13,34.9,35.25,34.8,35.1,17221300,GE
2006-01-17,35.63,35.63,34.82,34.94,16069600,GE
2006-01-18,34.9,34.91,34.61,34.79,20206900,GE
2006-01-19,34.9,34.9,34.5,34.68,29324700,GE
2006-01-20,34.3,34.5,33.22,33.37,88194300,GE
2006-01-23,33.53,33.67,33.26,33.29,38814400,GE
2006-01-24,33.55,33.55,32.91,32.96,46481000,GE
2006-01-25,33.15,33.2,32.65,32.76,51389200,GE
2006-01-26,32.93,33.07,32.74,33.02,48855800,GE
2006-01-27,32.95,33.02,32.75,32.95,43319000,GE
2006-01-30,32.9,33.09,32.7,32.93,35387500,GE
2006-01-31,32.9,32.98,32.63,32.75,39702000,GE
2006-02-01,32.66,33.19,32.64,33.14,38067400,GE
2006-02-02,33.07,33.29,32.88,32.9,30469400,GE
2006-02-03,32.8,33.14,32.77,32.85,25828100,GE
2006-02-06,32.85,32.89,32.65,32.75,23163900,GE
2006-02-07,32.66,32.73,32.21,32.31,36799700,GE
2006-02-08,32.31,32.79,32.23,32.74,26757200,GE
2006-02-09,32.78,33.04,32.76,32.92,26324200,GE
2006-02-10,32.92,33.37,32.87,33.28,26560500,GE
2006-02-13,33.2,33.46,33.08,33.25,20007900,GE
2006-02-14,33.18,33.54,33.04,33.46,29266400,GE
2006-02-15,33.54,33.54,33.26,33.46,18832800,GE
2006-02-16,33.44,33.5,33.06,33.35,23893100,GE
2006-02-17,33.35,33.61,33.29,33.61,25349200,GE
2006-02-21,33.61,33.75,33.22,33.36,19914100,GE
2006-02-22,33.55,33.75,33.5,33.64,25724600,GE
2006-02-23,33.25,33.46,33.21,33.26,22148500,GE
2006-02-24,33.25,33.3,33.02,33.14,18275300,GE
2006-02-27,33.22,33.35,33.11,33.32,19328500,GE
2006-02-28,33.2,33.3,32.85,32.87,27701000,GE
2006-03-01,32.97,33.03,32.7,32.76,24534600,GE
2006-03-02,32.7,32.91,32.58,32.85,25139800,GE
2006-03-03,32.75,33.34,32.73,33.06,25579500,GE
2006-03-06,33.06,33.25,32.95,33.1,21410700,GE
2006-03-07,33.04,33.24,33.01,33.15,21748800,GE
2006-03-08,33.06,33.53,33.01,33.43,25081600,GE
2006-03-09,33.38,33.54,33.16,33.2,24211600,GE
2006-03-10,33.28,33.68,33.26,33.65,25770300,GE
2006-03-13,33.66,33.73,33.43,33.67,19519300,GE
