Date,Open,High,Low,Close,Volume,Name
2006-01-03,211.47,218.05,209.32,217.83,13137450,GOOGL
2006-01-04,222.17,224.7,220.09,222.84,15292353,GOOGL
2006-01-05,223.22,226.0,220.97,225.85,10815661,GOOGL
2006-01-06,228.66,235.49,226.85,233.06,17759521,GOOGL
2006-01-09,233.44,236.94,230.7,233.68,12795837,GOOGL
2006-01-10,232.44,235.36,231.25,235.11,9104719,GOOGL
2006-01-11,235.87,237.79,234.82,236.05,9008664,GOOGL
2006-01-12,237.1,237.73,230.98,232.05,10125212,GOOGL
2006-01-13,232.39,233.68,231.04,233.36,7660220,GOOGL
2006-01-17,231.76,235.18,231.5,233.79,8335300,GOOGL
2006-01-18,223.87,228.91,221.85,222.68,20511176,GOOGL
2006-01-19,225.81,226.97,216.72,218.44,14539830,GOOGL
2006-01-20,219.57,220.24,197.57,199.93,41182889,GOOGL
2006-01-23,203.89,214.41,203.07,213.96,22768073,GOOGL
2006-01-24,218.23,222.7,217.46,221.74,15468453,GOOGL
2006-01-25,225.86,227.34,214.82,216.72,18746567,GOOGL
2006-01-26,219.99,220.22,211.99,217.35,12931382,GOOGL
2006-01-27,217.72,219.33,214.7,216.96,8459747,GOOGL
2006-01-30,214.83,216.86,212.71,213.62,8596167,GOOGL
2006-01-31,215.5,220.02,212.2,216.55,22449604,GOOGL
2006-02-01,194.71,201.2,193.95,201.09,27132792,GOOGL
2006-02-02,202.11,203.45,198.19,198.22,11810931,GOOGL
2006-02-03,197.01,197.15,186.47,190.97,18286547,GOOGL
2006-02-06,192.85,195.14,189.97,192.74,8948485,GOOGL
2006-02-07,191.69,192.04,181.85,184.14,16640139,GOOGL
2006-02-08,184.42,185.53,177.51,184.72,20818364,GOOGL
2006-02-09,185.79,187.39,178.23,179.56,11913420,GOOGL
2006-02-10,181.16,182.43,176.75,181.49,15223458,GOOGL
2006-02-13,173.49,175.48,171.12,173.02,19724806,GOOGL
2006-02-14,172.84,176.02,171.37,171.83,14658822,GOOGL
2006-02-15,170.81,173.17,169.08,171.36,12950205,GOOGL
2006-02-16,173.01,183.68,172.42,183.41,21346655,GOOGL
2006-02-17,185.11,186.26,181.99,184.56,14320187,GOOGL
2006-02-21,183.4,186.96,182.74,183.48,8690747,GOOGL
2006-02-22,183.76,184.66,182.11,182.93,6480739,GOOGL
2006-02-23,182.99,190.81,182.88,189.22,12555816,GOOGL
2006-02-24,188.84,190.23,186.93,188.89,6486245,GOOGL
2006-02-27,190.83,196.05,190.33,195.38,10218579,GOOGL
2006-02-28,196.8,198.97,169.42,181.49,39446833,GOOGL
2006-03-01,184.46,184.91,180.83,182.58,12065342,GOOGL
2006-03-02,182.32,190.74,181.28,188.41,18340198,GOOGL
2006-03-03,192.34,193.81,188.07,189.28,11965401,GOOGL
2006-03-06,190.65,191.89,183.75,184.23,8944987,GOOGL
2006-03-07,182.69,184.41,179.25,182.41,10458838,GOOGL
2006-03-08,177.14,180.2,175.45,177.12,11789648,GOOGL
2006-03-09,177.87,179.44,170.92,171.67,13930023,GOOGL
2006-03-10,171.92,172.42,165.94,168.92,19335603,GOOGL
2006-03-13,170.64,173.22,167.89,168.7,13647636,GOOGL
2006-03-14,168.74,176.36,166.48,175.76,18462895,GOOGL
2006-03-15,175.56,176.33,170.44,172.42,12772794,GOOGL
2006-03-16,174.48,174.55,169.12,169.55,10021478,GOOGL
2006-03-17,169.57,171.06,167.63,170.06,8558663,GOOGL
2006-03-20,171.34,175.22,170.94,174.27,10415814,GOOGL
2006-03-21,175.18,176.01,169.71,170.13,9858099,GOOGL
2006-03-22,170.04,172.22,168.92,170.28,7600389,GOOGL
2006-03-23,171.35,173.05,170.27,171.12,7784834,GOOGL
2006-03-24,184.49,185.23,181.44,183.08,15182162,GOOGL
2006-03-27,183.73,186.04,182.68,185.03,7026402,GOOGL
2006-03-28,186.04,189.12,185.77,188.79,8952532,GOOGL
2006-03-29,190.16,199.7,189.94,197.69,19345086,GOOGL
2006-03-30,194.79,196.95,192.0,194.41,14723626,GOOGL
2006-03-31,194.56,196.13,192.21,195.19,36514857,GOOGL
2006-04-03,194.96,196.43,194.16,195.04,8129930,GOOGL
2006-04-04,195.14,202.65,194.26,202.37,15725137,GOOGL
2006-04-05,204.31,207.49,201.61,204.2,13454976,GOOGL
2006-04-06,203.45,207.15,202.92,205.8,8599983,GOOGL
2006-04-07,206.41,206.63,202.21,203.28,7027980,GOOGL
2006-04-10,203.74,208.79,202.83,208.4,9325308,GOOGL
2006-04-11,208.42,209.76,203.31,205.03,11112419,GOOGL
2006-04-12,204.7,205.87,202.8,204.68,6021169,GOOGL
2006-04-13,204.52,205.08,200.45,201.28,6554861,GOOGL
2006-04-17,201.93,206.46,200.62,203.61,8261422,GOOGL
2006-04-18,204.17,205.12,200.95,202.32,8154780,GOOGL
2006-04-19,206.49,207.03,203.57,205.46,6786151,GOOGL
2006-04-20,205.71,208.21,204.3,207.71,12458412,GOOGL
2006-04-21,224.67,225.59,218.3,218.77,22559250,GOOGL
2006-04-24,219.92,222.57,218.48,220.47,8840100,GOOGL
2006-04-25,220.03,220.74,213.21,213.79,9569567,GOOGL
2006-04-26,214.08,215.24,211.98,213.2,7282287,GOOGL
2006-04-27,211.67,213.67,209.9,210.23,8359256,GOOGL
