Date,Open,High,Low,Close,Volume,Name
2006-01-03,40.39,41.45,39.77,41.24,8960100,HD
2006-01-04,40.94,41.04,40.23,40.48,9452300,HD
2006-01-05,40.1,40.36,39.81,40.08,9492700,HD
2006-01-06,40.25,40.51,40.09,40.38,9170200,HD
2006-01-09,40.8,41.1,40.25,40.82,8256300,HD
2006-01-10,41.04,42.49,41.02,41.8,15088100,HD
2006-01-11,42.0,43.2,41.91,42.95,12113900,HD
2006-01-12,42.7,42.95,42.49,42.55,8515200,HD
2006-01-13,41.91,42.59,41.48,41.91,8372600,HD
2006-01-17,41.5,41.88,41.36,41.57,6372700,HD
2006-01-18,41.57,42.11,41.38,41.69,7079500,HD
2006-01-19,41.3,41.99,41.13,41.28,12264400,HD
2006-01-20,41.16,41.27,40.12,40.17,15041700,HD
2006-01-23,40.4,40.58,39.65,39.69,9305100,HD
2006-01-24,39.99,40.45,39.72,40.45,10890900,HD
2006-01-25,40.42,40.66,39.79,39.98,8096700,HD
2006-01-26,40.1,40.56,40.04,40.4,7279800,HD
2006-01-27,40.22,40.72,39.77,40.0,8192700,HD
2006-01-30,39.72,40.29,39.72,40.0,5657800,HD
2006-01-31,40.0,40.86,39.82,40.55,10812200,HD
2006-02-01,40.45,40.58,39.91,40.23,6937400,HD
2006-02-02,39.96,40.24,39.81,39.96,7343300,HD
2006-02-03,39.85,39.96,39.4,39.82,7560400,HD
2006-02-06,39.77,40.02,39.28,39.49,7603800,HD
2006-02-07,39.34,39.44,38.5,38.73,11151500,HD
2006-02-08,39.0,39.36,38.86,39.27,7242800,HD
2006-02-09,39.22,39.5,38.95,39.05,6989600,HD
2006-02-10,38.95,39.32,38.7,39.22,6237300,HD
2006-02-13,39.02,39.93,39.02,39.7,6469300,HD
2006-02-14,39.95,41.21,39.83,41.13,12911900,HD
2006-02-15,41.1,41.77,40.8,41.53,10143400,HD
2006-02-16,41.61,41.95,41.34,41.86,7780200,HD
2006-02-17,41.85,41.93,41.36,41.86,8572700,HD
2006-02-21,43.0,43.0,41.71,41.87,15237200,HD
2006-02-22,42.13,42.2,41.15,41.88,10013900,HD
2006-02-23,41.94,42.37,41.46,41.58,8315900,HD
2006-02-24,41.8,41.87,41.06,41.63,7274800,HD
2006-02-27,41.82,42.72,41.75,42.45,9704600,HD
2006-02-28,42.18,42.42,41.7,42.15,12243900,HD
2006-03-01,42.15,42.69,41.5,42.59,9638300,HD
2006-03-02,42.18,42.49,41.8,42.29,11570100,HD
2006-03-03,42.0,42.8,41.91,42.2,6157100,HD
2006-03-06,42.16,42.18,41.54,41.8,8198600,HD
2006-03-07,41.65,41.66,41.26,41.37,5710600,HD
2006-03-08,41.1,41.29,40.9,41.16,8533800,HD
2006-03-09,41.07,41.2,40.28,40.64,9795600,HD
2006-03-10,40.64,41.33,40.63,41.25,6776000,HD
2006-03-13,41.08,41.53,40.85,41.25,5190900,HD
2006-03-14,41.11,42.38,41.11,42.14,9265800,HD
2006-03-15,42.02,42.35,41.76,42.26,6063900,HD
2006-03-16,42.47,42.87,42.31,42.75,8699300,HD
2006-03-17,42.97,43.01,42.7,42.9,13093300,HD
2006-03-20,42.72,42.99,42.7,42.85,7354600,HD
2006-03-21,42.84,43.17,42.71,43.0,10821900,HD
2006-03-22,42.77,43.45,42.77,43.37,9507200,HD
2006-03-23,43.25,43.95,43.24,43.81,10267800,HD
2006-03-24,43.72,43.85,42.8,43.12,7884800,HD
2006-03-27,42.95,43.14,42.75,42.99,6646600,HD
2006-03-28,42.9,43.55,42.82,42.99,7215400,HD
2006-03-29,43.05,43.35,42.73,42.91,7367700,HD
2006-03-30,42.81,43.03,42.25,42.38,7493200,HD
2006-03-31,42.6,42.94,42.22,42.3,9198200,HD
2006-04-03,42.38,42.65,42.19,42.38,6977700,HD
2006-04-04,42.3,42.7,42.06,42.55,6306000,HD
2006-04-05,42.69,42.93,42.57,42.65,6680000,HD
2006-04-06,42.6,42.63,42.06,42.14,7130000,HD
2006-04-07,42.39,42.63,41.84,42.1,8844700,HD
2006-04-10,42.08,42.21,41.55,41.8,6964600,HD
2006-04-11,41.9,42.09,41.28,41.43,7065300,HD
2006-04-12,41.33,41.4,40.8,40.99,7047400,HD
2006-04-13,40.9,41.38,40.62,41.12,5386000,HD
2006-04-17,41.03,41.16,40.11,40.38,6777600,HD
2006-04-18,40.41,41.44,40.24,41.32,9382700,HD
2006-04-19,41.2,41.45,40.7,40.74,6692800,HD
2006-04-20,40.85,41.18,40.37,40.81,5348100,HD
2006-04-21,41.1,41.14,40.0,40.28,9110400,HD
2006-04-24,40.47,40.47,39.95,40.08,6571700,HD
2006-04-25,40.08,40.34,39.5,39.96,10603100,HD
2006-04-26,40.18,40.51,39.97,40.07,7965800,HD
2006-04-27,39.77,40.66,39.77,40.22,8777900,HD
2006-04-28,40.25,40.43,39.93,39.93,9010200,HD
2006-05-01,40.15,40.78,40.09,40.54,10232800,HD
2006-05-02,40.9,40.95,40.13,40.2,8125600,HD
2006-05-03,40.2,40.58,40.05,40.37,6072600,HD
2006-05-04,40.42,40.5,40.09,40.26,9261600,HD
2006-05-05,40.66,41.48,40.47,41.29,11264100,HD
2006-05-08,41.15,41.45,40.88,41.01,7029300,HD
2006-05-09,41.1,41.61,41.03,41.36,8358400,HD
2006-05-10,41.3,41.36,40.85,41.21,7472100,HD
2006-05-11,41.05,41.3,40.55,40.72,9089800,HD
2006-05-12,40.53,40.62,39.66,40.0,11666700,HD
2006-05-15,39.95,40.5,39.54,40.5,9655700,HD
2006-05-16,39.6,39.6,38.18,38.45,30902900,HD
2006-05-17,38.27,38.35,37.3,38.01,29145200,HD
2006-05-18,38.5,39.09,38.23,38.41,16002800,HD
2006-05-19,38.59,39.12,38.53,38.94,11992600,HD
2006-05-22,38.5,38.68,38.06,38.49,10882000,HD
2006-05-23,38.57,38.7,37.75,37.84,10803800,HD
2006-05-24,37.8,38.18,37.58,38.01,14849400,HD
2006-05-25,38.36,38.4,37.93,38.4,9405800,HD
2006-05-26,38.5,39.09,38.5,38.67,9236100,HD
2006-05-30,38.26,38.35,37.7,37.7,11519200,HD
2006-05-31,37.77,38.14,37.61,38.12,12052700,HD
2006-06-01,37.95,38.61,37.9,38.55,11641400,HD
2006-06-02,38.41,38.75,37.8,38.0,12508800,HD
2006-06-05,37.75,38.1,37.44,37.46,11632400,HD
2006-06-06,37.57,37.64,36.6,37.06,17697600,HD
2006-06-07,36.95,37.38,36.65,36.71,11670600,HD
