Date,Open,High,Low,Close,Volume,Name
2006-01-03,25.19,25.64,24.9,25.57,56409085,INTC
2006-01-04,25.6,25.94,25.59,25.91,46189650,INTC
2006-01-05,25.93,26.47,25.91,26.27,54893195,INTC
2006-01-06,26.48,26.63,26.21,26.31,45703307,INTC
2006-01-09,26.39,26.51,26.09,26.47,39461729,INTC
2006-01-10,26.29,26.41,25.92,26.12,47034594,INTC
2006-01-11,26.13,26.33,25.9,26.14,53005009,INTC
2006-01-12,26.05,26.52,25.87,25.97,54026675,INTC
2006-01-13,25.96,26.18,25.54,25.79,46311963,INTC
2006-01-17,25.59,25.75,25.32,25.52,89043324,INTC
2006-01-18,22.87,23.06,22.36,22.6,282104769,INTC
2006-01-19,22.8,22.87,22.39,22.4,196361139,INTC
2006-01-20,22.44,22.47,21.75,21.76,155494771,INTC
2006-01-23,21.92,21.93,21.1,21.35,155149599,INTC
2006-01-24,21.53,21.59,21.24,21.28,107260809,INTC
2006-01-25,21.4,21.42,21.1,21.21,110327101,INTC
2006-01-26,21.4,21.75,21.27,21.49,101993203,INTC
2006-01-27,21.75,21.9,21.55,21.67,75189388,INTC
2006-01-30,21.83,21.93,21.59,21.65,60422489,INTC
2006-01-31,21.69,21.71,21.25,21.26,79350790,INTC
2006-02-01,21.24,21.59,21.23,21.55,71661338,INTC
2006-02-02,21.56,21.68,21.18,21.2,87510771,INTC
2006-02-03,21.14,21.17,20.73,20.74,101422619,INTC
2006-02-06,20.85,20.85,20.5,20.61,66862028,INTC
2006-02-07,20.62,20.94,20.52,20.67,95326012,INTC
2006-02-08,20.78,20.84,20.54,20.67,77626359,INTC
2006-02-09,20.77,21.25,20.72,21.0,81808399,INTC
2006-02-10,21.02,21.34,20.81,21.29,83023221,INTC
2006-02-13,21.18,21.44,21.07,21.13,65892019,INTC
2006-02-14,21.18,21.47,21.13,21.37,60129138,INTC
2006-02-15,21.35,21.47,21.21,21.35,67234473,INTC
2006-02-16,21.36,21.45,21.18,21.35,70979098,INTC
2006-02-17,21.0,21.04,20.56,20.61,116649006,INTC
2006-02-21,20.66,20.74,20.5,20.62,67232626,INTC
2006-02-22,20.42,20.45,19.9,20.15,138570653,INTC
2006-02-23,20.18,20.49,19.88,20.29,85301464,INTC
2006-02-24,20.19,20.53,20.13,20.36,73157067,INTC
2006-02-27,20.47,20.79,20.43,20.52,87190140,INTC
2006-02-28,20.55,21.01,20.5,20.6,93254610,INTC
2006-03-01,20.73,21.0,20.67,20.8,80769883,INTC
2006-03-02,20.68,20.84,20.38,20.49,86247427,INTC
2006-03-03,19.97,20.48,19.86,20.32,202825605,INTC
2006-03-06,20.43,20.56,20.23,20.3,81747986,INTC
2006-03-07,20.15,20.2,19.83,20.06,90713524,INTC
2006-03-08,20.01,20.19,19.82,20.01,82857688,INTC
2006-03-09,20.05,20.16,19.73,19.75,69752665,INTC
2006-03-10,19.83,20.02,19.78,19.85,61554985,INTC
2006-03-13,19.95,20.5,19.69,19.73,80534558,INTC
2006-03-14,19.73,19.9,19.64,19.76,69377444,INTC
2006-03-15,19.79,19.97,19.73,19.92,69811288,INTC
2006-03-16,20.05,20.08,19.64,19.65,66074243,INTC
2006-03-17,19.75,19.77,19.4,19.54,110841841,INTC
2006-03-20,19.45,19.95,19.45,19.62,58655159,INTC
2006-03-21,19.79,20.32,19.6,19.78,124284549,INTC
2006-03-22,19.66,20.04,19.6,19.98,84953852,INTC
2006-03-23,19.98,20.16,19.69,19.7,84379513,INTC
2006-03-24,19.75,19.82,19.31,19.6,60452842,INTC
2006-03-27,19.62,19.92,19.62,19.75,60292532,INTC
2006-03-28,19.75,19.86,19.56,19.58,72698860,INTC
2006-03-29,19.61,19.96,19.51,19.82,81242993,INTC
2006-03-30,19.9,20.03,19.65,19.7,70656347,INTC
2006-03-31,19.78,19.88,19.35,19.46,86898719,INTC
2006-04-03,19.68,19.7,19.34,19.35,73361140,INTC
2006-04-04,19.39,19.5,19.25,19.3,67112248,INTC
2006-04-05,19.34,19.53,19.28,19.48,74324499,INTC
2006-04-06,19.49,19.6,19.33,19.38,51711857,INTC
2006-04-07,19.46,19.56,19.24,19.24,54545368,INTC
2006-04-10,19.3,19.47,19.25,19.36,52175773,INTC
2006-04-11,19.42,19.46,19.12,19.16,60191778,INTC
2006-04-12,19.14,19.27,19.1,19.12,44103022,INTC
2006-04-13,19.19,19.59,19.17,19.45,77395731,INTC
2006-04-17,19.41,20.0,18.99,19.19,76275896,INTC
2006-04-18,19.26,19.48,18.6,19.39,78096947,INTC
2006-04-19,19.32,19.6,19.2,19.56,104032549,INTC
2006-04-20,19.77,19.94,19.4,19.45,127129665,INTC
2006-04-21,19.52,20.0,19.02,19.06,92187769,INTC
2006-04-24,18.5,19.25,18.9,18.91,67613681,INTC
2006-04-25,18.94,19.2,18.75,19.15,90284045,INTC
2006-04-26,19.15,19.58,19.12,19.49,85363998,INTC
2006-04-27,19.39,20.2,19.2,20.08,134533918,INTC
2006-04-28,19.99,20.27,19.91,19.98,89979982,INTC
2006-05-01,20.06,20.16,19.46,19.49,75872327,INTC
2006-05-02,19.64,19.72,19.51,19.59,52922918,INTC
2006-05-03,19.52,19.87,19.12,19.16,69940646,INTC
2006-05-04,19.28,19.45,19.21,19.34,42448062,INTC
2006-05-05,19.43,19.65,19.37,19.51,51090856,INTC
