Date,Open,High,Low,Close,Volume,Name
2006-01-03,61.07,61.85,61.05,61.63,10703200,JNJ
2006-01-04,61.93,62.64,61.76,62.58,9068100,JNJ
2006-01-05,62.57,62.95,62.1,62.32,9852600,JNJ
2006-01-06,62.36,62.74,62.14,62.6,5919300,JNJ
2006-01-09,62.52,63.01,62.43,62.99,7103700,JNJ
2006-01-10,62.52,63.1,62.5,63.1,6658300,JNJ
2006-01-11,62.96,62.99,61.94,62.5,8825400,JNJ
2006-01-12,62.5,62.55,61.8,62.21,7262400,JNJ
2006-01-13,61.9,62.29,61.42,61.82,7043600,JNJ
2006-01-17,61.31,62.07,61.1,61.28,9674000,JNJ
2006-01-18,61.75,62.24,61.35,61.69,7563200,JNJ
2006-01-19,62.3,62.62,61.7,62.17,7494800,JNJ
2006-01-20,61.24,62.3,60.73,60.8,11024900,JNJ
2006-01-23,60.75,61.24,60.61,61.19,7217400,JNJ
2006-01-24,60.19,61.24,59.36,59.36,19957500,JNJ
2006-01-25,61.0,61.0,58.04,58.5,25369100,JNJ
2006-01-26,58.75,59.5,58.56,58.64,15946100,JNJ
2006-01-27,58.95,59.21,58.35,58.71,11596400,JNJ
2006-01-30,58.71,58.75,58.04,58.4,11877600,JNJ
2006-01-31,58.15,58.34,57.45,57.54,20564100,JNJ
2006-02-01,57.67,58.42,57.65,57.86,13401700,JNJ
2006-02-02,58.35,58.38,57.59,57.65,10014600,JNJ
2006-02-03,57.26,57.5,57.02,57.38,11020300,JNJ
2006-02-06,57.5,57.56,56.65,56.85,10619500,JNJ
2006-02-07,57.0,57.33,56.7,56.8,10340700,JNJ
2006-02-08,57.05,58.74,56.93,58.6,14627600,JNJ
2006-02-09,59.15,59.71,58.3,58.55,12131500,JNJ
2006-02-10,58.7,58.76,58.24,58.39,8158200,JNJ
2006-02-13,58.38,58.64,58.04,58.5,5015500,JNJ
2006-02-14,58.7,59.27,58.7,59.05,9817200,JNJ
2006-02-15,59.08,59.4,58.7,59.1,8314500,JNJ
2006-02-16,59.45,59.45,58.58,58.98,11893800,JNJ
2006-02-17,59.18,59.27,58.74,59.07,6773400,JNJ
2006-02-21,59.13,59.32,58.75,59.14,6489900,JNJ
2006-02-22,59.01,59.2,58.7,59.03,8647200,JNJ
2006-02-23,59.0,59.06,58.45,58.59,9753400,JNJ
2006-02-24,58.69,58.69,57.42,57.76,10373500,JNJ
2006-02-27,57.96,58.55,57.83,57.91,7037900,JNJ
2006-02-28,57.81,57.92,57.42,57.65,8942200,JNJ
2006-03-01,57.62,57.82,57.45,57.66,7142000,JNJ
2006-03-02,57.5,58.26,57.45,57.69,7794500,JNJ
2006-03-03,57.55,58.12,57.47,57.47,6464500,JNJ
2006-03-06,57.57,58.07,57.51,57.85,7349500,JNJ
2006-03-07,57.53,58.31,57.53,58.22,9560000,JNJ
2006-03-08,58.15,58.85,57.83,58.74,7424500,JNJ
2006-03-09,58.95,58.97,58.25,58.31,8570900,JNJ
2006-03-10,58.65,59.04,58.5,59.04,9240900,JNJ
2006-03-13,59.35,59.37,59.0,59.08,6219700,JNJ
2006-03-14,59.15,59.4,59.03,59.29,7939300,JNJ
2006-03-15,59.15,59.95,59.1,59.8,8900800,JNJ
2006-03-16,59.95,60.23,59.7,60.02,10785400,JNJ
2006-03-17,60.4,60.4,60.15,60.34,11512300,JNJ
2006-03-20,60.4,60.55,60.3,60.48,5889200,JNJ
2006-03-21,60.78,60.84,60.41,60.57,7880000,JNJ
2006-03-22,60.3,61.1,60.3,61.0,7066500,JNJ
2006-03-23,60.77,60.9,60.62,60.81,6951600,JNJ
2006-03-24,60.66,60.8,60.29,60.39,5179200,JNJ
2006-03-27,60.07,60.4,59.75,59.94,7469500,JNJ
