Date,Open,High,Low,Close,Volume,Name
2006-01-03,39.83,40.36,39.3,40.19,12839400,JPM
2006-01-04,39.78,40.14,39.42,39.62,13491800,JPM
2006-01-05,39.61,39.81,39.5,39.74,8109400,JPM
2006-01-06,39.92,40.24,39.55,40.02,7966900,JPM
2006-01-09,39.88,40.72,39.88,40.67,16575200,JPM
2006-01-10,40.5,40.75,40.07,40.73,16614900,JPM
2006-01-11,40.73,40.87,40.61,40.7,12333100,JPM
2006-01-12,40.25,40.42,39.9,39.95,12230400,JPM
2006-01-13,39.78,40.03,39.65,39.92,10961200,JPM
2006-01-17,39.48,39.82,39.41,39.71,9941400,JPM
2006-01-18,39.11,39.71,38.95,39.35,17908500,JPM
2006-01-19,39.34,39.47,38.8,39.06,12092300,JPM
2006-01-20,38.81,38.82,37.88,38.05,20907200,JPM
2006-01-23,38.14,38.7,37.97,38.27,13172400,JPM
2006-01-24,38.27,38.53,38.09,38.11,9781500,JPM
2006-01-25,38.16,38.68,38.06,38.48,14248700,JPM
2006-01-26,38.71,39.81,38.71,39.59,16187900,JPM
2006-01-27,39.25,40.04,39.17,39.75,12929400,JPM
2006-01-30,39.52,39.97,39.42,39.85,8701700,JPM
2006-01-31,40.03,40.19,39.74,39.75,15582500,JPM
2006-02-01,39.88,40.22,39.67,39.88,11429800,JPM
2006-02-02,39.88,40.16,39.59,39.99,10309100,JPM
2006-02-03,39.45,40.1,39.4,39.53,10440700,JPM
2006-02-06,39.4,39.6,39.31,39.44,6591900,JPM
2006-02-07,39.2,39.6,39.05,39.26,8592600,JPM
2006-02-08,39.28,39.62,39.25,39.6,10065400,JPM
2006-02-09,39.53,40.03,39.44,39.77,8496300,JPM
2006-02-10,39.62,39.98,39.29,39.92,8790500,JPM
2006-02-13,39.77,40.31,39.61,39.77,7791600,JPM
2006-02-14,39.66,40.33,39.65,40.1,12904100,JPM
2006-02-15,39.97,40.5,39.97,40.32,12686700,JPM
2006-02-16,40.45,40.82,40.24,40.82,11572000,JPM
2006-02-17,40.66,40.82,40.4,40.78,11518600,JPM
2006-02-21,40.63,40.95,40.55,40.7,7324600,JPM
2006-02-22,40.89,41.55,40.74,41.41,13168400,JPM
2006-02-23,41.26,41.57,41.0,41.11,8739500,JPM
2006-02-24,40.94,41.83,40.87,41.66,9294300,JPM
2006-02-27,41.55,41.95,41.55,41.58,8542000,JPM
2006-02-28,41.59,41.6,40.97,41.14,11716200,JPM
2006-03-01,41.16,41.94,41.13,41.63,10547700,JPM
2006-03-02,41.63,41.84,41.37,41.66,10939800,JPM
2006-03-03,41.5,42.09,41.43,41.59,12290600,JPM
2006-03-06,41.48,41.81,41.14,41.43,9877500,JPM
2006-03-07,41.02,41.66,41.02,41.48,9441300,JPM
2006-03-08,41.49,41.74,41.2,41.6,9147100,JPM
2006-03-09,41.5,41.74,40.96,41.05,9767500,JPM
2006-03-10,41.06,41.4,40.87,41.13,11175700,JPM
2006-03-13,41.45,41.48,40.98,41.06,10626100,JPM
2006-03-14,41.26,41.5,41.25,41.38,16237100,JPM
2006-03-15,41.16,41.34,40.99,41.22,14017900,JPM
2006-03-16,41.42,41.53,41.26,41.32,10045600,JPM
