Date,Open,High,Low,Close,Volume,Name
2006-01-03,20.4,20.5,20.18,20.45,13640800,KO
2006-01-04,20.5,20.54,20.33,20.41,19993200,KO
2006-01-05,20.36,20.56,20.29,20.51,16613400,KO
2006-01-06,20.53,20.78,20.43,20.7,17122800,KO
2006-01-09,20.74,20.84,20.62,20.8,13819800,KO
2006-01-10,20.59,20.86,20.59,20.82,13849800,KO
2006-01-11,20.83,20.9,20.74,20.84,10591600,KO
2006-01-12,20.64,20.82,20.64,20.72,17086000,KO
2006-01-13,20.69,20.78,20.52,20.66,10548400,KO
2006-01-17,20.54,20.64,20.45,20.52,11574000,KO
2006-01-18,20.5,20.5,20.3,20.44,12945200,KO
2006-01-19,20.47,20.57,20.3,20.46,10907600,KO
2006-01-20,20.42,20.44,19.68,20.04,18972400,KO
2006-01-23,20.0,20.33,20.0,20.25,13234200,KO
2006-01-24,20.6,20.6,20.4,20.4,15888400,KO
2006-01-25,20.57,20.6,20.45,20.57,13699000,KO
2006-01-26,20.64,20.79,20.58,20.74,14573200,KO
2006-01-27,20.74,21.0,20.61,20.98,13646400,KO
2006-01-30,20.92,20.98,20.77,20.88,12143400,KO
2006-01-31,20.87,20.87,20.6,20.69,13115000,KO
2006-02-01,20.6,20.77,20.52,20.75,12963400,KO
2006-02-02,20.66,20.76,20.49,20.62,12468400,KO
2006-02-03,20.51,20.62,20.26,20.44,12538000,KO
2006-02-06,20.42,20.5,20.32,20.47,13500600,KO
2006-02-07,20.7,20.74,20.3,20.52,20575400,KO
2006-02-08,20.63,20.64,20.34,20.62,18186000,KO
2006-02-09,20.56,20.71,20.45,20.5,15045200,KO
2006-02-10,20.46,20.71,20.36,20.58,12782000,KO
2006-02-13,20.69,20.69,20.32,20.37,11791600,KO
2006-02-14,20.5,20.72,20.47,20.67,14049800,KO
2006-02-15,20.7,20.72,20.56,20.67,13561600,KO
2006-02-16,20.64,20.81,20.58,20.8,14381400,KO
2006-02-17,20.82,20.95,20.62,20.9,14525200,KO
2006-02-21,20.9,21.02,20.8,20.92,20793200,KO
2006-02-22,21.02,21.08,20.96,21.04,11821200,KO
2006-02-23,21.09,21.16,20.97,21.02,9523400,KO
2006-02-24,21.0,21.17,20.92,21.12,10691400,KO
2006-02-27,21.14,21.26,21.09,21.26,13200000,KO
2006-02-28,21.26,21.29,20.96,20.98,16189400,KO
2006-03-01,20.95,21.19,20.92,21.16,11066800,KO
2006-03-02,21.04,21.08,20.85,20.96,11537800,KO
2006-03-03,20.82,21.02,20.78,20.9,10586800,KO
2006-03-06,20.88,21.1,20.85,20.98,10945800,KO
2006-03-07,20.98,21.02,20.85,20.9,11242600,KO
2006-03-08,20.86,21.26,20.85,21.12,13843800,KO
2006-03-09,21.06,21.3,21.06,21.2,13296600,KO
2006-03-10,21.31,21.46,21.26,21.38,15399000,KO
2006-03-13,21.3,21.4,21.2,21.24,13502200,KO
2006-03-14,21.24,21.44,21.22,21.4,11418800,KO
2006-03-15,21.34,21.41,21.28,21.36,12805400,KO
2006-03-16,21.36,21.38,21.26,21.34,14209000,KO
2006-03-17,21.34,21.42,21.29,21.4,16509200,KO
2006-03-20,21.41,21.5,21.34,21.44,11851600,KO
2006-03-21,21.4,21.43,21.26,21.38,14625800,KO
2006-03-22,20.9,21.48,21.34,21.38,16481600,KO
2006-03-23,21.38,21.42,21.1,21.2,12053200,KO
2006-03-24,21.18,21.38,21.16,21.33,9725200,KO
2006-03-27,21.28,21.32,21.16,21.2,9339200,KO
2006-03-28,21.16,21.24,21.06,21.08,10910400,KO
2006-03-29,21.05,21.18,21.01,21.08,8702200,KO
2006-03-30,20.99,21.13,20.95,21.06,13586200,KO
2006-03-31,21.06,21.1,20.9,20.94,14535800,KO
2006-04-03,21.05,21.12,20.9,20.94,11291600,KO
2006-04-04,20.91,21.06,20.84,21.04,9258000,KO
2006-04-05,21.02,21.04,20.88,20.98,13148800,KO
2006-04-06,21.0,21.0,20.79,20.84,10988400,KO
2006-04-07,20.9,20.94,20.66,20.68,11897200,KO
2006-04-10,20.68,20.75,20.61,20.74,7730600,KO
2006-04-11,21.0,21.0,20.54,20.64,11085200,KO
2006-04-12,20.63,20.67,20.45,20.58,10011800,KO
2006-04-13,20.58,20.72,20.54,20.63,9029000,KO
2006-04-17,20.65,20.7,20.43,20.52,9270800,KO
2006-04-18,20.52,20.74,20.52,20.65,11528400,KO
2006-04-19,20.74,21.06,20.7,20.84,16677600,KO
2006-04-20,20.87,21.12,20.78,20.9,12246600,KO
2006-04-21,21.0,21.01,20.84,20.92,13110600,KO
2006-04-24,20.88,20.95,20.76,20.78,12466400,KO
2006-04-25,20.78,20.81,20.62,20.68,12600800,KO
2006-04-26,20.68,20.89,20.68,20.86,12248600,KO
2006-04-27,20.82,21.07,20.8,21.02,13386000,KO
2006-04-28,21.0,21.04,20.92,20.98,11529400,KO
2006-05-01,21.04,21.1,20.96,20.98,13265600,KO
2006-05-02,21.05,21.15,21.0,21.12,10551400,KO
2006-05-03,21.08,21.12,20.92,20.96,14313200,KO
2006-05-04,20.98,21.06,20.9,21.04,13301800,KO
2006-05-05,21.14,21.44,21.02,21.36,18958000,KO
2006-05-08,21.42,21.87,21.41,21.68,27358400,KO
2006-05-09,21.59,21.84,21.59,21.84,13989600,KO
2006-05-10,21.84,21.88,21.74,21.79,14902400,KO
2006-05-11,21.77,21.8,21.64,21.69,16969400,KO
2006-05-12,21.64,21.7,21.56,21.59,14767800,KO
2006-05-15,21.6,22.0,21.52,21.97,18626600,KO
2006-05-16,22.07,22.1,21.82,21.92,16980000,KO
2006-05-17,21.88,21.98,21.6,21.78,19864600,KO
2006-05-18,21.79,21.96,21.68,21.78,15375800,KO
2006-05-19,21.87,21.88,21.64,21.82,16014600,KO
2006-05-22,21.78,21.86,21.69,21.8,15714200,KO
2006-05-23,21.86,21.88,21.76,21.79,13723000,KO
2006-05-24,21.76,22.08,21.72,22.02,20534800,KO
2006-05-25,22.1,22.18,21.92,22.18,14125400,KO
2006-05-26,22.24,22.38,22.11,22.24,12337000,KO
2006-05-30,22.1,22.16,21.82,21.84,16652400,KO
2006-05-31,21.85,22.04,21.78,22.02,14599800,KO
2006-06-01,21.99,22.02,21.84,21.96,9973400,KO
2006-06-02,21.88,22.06,21.8,21.94,12120400,KO
2006-06-05,21.9,21.94,21.7,21.72,11428600,KO
2006-06-06,21.8,21.86,21.6,21.75,16578600,KO
2006-06-07,21.81,21.9,21.68,21.69,11579400,KO
2006-06-08,21.74,21.76,21.52,21.7,23080400,KO
2006-06-09,21.9,21.92,21.72,21.78,13947800,KO
2006-06-12,21.84,21.84,21.64,21.66,13990800,KO
2006-06-13,21.59,21.62,21.38,21.46,18118600,KO
2006-06-14,21.42,21.56,21.24,21.4,12402600,KO
2006-06-15,21.48,21.56,21.26,21.52,14639400,KO
2006-06-16,21.46,21.68,21.46,21.6,16754800,KO
2006-06-19,21.6,21.66,21.36,21.46,11684600,KO
2006-06-20,21.45,21.56,21.35,21.4,11306000,KO
2006-06-21,21.34,21.57,21.34,21.5,9266400,KO
2006-06-22,21.51,21.52,21.31,21.44,8048600,KO
2006-06-23,21.37,21.51,21.35,21.38,7681400,KO
2006-06-26,21.36,21.44,21.24,21.42,9625600,KO
2006-06-27,21.34,21.39,21.14,21.26,12008800,KO
2006-06-28,21.22,21.28,21.18,21.21,10224600,KO
2006-06-29,21.28,21.58,21.21,21.53,14379800,KO
2006-06-30,21.62,21.74,21.51,21.51,22582200,KO
2006-07-03,21.6,21.72,21.56,21.68,5875600,KO
2006-07-05,21.6,21.68,21.42,21.51,11838800,KO
