Date,Open,High,Low,Close,Volume,Name
2006-01-03,34.29,34.29,33.2,33.52,9250100,MCD
2006-01-04,33.43,33.85,33.42,33.82,5990300,MCD
2006-01-05,33.82,34.2,33.73,33.86,6245200,MCD
2006-01-06,34.23,34.3,33.81,34.06,5877100,MCD
2006-01-09,34.0,34.74,33.99,34.71,4659900,MCD
2006-01-10,34.61,34.85,34.54,34.74,7021800,MCD
2006-01-11,34.82,35.36,34.8,35.34,8209000,MCD
2006-01-12,35.25,35.32,34.74,34.79,11593600,MCD
2006-01-13,34.65,34.74,34.35,34.47,4807700,MCD
2006-01-17,34.72,35.16,34.52,34.59,5499200,MCD
2006-01-18,34.58,35.44,34.41,34.66,10552500,MCD
2006-01-19,35.3,35.37,35.0,35.2,9093800,MCD
2006-01-20,35.2,35.91,35.09,35.86,11437300,MCD
2006-01-23,35.86,36.09,35.27,35.71,6994800,MCD
2006-01-24,35.94,36.31,35.67,35.85,9685600,MCD
2006-01-25,36.0,36.14,34.55,35.16,21016500,MCD
2006-01-26,35.5,35.7,34.75,34.94,12358300,MCD
2006-01-27,34.94,35.24,34.92,35.05,7355400,MCD
2006-01-30,34.9,35.07,34.83,35.02,8004200,MCD
2006-01-31,35.04,35.25,34.9,35.01,6988200,MCD
2006-02-01,35.01,35.71,34.99,35.67,7184900,MCD
2006-02-02,35.33,35.81,35.17,35.45,5409500,MCD
2006-02-03,35.45,36.08,35.44,35.97,6853000,MCD
2006-02-06,36.0,36.44,35.9,36.13,7163500,MCD
2006-02-07,36.3,36.51,36.06,36.19,4869300,MCD
2006-02-08,36.6,36.75,36.26,36.36,6444300,MCD
2006-02-09,36.31,36.49,36.22,36.3,4889600,MCD
2006-02-10,36.27,36.46,36.11,36.33,5741200,MCD
2006-02-13,36.41,36.59,36.16,36.36,3421100,MCD
2006-02-14,36.36,36.55,36.07,36.37,5392300,MCD
2006-02-15,36.26,36.27,35.75,36.01,7669400,MCD
2006-02-16,35.99,36.39,35.86,36.37,3963500,MCD
2006-02-17,36.37,36.44,36.01,36.06,4802300,MCD
2006-02-21,35.88,36.0,35.35,35.66,5250300,MCD
2006-02-22,35.75,36.08,35.72,35.95,4623400,MCD
2006-02-23,35.75,35.99,35.5,35.59,3751800,MCD
2006-02-24,35.49,35.52,35.19,35.34,4802800,MCD
2006-02-27,35.3,35.53,35.11,35.25,4262200,MCD
2006-02-28,35.3,35.47,34.89,34.91,5522700,MCD
2006-03-01,35.0,35.18,34.43,34.93,5945500,MCD
2006-03-02,34.93,34.99,34.69,34.94,4566200,MCD
2006-03-03,34.75,35.06,34.64,34.85,5433800,MCD
2006-03-06,34.61,34.96,34.57,34.67,4145100,MCD
2006-03-07,34.55,34.78,34.43,34.64,7942300,MCD
2006-03-08,34.67,34.9,34.65,34.68,6588600,MCD
2006-03-09,34.62,34.73,34.39,34.53,5009600,MCD
2006-03-10,34.6,35.01,34.54,34.65,3991100,MCD
2006-03-13,34.53,34.7,34.11,34.32,6117300,MCD
2006-03-14,34.17,34.41,34.12,34.26,5661700,MCD
2006-03-15,34.21,34.83,34.19,34.77,5235600,MCD
2006-03-16,34.7,35.14,34.7,35.06,5637800,MCD
2006-03-17,35.24,35.25,35.0,35.1,5983900,MCD
2006-03-20,34.94,35.07,34.67,34.73,3983900,MCD
2006-03-21,34.67,35.14,34.67,34.9,5700400,MCD
2006-03-22,35.03,35.13,34.62,34.8,4218100,MCD
2006-03-23,34.81,34.81,34.36,34.54,4701300,MCD
2006-03-24,34.54,34.86,34.4,34.7,3242800,MCD
2006-03-27,34.42,34.65,34.37,34.55,3338600,MCD
2006-03-28,34.36,34.77,34.28,34.31,4430800,MCD
2006-03-29,34.2,34.65,34.16,34.6,2583800,MCD
2006-03-30,34.41,34.8,34.18,34.55,4039100,MCD
2006-03-31,34.41,34.63,34.26,34.36,4020100,MCD
2006-04-03,34.45,34.91,34.43,34.73,5750000,MCD
2006-04-04,34.88,34.91,34.57,34.66,4283300,MCD
2006-04-05,34.58,34.89,34.43,34.81,5667500,MCD
2006-04-06,34.47,34.91,34.47,34.6,4033800,MCD
2006-04-07,34.63,34.99,34.48,34.88,4716800,MCD
2006-04-10,35.0,35.45,34.95,35.35,6109800,MCD
2006-04-11,35.39,35.57,35.19,35.55,5525900,MCD
2006-04-12,35.37,35.41,34.97,35.19,6314200,MCD
2006-04-13,35.49,35.49,34.7,34.85,10711400,MCD
2006-04-17,34.78,34.83,34.05,34.32,6301700,MCD
2006-04-18,34.32,34.68,34.11,34.48,5441300,MCD
2006-04-19,34.33,34.85,34.33,34.55,3408600,MCD
2006-04-20,34.55,35.11,34.55,35.08,5006100,MCD
2006-04-21,34.88,35.0,34.36,34.6,6320500,MCD
2006-04-24,34.35,34.45,34.08,34.26,5687200,MCD
2006-04-25,34.06,34.17,33.81,33.85,7113900,MCD
2006-04-26,33.9,34.13,33.71,34.11,4218300,MCD
2006-04-27,33.85,34.65,33.85,34.62,4864300,MCD
2006-04-28,34.6,34.72,34.3,34.57,4714000,MCD
2006-05-01,34.64,34.75,34.31,34.37,4054700,MCD
2006-05-02,34.4,34.53,34.22,34.41,3975400,MCD
2006-05-03,34.48,34.88,34.32,34.86,4472600,MCD
2006-05-04,34.85,35.08,34.8,34.85,4646200,MCD
2006-05-05,34.88,35.25,34.85,35.21,6408400,MCD
2006-05-08,35.21,35.39,35.2,35.39,4039200,MCD
2006-05-09,35.7,35.93,35.57,35.83,5933100,MCD
2006-05-10,35.76,35.99,35.69,35.96,4813600,MCD
2006-05-11,35.95,35.96,35.22,35.35,4927600,MCD
2006-05-12,35.37,35.52,34.87,34.88,5397100,MCD
