Date,Open,High,Low,Close,Volume,Name
2006-01-03,32.52,32.87,31.81,32.75,11430600,MRK
2006-01-04,32.75,33.2,32.75,33.13,12530200,MRK
2006-01-05,32.92,33.39,32.5,33.18,15349900,MRK
2006-01-06,33.09,33.36,32.87,33.12,9302700,MRK
2006-01-09,33.22,33.66,32.75,33.66,14958400,MRK
2006-01-10,33.45,33.45,33.13,33.33,8887000,MRK
2006-01-11,33.49,33.59,33.31,33.46,9515100,MRK
2006-01-12,33.56,33.58,33.35,33.48,7083500,MRK
2006-01-13,33.53,33.72,33.35,33.47,7044200,MRK
2006-01-17,33.11,33.65,33.01,33.21,9875800,MRK
2006-01-18,33.12,33.42,32.95,33.03,9117200,MRK
2006-01-19,33.36,33.63,33.22,33.32,9303300,MRK
2006-01-20,33.32,33.43,33.01,33.25,10102400,MRK
2006-01-23,33.14,33.21,32.76,32.83,7718800,MRK
2006-01-24,32.73,33.01,32.61,32.78,7707400,MRK
2006-01-25,32.7,33.24,32.55,33.19,7950700,MRK
2006-01-26,33.34,34.05,33.32,33.95,11073900,MRK
2006-01-27,33.8,34.85,33.71,34.7,10444500,MRK
2006-01-30,34.41,34.65,34.06,34.46,9371500,MRK
2006-01-31,34.87,34.88,34.39,34.5,14794700,MRK
2006-02-01,34.27,34.74,34.2,34.66,8207200,MRK
2006-02-02,34.55,34.73,33.7,33.82,10456300,MRK
2006-02-03,34.5,34.64,33.82,34.39,9983100,MRK
2006-02-06,34.24,34.29,33.74,33.83,6068700,MRK
2006-02-07,33.7,34.4,33.56,33.69,6698900,MRK
2006-02-08,33.9,34.48,33.64,34.29,9172500,MRK
2006-02-09,34.48,34.7,34.3,34.34,8485100,MRK
2006-02-10,33.7,34.4,33.66,34.31,7224200,MRK
2006-02-13,34.32,34.69,34.13,34.31,5723100,MRK
2006-02-14,34.51,34.72,34.35,34.67,6618900,MRK
2006-02-15,34.58,35.3,34.58,35.29,12413400,MRK
2006-02-16,35.0,36.08,34.98,35.98,12009400,MRK
2006-02-17,35.98,36.06,34.85,36.05,11708000,MRK
2006-02-21,36.52,36.65,35.47,35.59,9763800,MRK
2006-02-22,35.81,36.25,35.5,35.92,11962300,MRK
2006-02-23,35.55,35.7,35.29,35.41,10198700,MRK
2006-02-24,35.54,35.54,35.0,35.1,6467300,MRK
2006-02-27,35.02,35.59,35.02,35.36,7767900,MRK
2006-02-28,35.09,35.29,34.84,34.86,8451200,MRK
2006-03-01,35.05,35.36,34.71,34.96,7628900,MRK
2006-03-02,34.75,35.26,34.71,35.12,9047400,MRK
2006-03-03,34.94,35.42,34.75,35.19,6103700,MRK
2006-03-06,35.11,35.35,34.8,34.96,7984600,MRK
2006-03-07,34.96,35.0,34.68,34.9,5513700,MRK
2006-03-08,34.6,34.85,34.34,34.68,5175000,MRK
2006-03-09,34.57,34.65,34.35,34.51,5105000,MRK
2006-03-10,34.75,34.96,34.5,34.76,5911600,MRK
2006-03-13,34.78,35.35,34.75,35.2,8146800,MRK
2006-03-14,35.1,36.26,34.95,35.1,5218800,MRK
2006-03-15,35.0,35.27,34.88,35.16,4618200,MRK
2006-03-16,35.0,35.51,34.96,35.28,6125800,MRK
2006-03-17,35.47,35.69,35.35,35.64,8742300,MRK
2006-03-20,35.54,35.93,35.42,35.66,5625100,MRK
2006-03-21,35.86,36.18,35.64,35.89,7385800,MRK
2006-03-22,35.55,36.32,35.55,36.23,6084700,MRK
2006-03-23,36.1,36.5,35.91,36.2,5502100,MRK
2006-03-24,36.12,36.32,36.0,36.05,5073700,MRK
2006-03-27,35.91,36.25,35.8,36.02,5821900,MRK
2006-03-28,36.04,36.15,35.51,35.65,6371900,MRK
2006-03-29,35.73,36.08,35.56,35.8,5308900,MRK
2006-03-30,35.72,36.14,35.22,35.61,6848900,MRK
2006-03-31,35.77,35.92,35.03,35.23,8554700,MRK
2006-04-03,35.47,35.61,35.31,35.41,10013100,MRK
