Date,Open,High,Low,Close,Volume,Name
2006-01-03,26.25,27.0,26.1,26.84,79974418,MSFT
2006-01-04,26.77,27.08,26.77,26.97,57975661,MSFT
2006-01-05,26.96,27.13,26.91,26.99,48247610,MSFT
2006-01-06,26.89,27.0,26.49,26.91,100969092,MSFT
2006-01-09,26.93,27.07,26.76,26.86,55627836,MSFT
2006-01-10,26.65,27.02,26.59,27.0,64924946,MSFT
2006-01-11,27.01,27.39,26.9,27.29,70123544,MSFT
2006-01-12,27.25,27.26,26.97,27.14,45994725,MSFT
2006-01-13,27.03,27.25,27.01,27.19,41449046,MSFT
2006-01-17,26.9,27.19,26.9,26.99,58574807,MSFT
2006-01-18,26.74,26.98,26.7,26.83,52495587,MSFT
2006-01-19,26.87,27.24,26.85,27.02,60382450,MSFT
2006-01-20,27.01,27.01,26.26,26.41,79228490,MSFT
2006-01-23,26.41,26.53,26.3,26.35,47971611,MSFT
2006-01-24,26.34,26.45,26.22,26.28,63061743,MSFT
2006-01-25,26.41,26.57,26.23,26.4,59072711,MSFT
2006-01-26,26.56,26.72,26.31,26.5,69531321,MSFT
2006-01-27,27.23,27.95,27.19,27.79,134525193,MSFT
2006-01-30,27.82,28.18,27.78,28.0,103999604,MSFT
2006-01-31,27.91,28.38,27.87,28.15,94844406,MSFT
2006-02-01,27.96,28.07,27.76,28.04,68437410,MSFT
2006-02-02,27.97,27.99,27.55,27.68,55078684,MSFT
2006-02-03,27.48,27.7,27.34,27.54,75023515,MSFT
2006-02-06,27.51,27.54,27.09,27.17,60175657,MSFT
2006-02-07,26.95,27.15,26.81,26.94,72188789,MSFT
2006-02-08,27.01,27.08,26.71,26.91,51796468,MSFT
2006-02-09,26.96,27.03,26.65,26.66,52861644,MSFT
2006-02-10,26.62,26.89,26.51,26.69,52127000,MSFT
2006-02-13,26.63,26.7,26.34,26.39,46710435,MSFT
2006-02-14,26.41,26.68,26.35,26.65,58434046,MSFT
2006-02-15,26.6,26.93,26.5,26.88,62811407,MSFT
2006-02-16,26.85,26.9,26.57,26.81,49509025,MSFT
2006-02-17,26.67,26.81,26.56,26.7,41513193,MSFT
2006-02-21,26.72,26.72,26.34,26.54,50216190,MSFT
2006-02-22,26.53,26.86,26.47,26.72,43045961,MSFT
2006-02-23,26.73,26.89,26.54,26.66,48162886,MSFT
2006-02-24,26.59,26.74,26.52,26.63,44755831,MSFT
2006-02-27,26.75,27.26,26.67,27.05,51459788,MSFT
2006-02-28,26.95,27.3,26.87,26.87,65037794,MSFT
2006-03-01,26.98,27.2,26.95,27.14,53070445,MSFT
2006-03-02,27.02,27.1,26.9,26.97,41856388,MSFT
2006-03-03,26.81,27.16,26.74,26.93,45234151,MSFT
2006-03-06,26.92,27.15,26.83,26.91,53074268,MSFT
2006-03-07,26.9,27.1,26.81,27.06,51632001,MSFT
2006-03-08,26.99,27.5,26.97,27.25,57554578,MSFT
2006-03-09,27.27,27.42,27.0,27.0,45384011,MSFT
2006-03-10,27.06,27.22,26.88,27.17,41310878,MSFT
2006-03-13,27.18,27.29,26.94,27.11,40342996,MSFT
2006-03-14,27.04,27.38,26.99,27.23,39998399,MSFT
2006-03-15,27.2,27.45,27.01,27.36,57159425,MSFT
2006-03-16,27.34,27.48,27.22,27.27,73798629,MSFT
2006-03-17,27.35,27.66,27.27,27.5,120617680,MSFT
2006-03-20,27.7,27.99,27.67,27.89,67095079,MSFT
2006-03-21,27.96,28.22,27.68,27.74,73199528,MSFT
2006-03-22,27.08,27.5,26.8,27.15,146028255,MSFT
2006-03-23,27.08,27.1,26.66,26.85,73794286,MSFT
2006-03-24,26.71,27.21,26.62,27.01,69163099,MSFT
2006-03-27,27.01,27.3,27.0,27.01,59910619,MSFT
2006-03-28,27.01,27.21,26.81,26.9,58520542,MSFT
2006-03-29,26.95,27.2,26.92,27.02,53732283,MSFT
2006-03-30,27.03,27.39,27.0,27.23,54612426,MSFT
2006-03-31,27.3,27.54,27.21,27.21,62127618,MSFT
2006-04-03,27.67,27.73,27.44,27.56,57609983,MSFT
2006-04-04,27.6,27.8,27.47,27.64,45473353,MSFT
2006-04-05,27.88,27.94,27.64,27.74,41554663,MSFT
2006-04-06,27.66,27.72,27.37,27.56,51885792,MSFT
2006-04-07,27.61,27.72,27.23,27.25,47256778,MSFT
2006-04-10,27.23,27.44,27.2,27.29,39464171,MSFT
2006-04-11,27.29,27.32,27.0,27.13,42953483,MSFT
2006-04-12,27.1,27.2,26.97,27.2,32183970,MSFT
2006-04-13,27.08,27.2,27.0,27.07,28170249,MSFT
2006-04-17,27.03,27.05,26.73,26.84,35796327,MSFT
2006-04-18,26.94,27.5,26.82,27.22,56276047,MSFT
2006-04-19,27.11,27.19,26.96,27.03,45111328,MSFT
2006-04-20,27.05,27.19,26.7,27.03,46044666,MSFT
2006-04-21,27.05,27.39,27.0,27.15,58528503,MSFT
2006-04-24,27.07,27.25,26.98,27.11,42319297,MSFT
2006-04-25,27.09,27.21,27.02,27.11,49222438,MSFT
2006-04-26,27.08,27.23,27.0,27.1,39194018,MSFT
2006-04-27,26.97,27.63,26.94,27.25,100327309,MSFT
2006-04-28,24.23,24.5,24.0,24.15,591078581,MSFT
2006-05-01,24.32,25.0,24.09,24.29,175012523,MSFT
2006-05-02,24.49,25.0,23.9,24.01,190561170,MSFT
2006-05-03,23.99,24.02,23.15,23.17,211567582,MSFT
2006-05-04,23.35,23.67,23.14,23.44,171268148,MSFT
2006-05-05,23.66,23.95,23.52,23.8,131607958,MSFT
2006-05-08,23.85,25.0,23.51,23.73,80697460,MSFT
2006-05-09,23.75,24.0,23.49,23.62,75996747,MSFT
2006-05-10,23.67,23.79,23.59,23.77,77650902,MSFT
2006-05-11,23.71,23.79,23.15,23.22,92925377,MSFT
2006-05-12,23.14,23.37,23.05,23.17,83136212,MSFT
2006-05-15,23.1,23.23,23.03,23.15,70107733,MSFT
2006-05-16,23.16,24.0,22.91,23.01,81868733,MSFT
2006-05-17,22.89,23.08,22.73,22.73,98603006,MSFT
2006-05-18,22.84,23.14,22.76,22.83,95477212,MSFT
2006-05-19,22.79,22.9,22.52,22.56,100074121,MSFT
2006-05-22,22.48,23.02,22.45,22.88,88387280,MSFT
2006-05-23,23.1,23.38,22.77,22.79,80003157,MSFT
2006-05-24,22.99,23.54,22.98,23.5,107375496,MSFT
2006-05-25,23.57,23.92,23.54,23.74,83054373,MSFT
2006-05-26,23.77,23.88,23.56,23.72,46867137,MSFT
2006-05-30,23.55,23.76,23.14,23.15,52505325,MSFT
2006-05-31,23.26,23.35,22.65,22.65,120468133,MSFT
2006-06-01,22.74,22.84,22.62,22.82,80240005,MSFT
2006-06-02,22.85,22.99,22.67,22.76,73937588,MSFT
2006-06-05,22.72,22.73,22.49,22.5,63933933,MSFT
2006-06-06,22.55,22.56,21.98,22.13,126603948,MSFT
2006-06-07,22.15,22.39,22.01,22.04,73830583,MSFT
2006-06-08,22.03,22.21,21.97,22.11,104127499,MSFT
2006-06-09,22.15,22.19,21.89,21.92,52575760,MSFT
2006-06-12,21.96,22.1,21.7,21.71,74338804,MSFT
2006-06-13,21.73,22.03,21.46,21.51,113179765,MSFT
2006-06-14,21.59,21.94,21.55,21.88,86087011,MSFT
2006-06-15,22.01,22.13,21.8,22.07,121654179,MSFT
2006-06-16,21.97,22.28,21.79,22.1,147520585,MSFT
2006-06-19,22.14,22.6,22.12,22.55,129644418,MSFT
2006-06-20,22.54,22.76,22.5,22.56,90604571,MSFT
2006-06-21,22.61,23.15,22.53,23.08,94407586,MSFT
2006-06-22,23.06,23.17,22.78,22.88,81055222,MSFT
2006-06-23,22.85,22.87,22.5,22.5,60532568,MSFT
2006-06-26,22.65,22.89,22.63,22.82,53644094,MSFT
2006-06-27,22.89,23.16,22.84,22.86,84959066,MSFT
2006-06-28,22.96,23.25,22.91,23.16,71925899,MSFT
2006-06-29,23.32,23.63,23.22,23.47,121405820,MSFT
2006-06-30,23.54,23.65,23.3,23.3,73135430,MSFT
2006-07-03,23.53,23.72,23.45,23.7,25711432,MSFT
2006-07-05,23.48,23.52,23.3,23.35,53118381,MSFT
2006-07-06,23.45,23.61,23.42,23.48,44775875,MSFT
2006-07-07,23.39,23.55,23.3,23.3,63169825,MSFT
2006-07-10,23.43,23.66,23.38,23.5,50566038,MSFT
2006-07-11,23.37,23.37,22.74,23.1,88690405,MSFT
2006-07-12,22.79,22.88,22.62,22.64,77379268,MSFT
2006-07-13,22.37,22.61,22.25,22.26,73099480,MSFT
2006-07-14,22.28,22.55,22.23,22.29,67499367,MSFT
2006-07-17,22.29,22.61,22.26,22.48,37053691,MSFT
2006-07-18,22.59,22.76,22.48,22.74,65095034,MSFT
2006-07-19,22.82,23.46,22.72,23.4,82199947,MSFT
2006-07-20,23.44,23.45,22.78,22.85,76854396,MSFT
2006-07-21,24.08,24.15,23.0,23.87,175491371,MSFT
2006-07-24,24.01,24.11,23.79,24.0,59586879,MSFT
2006-07-25,24.0,24.29,23.9,24.22,60075762,MSFT
2006-07-26,24.12,24.53,24.1,24.37,55621972,MSFT
2006-07-27,24.58,24.6,23.77,23.87,85389256,MSFT
2006-07-28,24.08,24.28,24.06,24.25,51706046,MSFT
2006-07-31,24.07,24.42,24.01,24.06,40321957,MSFT
2006-08-01,24.02,24.2,23.85,23.99,49223513,MSFT
2006-08-02,24.12,24.4,24.03,24.3,46462111,MSFT
2006-08-03,24.18,24.48,24.15,24.21,43164646,MSFT
2006-08-04,24.4,24.49,24.15,24.29,45695011,MSFT
2006-08-07,24.28,24.48,24.19,24.22,36882940,MSFT
2006-08-08,24.39,24.52,24.2,24.34,58171540,MSFT
2006-08-09,24.49,24.64,24.34,24.44,44407466,MSFT
2006-08-10,24.37,24.6,24.34,24.46,31768850,MSFT
2006-08-11,24.43,24.45,24.2,24.43,30255521,MSFT
2006-08-14,24.52,24.6,24.35,24.53,47831979,MSFT
2006-08-15,24.55,24.65,24.44,24.62,48996195,MSFT
2006-08-16,24.61,24.73,24.47,24.7,52375619,MSFT
2006-08-17,24.7,24.75,24.61,24.7,45674944,MSFT
2006-08-18,25.05,25.8,24.98,25.79,128427551,MSFT
2006-08-21,25.66,26.13,25.56,26.12,88398944,MSFT
2006-08-22,26.01,26.25,25.62,25.62,89329989,MSFT
2006-08-23,25.64,25.95,25.52,25.67,44664979,MSFT
2006-08-24,25.82,25.86,25.5,25.74,35933322,MSFT
2006-08-25,25.71,26.0,25.69,25.85,33117122,MSFT
2006-08-28,25.84,26.0,25.69,25.95,34192049,MSFT
2006-08-29,25.92,25.98,25.63,25.84,42721167,MSFT
2006-08-30,25.85,25.89,25.64,25.8,30258744,MSFT
2006-08-31,25.87,25.98,25.68,25.7,26421263,MSFT
2006-09-01,25.89,25.97,25.64,25.84,31595597,MSFT
2006-09-05,25.69,25.96,25.56,25.61,44227536,MSFT
2006-09-06,25.51,25.72,25.51,25.61,50161662,MSFT
2006-09-07,25.48,25.7,25.39,25.43,51267410,MSFT
2006-09-08,25.53,25.79,25.46,25.6,36866905,MSFT
2006-09-11,25.43,25.95,25.42,25.91,55608252,MSFT
2006-09-12,25.9,25.98,25.72,25.93,52279694,MSFT
2006-09-13,25.82,26.1,25.49,25.98,37946523,MSFT
2006-09-14,25.99,26.5,25.98,26.33,74325865,MSFT
2006-09-15,26.58,26.94,26.49,26.85,126129908,MSFT
2006-09-18,26.74,27.04,26.67,26.79,49135045,MSFT
2006-09-19,26.74,26.94,26.72,26.86,43056333,MSFT
2006-09-20,27.01,27.23,26.99,27.18,71677658,MSFT
2006-09-21,27.24,27.25,26.85,26.9,58496064,MSFT
2006-09-22,26.83,26.85,26.48,26.66,47745189,MSFT
2006-09-25,26.81,27.19,26.79,26.95,68029179,MSFT
2006-09-26,26.91,27.32,26.88,27.2,55381375,MSFT
2006-09-27,27.18,27.47,27.12,27.44,66400255,MSFT
2006-09-28,27.47,27.52,27.26,27.4,45038408,MSFT
2006-09-29,27.35,27.42,27.21,27.35,34293234,MSFT
2006-10-02,27.32,27.49,27.15,27.36,52928741,MSFT
2006-10-03,27.37,27.48,27.21,27.37,39386668,MSFT
2006-10-04,27.39,27.96,27.37,27.94,82204455,MSFT
2006-10-05,27.92,28.11,27.78,27.92,81979115,MSFT
2006-10-06,27.76,28.0,27.65,27.87,36457042,MSFT
2006-10-09,27.8,27.93,27.62,27.72,33371747,MSFT
2006-10-10,27.69,27.75,27.44,27.69,34599739,MSFT
2006-10-11,27.46,27.67,27.42,27.54,37224378,MSFT
2006-10-12,27.58,28.29,27.54,28.22,120195958,MSFT
2006-10-13,28.34,28.69,28.31,28.37,129753977,MSFT
2006-10-16,28.48,28.6,28.33,28.45,49745011,MSFT
2006-10-17,28.24,28.51,28.17,28.44,40127096,MSFT
2006-10-18,28.5,28.7,28.26,28.52,40665423,MSFT
2006-10-19,28.35,28.45,28.12,28.29,44762131,MSFT
2006-10-20,28.48,28.49,28.17,28.43,48906684,MSFT
2006-10-23,28.3,28.69,28.18,28.45,48650435,MSFT
2006-10-24,28.43,28.43,28.13,28.28,61427896,MSFT
2006-10-25,28.28,28.46,28.14,28.31,40722916,MSFT
2006-10-26,28.33,28.41,28.04,28.35,70157492,MSFT
2006-10-27,28.49,28.79,28.25,28.34,89060092,MSFT
2006-10-30,28.35,28.84,28.32,28.53,47302082,MSFT
2006-10-31,28.66,28.85,28.56,28.71,61952245,MSFT
2006-11-01,28.78,28.99,28.7,28.81,75955283,MSFT
2006-11-02,28.71,28.86,28.58,28.77,58674657,MSFT
2006-11-03,28.85,28.93,28.61,28.73,41127749,MSFT
2006-11-06,28.77,29.05,28.76,28.84,60454875,MSFT
2006-11-07,28.86,29.07,28.8,28.95,56516255,MSFT
2006-11-08,28.78,29.23,28.66,28.98,79153250,MSFT
2006-11-09,29.11,29.4,29.0,29.26,89414069,MSFT
2006-11-10,29.17,29.29,29.15,29.24,37856497,MSFT
2006-11-13,29.19,29.46,29.16,29.35,47278555,MSFT
2006-11-14,29.28,29.42,29.07,29.23,63016445,MSFT
2006-11-15,29.12,29.36,29.11,29.12,63990358,MSFT
2006-11-16,29.14,29.64,29.13,29.47,64331011,MSFT
2006-11-17,29.31,29.54,29.28,29.4,49359181,MSFT
2006-11-20,29.52,30.0,29.5,29.89,85734231,MSFT
2006-11-21,29.91,30.0,29.79,29.92,66467768,MSFT
2006-11-22,29.97,30.0,29.82,29.92,44137403,MSFT
2006-11-24,29.66,29.84,29.64,29.76,20470194,MSFT
2006-11-27,29.69,29.74,29.33,29.48,72724547,MSFT
2006-11-28,29.34,29.42,29.13,29.39,52796358,MSFT
2006-11-29,29.44,29.78,29.43,29.57,58777844,MSFT
2006-11-30,29.42,29.57,29.33,29.36,53362546,MSFT
2006-12-01,29.23,29.3,28.9,29.12,72261272,MSFT
2006-12-04,29.23,29.52,29.17,29.33,56459265,MSFT
2006-12-05,29.36,29.4,29.03,29.13,45614195,MSFT
2006-12-06,29.1,29.13,28.87,28.99,48588523,MSFT
2006-12-07,28.96,29.07,28.81,28.85,46832386,MSFT
2006-12-08,28.82,29.4,28.8,29.4,108868018,MSFT
2006-12-11,29.19,29.75,29.11,29.54,107728225,MSFT
2006-12-12,29.56,29.63,29.22,29.43,68871157,MSFT
2006-12-13,29.6,29.6,29.32,29.55,46016108,MSFT
2006-12-14,29.54,30.08,29.52,30.07,85875982,MSFT
2006-12-15,30.14,30.23,30.03,30.19,103648476,MSFT
2006-12-18,30.19,30.26,29.78,29.89,56990325,MSFT
2006-12-19,29.71,30.17,29.53,29.99,53831148,MSFT
2006-12-20,29.99,30.24,29.97,30.09,31811547,MSFT
2006-12-21,30.13,30.14,29.89,29.98,32272086,MSFT
2006-12-22,29.82,29.86,29.62,29.64,37972457,MSFT
2006-12-26,29.53,30.0,29.4,29.99,37102644,MSFT
2006-12-27,29.99,30.13,29.91,30.02,31250490,MSFT
2006-12-28,29.86,30.03,29.81,29.98,27572772,MSFT
2006-12-29,29.86,30.15,29.83,29.86,41754362,MSFT
2007-01-03,29.91,30.25,29.4,29.86,77574283,MSFT
2007-01-04,29.7,29.97,29.44,29.81,46120855,MSFT
