Date,Open,High,Low,Close,Volume,Name
2006-01-03,10.85,10.92,10.67,10.74,18468800,NKE
2006-01-04,10.71,10.8,10.67,10.69,15832000,NKE
2006-01-05,10.69,10.83,10.69,10.76,9256000,NKE
2006-01-06,10.79,10.83,10.71,10.72,7573600,NKE
2006-01-09,10.72,10.98,10.72,10.88,10441600,NKE
2006-01-10,10.81,10.98,10.8,10.9,11837600,NKE
2006-01-11,10.91,11.01,10.88,10.91,10372800,NKE
2006-01-12,11.02,11.02,10.75,10.79,11159200,NKE
2006-01-13,10.84,10.89,10.68,10.78,9612000,NKE
2006-01-17,10.8,10.8,10.6,10.6,11075200,NKE
2006-01-18,10.63,10.68,10.54,10.66,9202400,NKE
2006-01-19,10.53,10.62,10.5,10.59,8888800,NKE
2006-01-20,10.64,10.7,10.48,10.52,16132000,NKE
2006-01-23,10.45,10.5,10.18,10.43,38273600,NKE
2006-01-24,10.54,10.56,10.39,10.5,16800000,NKE
2006-01-25,10.51,10.57,10.49,10.53,10268800,NKE
2006-01-26,10.64,10.64,10.47,10.5,15965600,NKE
2006-01-27,10.53,10.58,10.38,10.39,17025600,NKE
2006-01-30,10.33,10.35,10.08,10.22,78979200,NKE
2006-01-31,10.22,10.26,10.11,10.12,20348000,NKE
2006-02-01,10.16,10.52,10.15,10.39,35525600,NKE
2006-02-02,10.4,10.49,10.38,10.42,20464800,NKE
2006-02-03,10.36,10.48,10.34,10.46,15826400,NKE
2006-02-06,10.68,10.72,10.5,10.52,19246400,NKE
2006-02-07,10.54,10.59,10.4,10.43,10368800,NKE
2006-02-08,10.46,10.62,10.44,10.55,18636800,NKE
2006-02-09,10.48,10.56,10.45,10.49,9232800,NKE
2006-02-10,10.59,10.59,10.38,10.56,10339200,NKE
2006-02-13,10.52,10.54,10.4,10.54,9512800,NKE
2006-02-14,10.54,10.58,10.45,10.5,11758400,NKE
2006-02-15,10.53,10.62,10.47,10.53,9453600,NKE
2006-02-16,10.62,10.64,10.54,10.6,6254400,NKE
2006-02-17,10.53,10.65,10.51,10.61,8001600,NKE
2006-02-21,10.6,10.66,10.56,10.64,8744000,NKE
2006-02-22,10.66,10.87,10.64,10.74,12035200,NKE
2006-02-23,10.74,10.93,10.72,10.82,10108000,NKE
2006-02-24,10.82,10.94,10.8,10.9,11014400,NKE
2006-02-27,10.9,10.96,10.83,10.91,7179200,NKE
