Date,Open,High,Low,Close,Volume,Name
2006-01-03,23.65,23.92,23.6,23.78,38052400,PFE
2006-01-04,23.97,24.57,23.95,24.55,43972000,PFE
2006-01-05,24.55,24.75,24.44,24.58,42601900,PFE
2006-01-06,24.7,24.95,24.63,24.85,28523900,PFE
2006-01-09,24.98,24.99,24.52,24.85,28080300,PFE
2006-01-10,24.73,24.74,24.32,24.44,28630300,PFE
2006-01-11,24.6,24.83,24.55,24.75,28433800,PFE
2006-01-12,24.77,24.85,24.47,24.58,27020300,PFE
2006-01-13,24.69,24.79,24.44,24.67,20972000,PFE
2006-01-17,24.51,24.53,24.07,24.28,32153700,PFE
2006-01-18,24.19,24.23,23.85,24.09,33545600,PFE
2006-01-19,24.91,25.12,24.63,24.97,57615600,PFE
2006-01-20,24.97,25.07,24.62,24.71,51669200,PFE
2006-01-23,24.8,24.99,24.75,24.89,28819100,PFE
2006-01-24,25.0,25.03,24.5,24.59,29394200,PFE
2006-01-25,24.72,24.87,24.29,24.83,26369500,PFE
2006-01-26,24.95,25.34,24.79,25.05,41260900,PFE
2006-01-27,25.45,26.08,25.35,25.99,61031700,PFE
2006-01-30,26.15,26.34,25.76,25.94,32832700,PFE
2006-01-31,26.02,26.07,25.51,25.68,31365100,PFE
2006-02-01,25.75,26.12,25.68,26.05,28377800,PFE
2006-02-02,26.1,26.13,25.55,25.78,24681700,PFE
2006-02-03,25.78,25.78,25.27,25.28,27503200,PFE
2006-02-06,25.21,25.32,24.95,25.09,21774400,PFE
2006-02-07,25.05,25.7,25.04,25.18,28753100,PFE
2006-02-08,25.65,26.4,25.6,26.37,62030800,PFE
2006-02-09,26.37,26.84,26.24,26.34,46327300,PFE
2006-02-10,26.0,26.08,25.35,25.68,57863000,PFE
2006-02-13,25.4,25.66,25.19,25.58,24917300,PFE
2006-02-14,25.53,25.64,25.44,25.5,31597500,PFE
2006-02-15,25.47,25.65,25.22,25.61,28022900,PFE
2006-02-16,25.6,25.86,25.37,25.81,22623100,PFE
2006-02-17,25.8,25.82,25.45,25.82,25053000,PFE
2006-02-21,25.7,25.88,25.59,25.64,20905400,PFE
2006-02-22,25.69,26.26,25.68,26.19,29163200,PFE
2006-02-23,26.22,26.35,26.04,26.14,21884700,PFE
2006-02-24,26.1,26.48,26.08,26.37,19253200,PFE
2006-02-27,26.4,26.75,26.36,26.6,31139600,PFE
2006-02-28,26.6,26.6,26.14,26.19,29642600,PFE
2006-03-01,26.1,26.3,25.82,26.26,26933400,PFE
2006-03-02,26.0,26.27,25.9,26.06,19967000,PFE
2006-03-03,25.88,26.45,25.88,26.34,29213500,PFE
2006-03-06,26.16,26.4,25.94,25.98,21045700,PFE
2006-03-07,26.04,26.27,25.82,26.19,22852100,PFE
2006-03-08,26.1,26.24,25.99,26.17,25785300,PFE
2006-03-09,26.25,26.4,26.13,26.19,18755500,PFE
2006-03-10,26.34,26.38,25.91,26.08,22755900,PFE
2006-03-13,26.0,26.04,25.87,25.97,25587400,PFE
2006-03-14,25.9,26.0,25.77,25.97,23505400,PFE
2006-03-15,25.99,26.04,25.85,25.95,18394500,PFE
2006-03-16,25.93,26.15,25.87,26.05,22809600,PFE
2006-03-17,26.2,26.48,26.09,26.39,32125100,PFE
2006-03-20,26.39,26.6,26.3,26.47,18234100,PFE
2006-03-21,26.5,26.53,26.14,26.31,25516700,PFE
2006-03-22,26.35,26.52,26.24,26.4,22609900,PFE
2006-03-23,26.4,26.47,25.96,26.16,18097800,PFE
