Date,Open,High,Low,Close,Volume,Name
2006-01-03,58.3,58.86,57.69,58.78,9741600,PG
2006-01-04,58.8,59.12,58.56,58.89,6746400,PG
2006-01-05,58.7,59.07,58.61,58.7,8936100,PG
2006-01-06,58.74,58.8,58.48,58.64,8826300,PG
2006-01-09,58.45,59.09,58.45,59.08,7715700,PG
2006-01-10,58.89,58.9,58.57,58.85,8553600,PG
2006-01-11,58.94,59.07,58.6,59.06,8791800,PG
2006-01-12,58.98,59.0,58.4,58.41,6612800,PG
2006-01-13,58.41,58.92,58.39,58.9,7146800,PG
2006-01-17,58.45,58.86,58.42,58.65,5299200,PG
2006-01-18,58.5,58.75,58.37,58.55,6699600,PG
2006-01-19,58.0,58.88,58.0,58.51,8067300,PG
2006-01-20,58.51,58.56,57.79,57.84,10493200,PG
2006-01-23,57.84,58.26,57.64,57.64,9437800,PG
2006-01-24,58.0,58.16,57.29,57.87,8163500,PG
2006-01-25,58.1,58.47,57.83,58.47,8932300,PG
2006-01-26,58.75,59.0,58.59,58.82,7007000,PG
2006-01-27,59.4,59.8,59.05,59.74,11747900,PG
2006-01-30,59.13,59.7,58.95,59.14,7909700,PG
2006-01-31,58.95,59.35,58.89,59.23,10347600,PG
2006-02-01,59.1,60.02,59.06,59.82,10829900,PG
2006-02-02,59.74,60.15,59.64,59.65,9759100,PG
2006-02-03,59.39,60.05,59.32,59.68,7816700,PG
2006-02-06,59.58,59.9,59.1,59.79,4998800,PG
2006-02-07,59.47,59.81,59.11,59.32,6405700,PG
2006-02-08,59.4,59.8,59.23,59.47,7338000,PG
2006-02-09,59.46,59.85,59.32,59.62,6242200,PG
2006-02-10,59.63,59.79,59.46,59.7,5804900,PG
2006-02-13,59.58,59.67,59.27,59.44,5198600,PG
2006-02-14,59.55,60.0,59.48,59.84,7923000,PG
2006-02-15,59.75,60.25,59.71,60.11,8575200,PG
2006-02-16,60.02,60.83,60.01,60.73,6998200,PG
2006-02-17,60.59,61.03,60.42,61.0,9137500,PG
2006-02-21,60.88,61.0,60.69,60.88,6770600,PG
2006-02-22,61.0,62.0,60.98,61.94,9974000,PG
2006-02-23,61.85,62.09,61.39,61.48,7110800,PG
2006-02-24,61.32,61.73,61.06,61.5,5610800,PG
2006-02-27,61.68,61.89,61.35,61.35,6723400,PG
2006-02-28,61.0,61.21,59.85,59.93,14467400,PG
2006-03-01,60.11,60.46,60.02,60.11,9218800,PG
2006-03-02,59.99,60.02,59.36,59.55,10876800,PG
2006-03-03,59.3,60.16,59.3,59.67,7800900,PG
2006-03-06,59.55,59.96,59.5,59.67,4631300,PG
2006-03-07,59.56,60.56,59.42,60.3,7366400,PG
2006-03-08,60.25,61.33,60.23,61.07,8680200,PG
2006-03-09,61.5,62.0,61.1,61.4,7114000,PG
2006-03-10,61.45,62.44,61.45,62.25,8507000,PG
2006-03-13,62.11,62.5,61.8,61.98,5956200,PG
2006-03-14,60.09,60.68,59.6,60.01,18306900,PG
2006-03-15,60.51,60.51,59.77,59.9,9813700,PG
2006-03-16,59.8,59.86,59.0,59.39,12489800,PG
2006-03-17,59.39,59.4,58.85,59.1,17418400,PG
2006-03-20,59.38,59.38,58.71,59.18,7027800,PG
2006-03-21,59.21,59.72,58.94,59.03,6909400,PG
2006-03-22,58.7,59.6,58.7,59.49,5850200,PG
2006-03-23,59.26,59.4,58.44,58.65,9166600,PG
2006-03-24,58.56,58.95,57.98,58.74,8883300,PG
2006-03-27,58.38,58.62,58.26,58.29,8041500,PG
2006-03-28,58.0,58.28,57.5,57.53,14113000,PG
2006-03-29,57.44,57.98,57.0,57.74,12430800,PG
2006-03-30,57.53,58.1,57.4,57.63,8419500,PG
2006-03-31,57.63,58.3,57.58,57.63,11176100,PG
2006-04-03,57.69,58.36,57.69,57.88,8113400,PG
2006-04-04,57.83,58.48,57.77,58.0,8874300,PG
2006-04-05,57.95,58.1,57.54,57.62,8933900,PG
2006-04-06,57.57,57.92,57.24,57.5,6607300,PG
2006-04-07,57.5,57.94,57.26,57.28,7395500,PG
2006-04-10,57.3,57.4,56.95,57.15,7153800,PG
2006-04-11,57.27,57.3,56.09,56.49,13443800,PG
2006-04-12,56.3,56.5,56.28,56.42,8850500,PG
2006-04-13,56.4,56.67,56.35,56.6,6852400,PG
2006-04-17,56.2,56.47,55.75,56.03,13180500,PG
2006-04-18,55.94,56.37,55.84,56.16,11187100,PG
2006-04-19,55.68,56.08,55.07,56.07,12878200,PG
2006-04-20,56.16,56.8,55.77,56.26,15583700,PG
2006-04-21,56.1,56.76,55.99,56.34,12077500,PG
2006-04-24,56.15,57.0,56.15,56.6,9313700,PG
2006-04-25,56.9,57.52,56.63,57.27,22369800,PG
2006-04-26,57.56,58.06,57.48,58.01,15869100,PG
2006-04-27,57.8,58.73,57.76,58.38,8826800,PG
2006-04-28,58.3,58.47,58.0,58.21,8917700,PG
2006-05-01,58.43,58.67,57.76,57.88,7304800,PG
2006-05-02,57.66,58.34,57.43,58.11,8489400,PG
2006-05-03,56.25,56.49,55.18,56.22,28760000,PG
2006-05-04,56.23,56.69,55.6,55.86,15422700,PG
2006-05-05,56.24,56.24,55.65,55.73,13408200,PG
2006-05-08,56.01,56.6,55.42,56.34,14654500,PG
2006-05-09,56.36,56.67,56.17,56.5,11459900,PG
2006-05-10,56.69,56.74,56.25,56.34,9617500,PG
2006-05-11,56.65,56.65,55.51,55.65,12379000,PG
2006-05-12,55.8,55.83,55.01,55.01,13890600,PG
2006-05-15,54.69,55.7,54.05,55.57,11534800,PG
2006-05-16,55.6,56.26,55.52,56.04,11488100,PG
2006-05-17,55.56,55.92,55.25,55.33,10081600,PG
2006-05-18,55.2,55.53,54.88,54.89,8131000,PG
2006-05-19,54.99,55.0,53.75,54.15,16266900,PG
2006-05-22,53.96,54.49,53.95,54.28,9208400,PG
2006-05-23,54.31,54.99,54.06,54.49,9513200,PG
2006-05-24,54.56,55.14,54.19,54.82,10032200,PG
2006-05-25,55.13,55.28,54.86,55.26,8082700,PG
2006-05-26,55.2,55.3,54.71,55.13,6442600,PG
2006-05-30,54.78,55.02,54.33,54.38,6972000,PG
2006-05-31,54.58,54.69,54.0,54.25,11624100,PG
2006-06-01,54.35,54.51,54.03,54.48,6941200,PG
2006-06-02,54.37,54.55,53.8,53.95,8578200,PG
2006-06-05,53.8,54.04,53.07,53.18,8025800,PG
2006-06-06,53.11,53.5,52.75,53.37,9189300,PG
2006-06-07,53.6,54.13,53.16,53.24,8439600,PG
2006-06-08,53.5,55.1,53.3,54.74,15081400,PG
2006-06-09,54.52,55.0,54.11,54.45,7723700,PG
2006-06-12,54.57,54.92,54.16,54.31,5924200,PG
2006-06-13,54.32,55.25,54.1,54.13,10432400,PG
2006-06-14,54.0,54.93,53.79,54.83,8757400,PG
2006-06-15,54.97,55.09,53.97,54.88,8548000,PG
2006-06-16,54.89,55.2,54.83,55.02,10805400,PG
2006-06-19,55.98,56.0,54.7,54.87,11239200,PG
2006-06-20,55.23,55.84,54.86,55.58,11378600,PG
2006-06-21,55.52,56.19,55.46,55.82,8701300,PG
2006-06-22,55.63,55.92,55.52,55.85,6128000,PG
2006-06-23,55.56,56.16,55.5,55.73,6917400,PG
2006-06-26,55.74,56.0,55.26,55.99,5617900,PG
2006-06-27,55.25,56.0,55.2,55.75,7336400,PG
2006-06-28,55.75,56.02,55.5,55.77,6488200,PG
2006-06-29,56.24,57.0,55.82,56.99,10319200,PG
2006-06-30,57.0,57.19,55.6,55.6,21161600,PG
2006-07-03,56.02,56.41,56.02,56.3,4592900,PG
2006-07-05,55.7,56.14,55.65,55.93,9147000,PG
2006-07-06,55.97,56.75,55.94,56.45,7215500,PG
2006-07-07,56.45,56.75,56.25,56.5,6834700,PG
2006-07-10,56.43,57.13,56.43,56.98,6776600,PG
2006-07-11,56.78,57.34,56.78,57.25,6104100,PG
2006-07-12,57.25,57.33,56.51,56.61,7060100,PG
2006-07-13,56.61,56.79,56.4,56.54,9209500,PG
2006-07-14,56.29,56.36,55.25,55.66,8959200,PG
2006-07-17,55.63,56.17,55.55,55.82,6167300,PG
2006-07-18,55.65,55.92,55.3,55.81,7123000,PG
2006-07-19,55.8,56.85,55.5,56.64,7938600,PG
2006-07-20,56.41,56.99,56.18,56.61,5751700,PG
2006-07-21,56.85,56.98,55.92,56.07,8014400,PG
2006-07-24,56.35,56.99,56.15,56.9,4482400,PG
2006-07-25,56.6,57.25,56.22,56.88,6701600,PG
2006-07-26,56.65,56.77,56.31,56.67,7223500,PG
2006-07-27,56.85,56.99,56.4,56.44,5575300,PG
2006-07-28,56.87,57.23,56.66,56.81,5886700,PG
2006-07-31,56.41,56.66,56.07,56.2,7592900,PG
2006-08-01,56.0,56.07,55.7,55.93,5851700,PG
2006-08-02,57.98,58.9,57.47,58.29,17708100,PG
2006-08-03,58.46,59.69,58.13,59.45,12370500,PG
2006-08-04,59.59,59.76,59.09,59.45,7888800,PG
2006-08-07,59.14,59.47,58.84,59.4,6377400,PG
2006-08-08,59.75,60.0,59.28,59.72,9319300,PG
2006-08-09,59.8,59.98,59.4,59.54,5617000,PG
2006-08-10,59.6,60.29,59.58,60.26,8648900,PG
2006-08-11,59.99,60.45,59.79,60.26,8092600,PG
2006-08-14,60.27,60.75,59.64,59.76,8069500,PG
2006-08-15,60.25,60.62,60.1,60.44,6944800,PG
2006-08-16,60.38,60.56,60.23,60.42,6605100,PG
2006-08-17,60.14,60.64,60.14,60.34,6589200,PG
2006-08-18,60.35,60.42,59.78,60.39,6865300,PG
2006-08-21,60.3,60.93,60.28,60.78,5296600,PG
2006-08-22,60.72,61.18,60.71,61.05,6521600,PG
2006-08-23,60.9,61.45,60.73,60.92,4850200,PG
2006-08-24,60.88,61.38,60.82,61.05,5346300,PG
2006-08-25,60.83,61.17,60.82,60.87,4492800,PG
2006-08-28,60.42,61.22,60.22,60.98,6248600,PG
2006-08-29,61.0,61.39,60.76,61.2,4940800,PG
2006-08-30,61.45,62.03,61.4,61.75,8797700,PG
2006-08-31,61.57,62.03,61.55,61.9,6514600,PG
2006-09-01,61.99,62.09,61.75,61.91,4132300,PG
