Date,Open,High,Low,Close,Volume,Name
2006-01-03,44.85,46.0,44.52,45.99,3843800,TRV
2006-01-04,45.99,46.61,45.85,46.5,2285900,TRV
2006-01-05,46.79,46.98,46.58,46.95,3069300,TRV
2006-01-06,47.0,47.63,46.99,47.21,2641500,TRV
2006-01-09,46.71,47.35,46.65,47.23,2201500,TRV
2006-01-10,47.05,47.19,46.59,46.89,1739000,TRV
2006-01-11,47.18,47.68,47.04,47.65,2425500,TRV
2006-01-12,47.68,47.89,47.28,47.37,2501900,TRV
2006-01-13,47.38,47.45,47.05,47.25,1719600,TRV
2006-01-17,47.1,47.22,46.33,46.43,2130800,TRV
2006-01-18,46.44,46.9,46.06,46.53,1458600,TRV
2006-01-19,46.4,46.9,45.55,45.94,3854700,TRV
2006-01-20,46.0,46.11,44.88,45.01,5071600,TRV
2006-01-23,45.15,45.71,45.1,45.54,2488800,TRV
2006-01-24,44.73,45.9,44.73,45.32,2910100,TRV
2006-01-25,45.25,45.26,44.5,44.71,2876300,TRV
2006-01-26,45.45,46.59,45.43,46.2,4758200,TRV
2006-01-27,46.0,47.1,45.95,46.54,3494100,TRV
2006-01-30,46.89,46.89,46.16,46.25,2702700,TRV
2006-01-31,45.95,46.06,45.24,45.38,3383600,TRV
2006-02-01,45.36,46.08,45.3,45.61,3103300,TRV
2006-02-02,45.4,45.46,44.12,45.3,4602700,TRV
2006-02-03,44.9,45.5,44.74,44.79,2267200,TRV
2006-02-06,44.63,44.78,43.75,44.13,2959700,TRV
2006-02-07,43.93,44.34,43.76,43.77,2124700,TRV
2006-02-08,43.75,43.8,43.27,43.68,2293800,TRV
2006-02-09,43.59,44.08,43.15,43.46,2778200,TRV
2006-02-10,43.46,43.82,43.36,43.63,1437700,TRV
2006-02-13,43.53,43.83,43.15,43.28,2278600,TRV
2006-02-14,43.56,44.84,43.49,44.34,2682400,TRV
2006-02-15,44.24,44.35,43.87,43.91,2025400,TRV
2006-02-16,44.1,44.11,43.36,43.4,3310500,TRV
2006-02-17,43.4,43.45,42.89,43.03,3875400,TRV
2006-02-21,42.4,42.83,42.28,42.77,3970800,TRV
2006-02-22,43.0,43.12,42.8,43.05,4400700,TRV
2006-02-23,42.68,42.7,41.94,42.5,4674200,TRV
2006-02-24,42.24,42.8,42.18,42.55,1982100,TRV
2006-02-27,42.7,43.16,42.6,43.06,2037700,TRV
2006-02-28,42.8,43.2,42.55,42.98,3572800,TRV
2006-03-01,43.1,43.2,42.66,42.81,2510400,TRV
2006-03-02,42.62,42.76,42.35,42.59,3309500,TRV
2006-03-03,42.34,43.0,42.13,42.87,3007700,TRV
2006-03-06,42.74,42.9,42.28,42.46,2226600,TRV
2006-03-07,42.25,42.68,42.11,42.63,2048900,TRV
2006-03-08,42.41,42.69,42.24,42.54,3849800,TRV
2006-03-09,42.6,42.6,42.02,42.13,1897200,TRV
2006-03-10,42.23,42.53,42.03,42.32,1746000,TRV
2006-03-13,42.52,42.82,42.38,42.66,2161400,TRV
2006-03-14,42.69,43.0,42.46,42.8,2479300,TRV
2006-03-15,42.93,43.15,42.6,42.93,3977300,TRV
2006-03-16,43.04,43.23,42.85,42.96,3476400,TRV
2006-03-17,42.88,42.95,41.35,41.55,8474400,TRV
2006-03-20,42.11,42.3,41.81,41.9,5819900,TRV
2006-03-21,41.11,42.18,41.11,41.47,4201600,TRV
2006-03-22,41.67,41.86,41.36,41.58,3549500,TRV
2006-03-23,41.41,41.55,41.27,41.36,2980800,TRV
2006-03-24,41.34,41.58,40.95,41.46,3917700,TRV
2006-03-27,41.32,41.44,41.1,41.24,3301800,TRV
2006-03-28,41.15,41.22,40.65,40.75,3601200,TRV
2006-03-29,40.9,42.12,40.9,41.96,4016900,TRV
2006-03-30,41.96,42.35,41.92,42.18,2974300,TRV
2006-03-31,41.98,42.36,41.51,41.79,2454500,TRV
2006-04-03,42.04,42.47,41.71,42.13,2292300,TRV
2006-04-04,42.23,42.56,41.96,42.35,1885600,TRV
2006-04-05,42.5,42.62,42.1,42.26,1760400,TRV
2006-04-06,43.16,43.16,41.93,42.14,1889600,TRV
2006-04-07,42.15,42.31,41.16,41.29,1919300,TRV
2006-04-10,41.24,41.57,41.03,41.4,1927200,TRV
2006-04-11,42.11,42.11,40.99,41.1,1188400,TRV
2006-04-12,41.15,41.6,41.0,41.25,1535700,TRV
2006-04-13,41.15,41.41,40.83,41.02,1386300,TRV
2006-04-17,40.23,41.38,40.23,41.11,2255000,TRV
2006-04-18,41.0,41.93,41.0,41.8,2556600,TRV
2006-04-19,42.0,43.04,41.86,43.0,4425800,TRV
2006-04-20,43.05,43.46,42.75,43.27,2789600,TRV
2006-04-21,43.47,43.47,42.36,42.71,1839800,TRV
2006-04-24,42.72,43.07,42.45,42.95,2021100,TRV
2006-04-25,43.11,43.6,42.8,42.88,2201400,TRV
2006-04-26,43.15,43.81,43.15,43.78,1984300,TRV
2006-04-27,43.73,44.25,43.36,43.72,2123100,TRV
