Date,Open,High,Low,Close,Volume,Name
2006-01-03,62.6,62.6,60.6,61.73,8070600,UNH
2006-01-04,61.89,62.2,61.6,61.88,5587100,UNH
2006-01-05,62.23,62.88,61.49,61.69,5626000,UNH
2006-01-06,62.75,62.93,62.03,62.9,5577800,UNH
2006-01-09,62.9,62.9,61.26,61.4,8831000,UNH
2006-01-10,61.45,62.77,61.44,62.61,6238100,UNH
2006-01-11,62.6,62.7,61.62,61.85,5519600,UNH
2006-01-12,61.9,62.91,61.74,62.53,5374100,UNH
2006-01-13,61.34,61.34,59.71,60.94,11005800,UNH
2006-01-17,60.2,61.0,59.98,61.0,6333200,UNH
2006-01-18,61.0,61.76,60.58,61.22,7132400,UNH
2006-01-19,61.31,62.1,59.29,61.47,13390900,UNH
2006-01-20,61.4,61.4,59.39,59.48,10091900,UNH
2006-01-23,59.51,59.83,57.72,57.99,9611600,UNH
2006-01-24,58.05,58.7,58.05,58.31,8251000,UNH
2006-01-25,58.73,58.88,57.45,57.98,6530200,UNH
2006-01-26,57.99,58.52,57.12,57.89,9954400,UNH
2006-01-27,58.24,58.78,58.01,58.54,6419500,UNH
2006-01-30,58.4,58.7,57.65,57.77,6739700,UNH
2006-01-31,58.17,59.95,58.01,59.42,10655300,UNH
2006-02-01,59.3,59.75,59.05,59.5,7522900,UNH
2006-02-02,59.73,59.74,58.75,59.36,6235200,UNH
2006-02-03,59.36,59.89,59.09,59.62,5392600,UNH
2006-02-06,59.34,59.6,58.25,58.54,4891700,UNH
2006-02-07,58.5,59.08,57.7,57.73,5175800,UNH
2006-02-08,57.52,58.08,55.25,57.59,7320600,UNH
2006-02-09,58.5,59.19,58.04,58.08,5747900,UNH
2006-02-10,58.15,58.78,57.4,58.6,4224000,UNH
2006-02-13,58.5,58.78,58.17,58.59,3357500,UNH
2006-02-14,58.5,59.47,58.5,59.45,4771900,UNH
2006-02-15,59.4,59.75,58.72,59.0,4335400,UNH
2006-02-16,59.24,59.26,58.13,58.5,5087600,UNH
2006-02-17,58.25,58.4,57.83,58.0,7065300,UNH
2006-02-21,58.8,59.04,57.94,58.17,4689100,UNH
2006-02-22,58.34,59.8,58.34,59.54,5297100,UNH
2006-02-23,59.88,59.88,59.37,59.45,4772500,UNH
2006-02-24,59.1,59.46,58.51,58.89,5348000,UNH
2006-02-27,59.0,59.16,58.82,58.94,3247000,UNH
2006-02-28,58.93,59.02,57.87,58.23,5301200,UNH
2006-03-01,58.05,58.46,57.84,58.43,5303500,UNH
2006-03-02,58.0,58.22,57.22,57.58,5964400,UNH
2006-03-03,57.35,57.67,56.49,56.6,6531200,UNH
2006-03-06,56.3,56.78,56.24,56.7,5801500,UNH
2006-03-07,56.22,57.32,56.1,56.42,6308900,UNH
2006-03-08,56.43,57.35,56.32,57.2,6063300,UNH
2006-03-09,57.5,57.86,56.28,56.34,5283300,UNH
2006-03-10,56.39,56.79,56.15,56.17,6984200,UNH
2006-03-13,56.06,56.1,53.85,55.73,12402500,UNH
2006-03-14,55.45,56.94,55.45,56.89,7643900,UNH
2006-03-15,56.9,57.52,56.55,57.34,6608100,UNH
2006-03-16,57.29,57.34,56.46,56.57,6071400,UNH
2006-03-17,56.9,56.91,56.15,56.69,6645800,UNH
2006-03-20,56.58,56.91,56.15,56.53,4382800,UNH
2006-03-21,56.74,56.91,55.56,56.21,5928200,UNH
2006-03-22,55.0,56.91,55.0,56.64,4434600,UNH
2006-03-23,56.25,56.55,55.85,56.37,5577700,UNH
