Date,Open,High,Low,Close,Volume,Name
2006-01-03,56.45,56.66,55.46,56.53,3716500,UTX
2006-01-04,56.8,56.8,55.84,56.19,3114500,UTX
2006-01-05,56.3,56.49,55.63,55.98,3118900,UTX
2006-01-06,56.45,56.67,56.1,56.16,2874300,UTX
2006-01-09,56.37,56.9,56.16,56.8,2467200,UTX
2006-01-10,56.44,57.02,56.05,56.84,3677300,UTX
2006-01-11,56.7,56.77,55.59,55.98,3161100,UTX
2006-01-12,55.75,55.92,55.12,55.46,4025300,UTX
2006-01-13,55.55,55.95,55.55,55.66,2136600,UTX
2006-01-17,55.85,56.48,55.82,55.98,3092600,UTX
2006-01-18,56.15,56.53,55.39,55.99,2574400,UTX
2006-01-19,55.65,56.31,55.28,55.98,2620600,UTX
2006-01-20,55.98,56.06,54.7,55.01,4392700,UTX
2006-01-23,55.01,55.08,54.2,54.47,3238400,UTX
2006-01-24,55.76,56.73,55.15,56.45,6805800,UTX
2006-01-25,56.45,57.0,56.43,57.0,6485500,UTX
2006-01-26,57.47,57.55,56.48,57.52,6675600,UTX
2006-01-27,58.24,59.34,57.6,58.75,6284200,UTX
2006-01-30,58.54,58.8,57.86,58.36,4657500,UTX
2006-01-31,58.0,58.98,57.98,58.37,3981300,UTX
2006-02-01,58.12,58.84,57.6,58.0,4622900,UTX
2006-02-02,58.2,58.4,57.63,57.75,3668600,UTX
2006-02-03,57.76,57.98,57.0,57.18,4889200,UTX
2006-02-06,57.35,57.36,56.86,57.09,3623100,UTX
2006-02-07,57.21,57.22,56.75,56.89,3313600,UTX
2006-02-08,56.79,57.01,56.51,56.72,2780900,UTX
2006-02-09,56.84,57.09,56.2,56.71,2973100,UTX
2006-02-10,56.93,57.46,56.47,57.13,2918800,UTX
2006-02-13,57.15,57.46,56.89,57.34,2523400,UTX
2006-02-14,57.34,58.35,57.16,58.13,2685300,UTX
2006-02-15,57.92,58.39,57.65,58.13,2384000,UTX
2006-02-16,58.1,58.33,57.84,58.2,2618600,UTX
2006-02-17,58.3,58.42,57.66,58.0,3250400,UTX
2006-02-21,58.25,58.94,58.07,58.83,3188400,UTX
2006-02-22,58.94,58.99,58.53,58.88,3469400,UTX
2006-02-23,58.88,58.95,58.5,58.55,2292400,UTX
2006-02-24,58.35,59.15,58.07,58.89,2475600,UTX
2006-02-27,58.88,59.3,58.76,58.76,3247100,UTX
2006-02-28,58.7,59.15,58.19,58.5,3531800,UTX
2006-03-01,58.5,59.09,58.41,58.7,3421800,UTX
2006-03-02,58.5,58.82,58.02,58.29,3299100,UTX
