Date,Open,High,Low,Close,Volume,Name
2006-01-03,30.2,30.47,30.04,30.38,12903800,VZ
2006-01-04,30.57,31.29,30.45,31.27,31004500,VZ
2006-01-05,31.28,31.91,31.22,31.63,20664000,VZ
2006-01-06,31.6,31.6,31.16,31.35,57704300,VZ
2006-01-09,31.39,31.52,31.21,31.48,17600000,VZ
2006-01-10,31.8,31.84,31.52,31.61,30254800,VZ
2006-01-11,31.8,32.07,31.63,31.99,19609600,VZ
2006-01-12,32.05,32.3,31.9,32.11,24601600,VZ
2006-01-13,32.28,32.33,31.85,32.18,20380200,VZ
2006-01-17,31.92,32.07,31.35,31.48,18634600,VZ
2006-01-18,31.34,31.38,31.01,31.19,15106600,VZ
2006-01-19,31.55,31.62,31.13,31.42,16658200,VZ
2006-01-20,31.5,31.5,30.84,30.94,13577500,VZ
2006-01-23,31.05,31.2,30.85,31.0,10590800,VZ
2006-01-24,31.18,31.4,30.87,30.89,12571300,VZ
2006-01-25,31.0,31.48,31.0,31.38,12102300,VZ
2006-01-26,31.76,31.88,31.24,31.68,14539200,VZ
2006-01-27,31.85,32.15,31.56,32.14,15859700,VZ
2006-01-30,32.25,32.27,31.79,31.9,11254400,VZ
2006-01-31,31.91,31.96,31.63,31.66,12090900,VZ
2006-02-01,31.68,31.84,31.31,31.8,15500600,VZ
2006-02-02,31.8,31.86,31.39,31.54,10022000,VZ
2006-02-03,31.35,31.72,31.25,31.61,11965600,VZ
2006-02-06,31.71,31.8,31.5,31.55,8868000,VZ
2006-02-07,31.61,31.75,31.35,31.5,7631500,VZ
2006-02-08,31.73,32.63,31.61,32.59,20371000,VZ
2006-02-09,32.62,32.79,32.38,32.66,14525700,VZ
2006-02-10,32.74,33.18,32.55,33.18,13706300,VZ
2006-02-13,32.98,33.18,32.9,32.94,9949000,VZ
2006-02-14,32.91,33.75,32.9,33.52,16445000,VZ
2006-02-15,33.62,34.37,33.58,34.15,19554300,VZ
2006-02-16,34.34,34.6,34.1,34.55,12173200,VZ
2006-02-17,34.55,34.8,34.44,34.78,13900900,VZ
2006-02-21,34.83,34.99,34.19,34.35,14122300,VZ
2006-02-22,34.52,34.99,33.96,33.99,11467700,VZ
2006-02-23,34.0,34.15,33.78,33.92,9207500,VZ
2006-02-24,34.06,34.2,33.63,33.81,7734900,VZ
2006-02-27,34.0,34.61,33.75,34.06,10444300,VZ
2006-02-28,34.14,34.49,33.7,33.7,10824900,VZ
2006-03-01,33.91,34.36,33.86,34.2,8349800,VZ
2006-03-02,34.2,34.2,33.83,34.0,10426200,VZ
2006-03-03,33.83,33.94,33.51,33.58,12672000,VZ
2006-03-06,33.7,34.21,33.17,33.73,19214600,VZ
2006-03-07,33.73,33.77,33.28,33.51,7245700,VZ
2006-03-08,33.51,33.77,33.43,33.44,10491500,VZ
2006-03-09,33.5,33.88,33.48,33.58,10765800,VZ
2006-03-10,34.0,34.24,33.9,34.19,9774400,VZ
2006-03-13,34.38,34.66,34.13,34.32,8951400,VZ
2006-03-14,34.1,34.48,34.02,34.39,12995300,VZ
2006-03-15,34.19,34.48,34.11,34.39,8076700,VZ
2006-03-16,34.5,34.71,34.26,34.52,9610300,VZ
2006-03-17,34.66,34.83,34.27,34.41,14646700,VZ
2006-03-20,34.35,34.52,33.5,34.22,10706500,VZ
2006-03-21,34.23,34.63,34.11,34.35,9119000,VZ
2006-03-22,33.7,34.89,33.7,34.81,9297800,VZ
2006-03-23,34.91,34.96,34.64,34.72,7965300,VZ
2006-03-24,34.72,35.0,34.5,34.97,9612800,VZ
2006-03-27,34.97,35.17,34.8,34.93,10780600,VZ
2006-03-28,34.91,35.0,34.47,34.55,9591600,VZ
2006-03-29,34.6,35.14,34.6,35.02,7823800,VZ
2006-03-30,34.88,35.01,34.35,34.49,13231900,VZ
2006-03-31,34.58,34.75,34.03,34.06,18134000,VZ
2006-04-03,34.25,34.72,34.15,34.42,13534100,VZ
2006-04-04,34.59,34.71,34.36,34.6,6894100,VZ
2006-04-05,34.5,34.66,34.25,34.44,9062700,VZ
2006-04-06,34.0,34.1,33.53,33.68,9662900,VZ
2006-04-07,33.8,34.0,33.49,33.79,11708100,VZ
2006-04-10,33.77,33.89,33.48,33.48,7775000,VZ
2006-04-11,33.48,33.56,32.53,32.74,13245200,VZ
2006-04-12,33.0,33.15,32.67,33.02,9476100,VZ
2006-04-13,32.7,33.0,32.3,32.81,6344300,VZ
2006-04-17,32.75,32.97,32.45,32.47,7716600,VZ
2006-04-18,32.6,33.38,32.6,33.2,11262600,VZ
