Date,Open,High,Low,Close,Volume,Name
2006-01-03,56.42,58.47,56.42,58.47,23873200,XOM
2006-01-04,58.6,58.84,58.06,58.57,19086600,XOM
2006-01-05,58.57,58.82,57.87,58.28,17158600,XOM
2006-01-06,58.76,59.56,58.76,59.43,17370000,XOM
2006-01-09,59.8,59.87,59.27,59.4,17339500,XOM
2006-01-10,59.2,60.16,59.16,59.86,17913400,XOM
2006-01-11,59.68,60.49,59.32,60.27,17327100,XOM
2006-01-12,60.5,61.0,59.6,59.64,21130500,XOM
2006-01-13,59.51,60.99,59.51,60.97,17075900,XOM
2006-01-17,61.26,61.74,61.08,61.54,18193400,XOM
2006-01-18,61.72,61.75,60.12,61.09,16232700,XOM
2006-01-19,60.68,61.7,60.42,61.5,18863000,XOM
2006-01-20,61.81,62.06,60.35,60.53,25995600,XOM
2006-01-23,60.53,61.64,60.12,61.2,19545900,XOM
2006-01-24,60.9,61.53,60.75,60.96,18075000,XOM
2006-01-25,61.34,61.65,59.55,60.21,24510200,XOM
2006-01-26,60.79,61.02,59.57,59.95,24562800,XOM
2006-01-27,60.36,61.53,60.31,61.29,21407600,XOM
2006-01-30,62.88,63.96,62.79,63.11,29444900,XOM
2006-01-31,62.75,63.45,62.3,62.75,24269200,XOM
2006-02-01,62.77,63.08,61.91,61.95,20581800,XOM
2006-02-02,61.9,62.29,61.21,61.95,21403400,XOM
2006-02-03,61.65,61.82,61.03,61.39,18829100,XOM
2006-02-06,61.7,62.61,61.65,61.97,18763400,XOM
2006-02-07,61.59,61.85,60.4,60.55,21137800,XOM
2006-02-08,60.0,60.64,59.68,60.39,21988500,XOM
2006-02-09,60.55,61.39,59.74,59.92,22554900,XOM
2006-02-10,60.05,60.93,58.6,59.43,26186400,XOM
2006-02-13,59.43,60.35,59.11,59.6,16837100,XOM
2006-02-14,59.26,59.9,58.8,59.55,21023400,XOM
2006-02-15,59.81,59.95,59.05,59.76,21673200,XOM
2006-02-16,59.9,60.25,59.51,60.25,20057500,XOM
2006-02-17,60.37,60.68,60.21,60.55,19199900,XOM
2006-02-21,61.0,61.3,60.65,60.76,17652900,XOM
2006-02-22,60.6,60.74,59.96,60.26,15710600,XOM
2006-02-23,60.01,60.54,59.63,59.83,17761700,XOM
2006-02-24,60.34,60.73,60.18,60.42,13191700,XOM
2006-02-27,60.2,60.52,59.9,59.92,12552500,XOM
2006-02-28,59.52,59.75,59.1,59.37,19193300,XOM
2006-03-01,59.59,60.54,59.53,60.34,16380400,XOM
2006-03-02,60.04,60.98,59.98,60.85,19730500,XOM
2006-03-03,60.83,61.5,60.81,60.98,18222100,XOM
2006-03-06,60.95,61.09,59.94,59.98,16294100,XOM
2006-03-07,59.9,60.02,59.45,59.85,18676200,XOM
2006-03-08,59.45,60.41,59.15,59.71,22159700,XOM
2006-03-09,59.94,60.01,58.86,58.92,21827900,XOM
2006-03-10,58.92,59.21,58.44,59.18,20252800,XOM
2006-03-13,59.68,59.96,59.45,59.64,16885400,XOM
2006-03-14,59.55,60.87,59.44,60.81,18405400,XOM
2006-03-15,60.67,61.2,60.41,61.02,17999200,XOM
