date,open,close,high,low,volume,code
2012-05-31,2.621,2.63,2.645,2.613,1781559.0,510300
2012-06-01,2.629,2.63,2.66,2.62,1793500.0,510300
2012-06-04,2.601,2.558,2.604,2.555,5460742.0,510300
2012-06-05,2.562,2.561,2.572,2.556,1271674.0,510300
2012-06-06,2.563,2.559,2.574,2.548,1369227.0,510300
2012-06-07,2.578,2.543,2.583,2.536,3364240.0,510300
2012-06-08,2.558,2.534,2.56,2.53,2101822.0,510300
2012-06-11,2.543,2.564,2.577,2.536,2254555.0,510300
2012-06-12,2.55,2.548,2.562,2.538,1577237.0,510300
2012-06-13,2.56,2.585,2.588,2.55,1881335.0,510300
2012-06-14,2.58,2.574,2.598,2.571,1525546.0,510300
2012-06-15,2.582,2.584,2.594,2.557,1598352.0,510300
2012-06-18,2.589,2.592,2.608,2.588,1321265.0,510300
2012-06-19,2.59,2.573,2.59,2.572,1050116.0,510300
2012-06-20,2.58,2.57,2.587,2.57,1192773.0,510300
2012-06-21,2.563,2.53,2.564,2.517,1792241.0,510300
2012-06-25,2.527,2.48,2.527,2.476,2314811.0,510300
2012-06-26,2.472,2.48,2.485,2.462,1852289.0,510300
2012-06-27,2.478,2.471,2.493,2.47,1513657.0,510300
2012-06-28,2.48,2.457,2.486,2.455,1695739.0,510300
2012-06-29,2.451,2.485,2.488,2.448,1972042.0,510300
2012-07-02,2.495,2.485,2.495,2.476,1862222.0,510300
2012-07-03,2.488,2.489,2.516,2.482,1469031.0,510300
2012-07-04,2.494,2.489,2.504,2.484,1103364.0,510300
2012-07-05,2.479,2.461,2.479,2.452,2087739.0,510300
2012-07-06,2.466,2.501,2.512,2.452,1757978.0,510300
2012-07-09,2.489,2.451,2.499,2.448,1648643.0,510300
2012-07-10,2.449,2.441,2.453,2.438,2041959.0,510300
2012-07-11,2.438,2.452,2.458,2.435,1692976.0,510300
2012-07-12,2.446,2.474,2.487,2.437,2660444.0,510300
2012-07-13,2.473,2.478,2.496,2.471,1778904.0,510300
2012-07-16,2.481,2.438,2.482,2.437,2273611.0,510300
2012-07-17,2.437,2.443,2.449,2.431,2585328.0,510300
2012-07-18,2.441,2.443,2.451,2.406,3152959.0,510300
2012-07-19,2.441,2.451,2.473,2.437,3380439.0,510300
2012-07-20,2.445,2.433,2.451,2.427,2702978.0,510300
2012-07-23,2.411,2.403,2.411,2.392,1856885.0,510300
2012-07-24,2.397,2.408,2.423,2.395,2304236.0,510300
2012-07-25,2.4,2.393,2.414,2.39,1389067.0,510300
2012-07-26,2.395,2.382,2.407,2.38,2548959.0,510300
2012-07-27,2.389,2.385,2.396,2.377,3724685.0,510300
2012-07-30,2.389,2.377,2.399,2.372,2303206.0,510300
2012-07-31,2.378,2.371,2.385,2.366,4214983.0,510300
