"","Date","Open","High","Low","Close","Volume"
"1",2014-01-02,3.82,3.84,3.8,3.82,57317900
"2",2014-01-03,3.81,3.83,3.76,3.79,64039600
"3",2014-01-06,3.79,3.79,3.72,3.75,73494700
"4",2014-01-07,3.73,3.79,3.72,3.77,48477500
"5",2014-01-08,3.77,3.84,3.76,3.8,47952000
"6",2014-01-09,3.78,3.83,3.77,3.79,39753200
"7",2014-01-10,3.78,3.81,3.77,3.8,37357200
"8",2014-01-13,3.81,3.84,3.8,3.82,44518700
"9",2014-01-14,3.82,3.83,3.77,3.79,55034200
"10",2014-01-15,3.79,3.8,3.74,3.76,39736400
"11",2014-01-16,3.76,3.78,3.73,3.76,37814000
"12",2014-01-17,3.75,3.76,3.71,3.72,44992400
"13",2014-01-20,3.73,3.73,3.7,3.72,32265900
"14",2014-01-21,3.72,3.75,3.71,3.73,33321300
"15",2014-01-22,3.73,3.79,3.72,3.78,53780400
"16",2014-01-23,3.77,3.77,3.74,3.74,33085400
"17",2014-01-24,3.73,3.77,3.72,3.74,46876600
"18",2014-01-27,3.73,3.76,3.72,3.75,90916700
"19",2014-01-28,3.76,3.82,3.75,3.8,71124800
"20",2014-01-29,3.81,3.82,3.79,3.8,32012100
"21",2014-01-30,3.8,3.81,3.78,3.78,26525000
"22",2014-01-31,3.78,3.78,3.78,3.78,0
"23",2014-02-03,3.78,3.78,3.78,3.78,0
"24",2014-02-05,3.78,3.78,3.78,3.78,0
"25",2014-02-06,3.78,3.78,3.78,3.78,0
"26",2014-02-07,3.77,3.77,3.73,3.77,35350200
"27",2014-02-10,3.78,3.81,3.77,3.8,65539000
"28",2014-02-11,3.81,3.91,3.8,3.87,130768600
"29",2014-02-12,3.86,3.93,3.85,3.88,74340100
"30",2014-02-13,3.87,3.98,3.85,3.92,117624100
"31",2014-02-14,3.91,3.93,3.89,3.9,50428600
"32",2014-02-17,3.92,3.93,3.88,3.89,50578500
"33",2014-02-18,3.89,3.9,3.82,3.83,47238900
"34",2014-02-19,3.83,3.95,3.81,3.92,89208500
"35",2014-02-20,3.91,4.02,3.89,3.9,92178200
"36",2014-02-21,3.9,3.92,3.84,3.86,50811400
"37",2014-02-24,3.84,3.84,3.76,3.79,100610800
"38",2014-02-25,3.8,3.82,3.76,3.78,52877900
"39",2014-02-26,3.76,3.79,3.74,3.77,37262700
"40",2014-02-27,3.75,3.82,3.74,3.8,75112700
"41",2014-02-28,3.78,3.81,3.75,3.79,51510600
"42",2014-03-03,3.77,3.78,3.74,3.76,66013200
"43",2014-03-04,3.75,3.76,3.71,3.76,56782900
"44",2014-03-05,3.75,3.76,3.71,3.72,43951700
"45",2014-03-06,3.72,3.75,3.7,3.73,49919100
"46",2014-03-07,3.73,3.76,3.7,3.71,43874000
"47",2014-03-10,3.69,3.7,3.62,3.64,69157700
"48",2014-03-11,3.63,3.67,3.62,3.63,47821000
"49",2014-03-12,3.63,3.67,3.59,3.64,65225200
"50",2014-03-13,3.66,3.78,3.65,3.7,89483200
"51",2014-03-14,3.67,3.7,3.63,3.65,52148400
"52",2014-03-17,3.67,3.68,3.65,3.67,29287100
"53",2014-03-18,3.67,3.68,3.65,3.66,33024300
"54",2014-03-19,3.65,3.66,3.62,3.65,31832500
"55",2014-03-20,3.64,3.69,3.63,3.64,37494200
"56",2014-03-21,3.62,3.78,3.61,3.77,124537600
"57",2014-03-24,3.81,3.84,3.77,3.82,118043800
"58",2014-03-25,3.8,3.82,3.77,3.78,48919800
"59",2014-03-26,3.8,3.81,3.77,3.78,40895100
"60",2014-03-27,3.78,3.83,3.74,3.78,71222100
"61",2014-03-28,3.77,3.85,3.77,3.82,102641200
"62",2014-03-31,3.81,3.81,3.75,3.78,84760300
"63",2014-04-01,3.77,3.81,3.76,3.78,54590100
"64",2014-04-02,3.78,3.81,3.77,3.8,61663200
"65",2014-04-03,3.81,3.82,3.72,3.74,108936100
"66",2014-04-04,3.74,3.77,3.72,3.76,62512500
"67",2014-04-07,3.76,3.76,3.76,3.76,0
"68",2014-04-08,3.76,3.88,3.75,3.85,169960900
"69",2014-04-09,3.85,3.86,3.81,3.84,104337200
"70",2014-04-10,3.84,3.92,3.82,3.88,128549200
"71",2014-04-11,3.87,3.91,3.85,3.89,120642800
"72",2014-04-14,3.88,3.9,3.85,3.87,50910900
"73",2014-04-15,3.86,3.87,3.78,3.79,83116600
"74",2014-04-16,3.78,3.82,3.77,3.79,55878200
"75",2014-04-17,3.8,3.81,3.78,3.78,31771100
"76",2014-04-18,3.78,3.79,3.75,3.78,35952000
"77",2014-04-21,3.77,3.8,3.72,3.72,53998600
"78",2014-04-22,3.72,3.75,3.71,3.74,50759500
"79",2014-04-23,3.73,3.74,3.72,3.73,46225300
"80",2014-04-24,3.73,3.75,3.71,3.73,42153200
"81",2014-04-25,3.73,3.77,3.72,3.73,62428600
"82",2014-04-28,3.73,3.74,3.7,3.71,62301300
