"","Date","Open","High","Low","Close","Volume"
"1",2014-01-01,8.03,8.03,8.03,8.03,0
"2",2014-01-02,7.99,8.07,7.92,7.99,48529900
"3",2014-01-03,7.97,7.97,7.76,7.84,54046700
"4",2014-01-06,7.82,7.84,7.37,7.48,123159400
"5",2014-01-07,7.43,7.51,7.34,7.43,60114900
"6",2014-01-08,7.45,7.51,7.38,7.42,59453200
"7",2014-01-09,7.43,7.52,7.35,7.46,81723400
"8",2014-01-10,7.42,7.47,7.37,7.38,46769800
"9",2014-01-13,7.39,7.42,7.06,7.24,118755400
"10",2014-01-14,7.18,7.26,7.13,7.23,86962300
"11",2014-01-15,7.21,7.23,7.12,7.17,49175300
"12",2014-01-16,7.18,7.22,7.12,7.19,47695000
"13",2014-01-17,7.17,7.18,7.08,7.08,55566700
"14",2014-01-20,7.06,7.16,7.04,7.13,41191600
"15",2014-01-21,7.15,7.27,7.15,7.22,48030600
"16",2014-01-22,7.24,7.68,7.22,7.62,114057600
"17",2014-01-23,7.64,7.66,7.43,7.49,78757300
"18",2014-01-24,7.47,7.93,7.45,7.79,136181500
"19",2014-01-27,7.7,7.77,7.58,7.65,70673900
"20",2014-01-28,7.7,7.79,7.53,7.64,42356600
"21",2014-01-29,7.67,7.68,7.48,7.54,50799100
"22",2014-01-30,7.52,7.52,7.36,7.38,39253800
"23",2014-01-31,7.38,7.38,7.38,7.38,0
"24",2014-02-03,7.38,7.38,7.38,7.38,0
"25",2014-02-05,7.38,7.38,7.38,7.38,0
"26",2014-02-06,7.38,7.38,7.38,7.38,0
"27",2014-02-07,7.34,7.41,7.24,7.41,49853000
"28",2014-02-10,7.45,7.55,7.42,7.51,106237900
"29",2014-02-11,7.5,7.62,7.43,7.55,108444600
"30",2014-02-12,7.53,7.61,7.49,7.52,83775400
"31",2014-02-13,7.52,7.52,7.38,7.41,84305100
"32",2014-02-14,7.41,7.45,7.3,7.37,95328700
"33",2014-02-17,7.4,7.42,7.3,7.37,85133900
"34",2014-02-18,7.36,7.36,7.26,7.27,78169400
"35",2014-02-19,7.27,7.4,7.23,7.37,91851700
"36",2014-02-20,7.37,7.48,7.3,7.32,90021800
"37",2014-02-21,7.31,7.35,7.1,7.16,104226500
"38",2014-02-24,7,7.01,6.62,6.69,190424600
"39",2014-02-25,6.7,6.74,6.55,6.57,129932400
"40",2014-02-26,6.57,6.71,6.52,6.68,94190400
"41",2014-02-27,6.68,6.69,6.55,6.59,79014200
"42",2014-02-28,6.61,6.74,6.58,6.72,67940800
"43",2014-03-03,6.67,6.71,6.56,6.64,76074300
"44",2014-03-04,7,7.1,6.78,6.92,212249600
"45",2014-03-05,6.92,6.92,6.75,6.76,59026200
"46",2014-03-06,6.76,7.43,6.69,7.32,266097000
"47",2014-03-07,7.34,7.46,7.23,7.27,171953500
"48",2014-03-10,7.22,7.33,7.04,7.15,116402600
"49",2014-03-11,7.19,7.59,7.15,7.5,189248800
"50",2014-03-12,7.48,7.85,7.42,7.6,208987200
"51",2014-03-13,7.58,7.85,7.53,7.71,149235800
"52",2014-03-14,7.68,7.81,7.5,7.53,130311000
"53",2014-03-17,7.6,7.8,7.59,7.76,117707900
"54",2014-03-18,7.76,7.76,7.55,7.6,84389900
"55",2014-03-19,7.51,7.54,7.24,7.5,157546200
"56",2014-03-20,7.5,7.73,7.4,7.51,115455100
"57",2014-03-21,7.57,8.08,7.45,8.01,270439500
"58",2014-03-24,8.01,8.17,7.85,8.06,139877100
"59",2014-03-25,8.04,8.2,7.9,7.98,95754100
"60",2014-03-26,7.99,8.04,7.79,7.85,70405800
"61",2014-03-27,7.8,8.1,7.73,7.98,107800600
"62",2014-03-28,7.93,8.24,7.92,8.12,110531000
"63",2014-03-31,8.16,8.22,7.96,8.09,67897100
"64",2014-04-01,8.08,8.18,8.05,8.08,52524900
"65",2014-04-02,8.14,8.4,8.11,8.29,128655900
