nohup: ignoring input
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/pandas_datareader/compat/__init__.py:7: FutureWarning: pandas.util.testing is deprecated. Use the functions in the public API at pandas.testing instead.
  from pandas.util.testing import assert_frame_equal
/opt/conda/envs/tensorflow/lib/python3.7/site-packages/sklearn/externals/joblib/__init__.py:15: FutureWarning: sklearn.externals.joblib is deprecated in 0.21 and will be removed in 0.23. Please import this functionality directly from joblib, which can be installed with: pip install joblib. If this warning is raised when loading pickled models, you may need to re-serialize those models with scikit-learn 0.21+.
  warnings.warn(msg, category=FutureWarning)
第1次尝试:a1 = 4509, a2 = 2611, a3 = 840, a4 = 8327, a5 = 4854, 年化收益率: 0.20529001068966277

第2次尝试:a1 = 1009, a2 = 9357, a3 = 2562, a4 = 5547, a5 = 7234, 年化收益率: 0.13382638318656995

第3次尝试:a1 = 7387, a2 = 968, a3 = 1470, a4 = 6534, a5 = 5137, 年化收益率: 0.12027153992784023

第4次尝试:a1 = 8747, a2 = 7823, a3 = 6333, a4 = 9202, a5 = 3867, 年化收益率: 0.18336736742042417

第5次尝试:a1 = 7239, a2 = 203, a3 = 3911, a4 = 4273, a5 = 9252, 年化收益率: 0.0689196889801249

第6次尝试:a1 = 6708, a2 = 2085, a3 = 3963, a4 = 7336, a5 = 9492, 年化收益率: 0.1490343513874224

第7次尝试:a1 = 6653, a2 = 9357, a3 = 6810, a4 = 6836, a5 = 9706, 年化收益率: 0.15836815832849596

第8次尝试:a1 = 5964, a2 = 9766, a3 = 6315, a4 = 2371, a5 = 5051, 年化收益率: 0.12270861340298482

第9次尝试:a1 = 7077, a2 = 6934, a3 = 3201, a4 = 8247, a5 = 1906, 年化收益率: 0.2922775362888511

第10次尝试:a1 = 8377, a2 = 3712, a3 = 9995, a4 = 3329, a5 = 6578, 年化收益率: 0.1583681583284961

第11次尝试:a1 = 3230, a2 = 5649, a3 = 7440, a4 = 5772, a5 = 920, 年化收益率: 0.11979283373129504

第12次尝试:a1 = 9837, a2 = 5912, a3 = 3463, a4 = 5923, a5 = 8025, 年化收益率: 0.15836815832849596

第13次尝试:a1 = 9673, a2 = 8599, a3 = 8652, a4 = 7440, a5 = 2695, 年化收益率: 0.12318816936113525

第14次尝试:a1 = 8016, a2 = 2949, a3 = 7856, a4 = 8888, a5 = 3785, 年化收益率: 0.2583991519288942

第15次尝试:a1 = 9490, a2 = 7593, a3 = 7315, a4 = 2361, a5 = 9025, 年化收益率: 0.15836815832849596

第16次尝试:a1 = 7987, a2 = 7820, a3 = 8499, a4 = 6470, a5 = 2134, 年化收益率: 0.1294917268415062

