code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
605008,N长鸿,塑料,浙江,44.16,0.46,4.59,15.25,6.25,7.59,1.32,0.29,0.172,3.33,4.55,20200821,4.93,1.07,0.0,0.0,28.34,13.87,49542.0
605178,N时空,装修装饰,北京,44.7,0.18,0.71,17.99,16.82,0.93,2.2,3.1,1.036,28.27,3.28,20200821,6.45,9.09,0.0,0.0,39.15,17.75,17739.0
688229,博睿数据,软件服务,北京,460.43,0.1,0.44,2.34,2.26,0.04,0.05,0.1,0.08,19.32,7.59,20200817,1.5,3.38,0.0,0.0,74.73,12.33,12136.0
688069,德林海,环境保护,江苏,143.96,0.14,0.59,4.13,3.13,0.05,0.8,1.34,0.23600000000000002,21.15,6.42,20200722,1.82,3.05,0.0,0.0,49.42,29.16,15756.0
600983,惠而浦,家用电器,安徽,0.0,5.33,7.66,68.03,46.8,12.71,12.39,1.62,-0.151,4.7,1.35,20040727,13.18,1.72,-19.9,-93.35,17.63,-5.37,25529.0
002141,贤丰控股,元器件,广东,1671.44,6.37,11.35,18.53,4.62,2.96,1.73,0.15,0.001,1.26,3.02,20070720,0.98,0.09,-20.57,-76.72,5.4,0.41,47835.0
300313,天山生物,农业综合,新疆,0.0,1.84,3.13,11.04,1.2,2.53,19.56,6.25,-0.015,0.44,17.61,20120425,-3.32,-1.06,35.86,42.62,13.5,-12.38,15554.0
000959,首钢股份,普钢,北京,32.0,50.57,52.89,1420.74,247.98,813.57,200.95,3.8,0.038,5.12,0.94,19991216,-18.53,-0.35,11.46,-27.52,9.25,1.16,99826.0
002026,山东威达,机械基件,山东,33.94,4.2,4.2,29.25,20.34,6.12,12.49,2.97,0.073,5.62,1.75,20040727,5.62,1.34,-13.71,2.51,25.2,9.46,23459.0
603997,继峰股份,汽车配件,浙江,0.0,6.32,10.21,168.8,64.92,32.35,26.61,2.61,-0.349,3.9,2.13,20150302,2.23,0.22,-26.68,-331.54,9.55,-5.34,27128.0
002027,分众传媒,影视音像,广东,62.48,146.78,146.78,195.77,122.24,13.68,3.88,0.03,0.055999999999999994,0.93,7.54,20040804,144.46,0.98,-19.35,5.85,50.84,17.86,199951.0
000722,湖南发展,水力发电,湖南,25.83,4.64,4.64,32.54,14.77,14.35,21.35,4.6,0.161,6.5,1.28,19970522,3.65,0.79,-18.95,-13.54,59.96,56.3,34136.0
600726,华电能源,火力发电,黑龙江,7.95,15.35,19.67,232.97,40.47,163.72,17.08,0.87,0.09,0.94,3.02,19960701,-20.58,-1.05,12.02,21.91,14.07,5.32,158571.0
300254,仟源医药,化学制药,山西,0.0,1.61,2.08,18.96,5.94,3.29,4.26,2.04,-0.21,3.71,2.45,20110819,1.2,0.58,-40.4,-319.75,67.3,-28.9,15803.0
300245,天玑科技,软件服务,上海,245.02,3.08,3.13,15.85,10.83,2.18,6.8,2.17,0.012,4.62,2.47,20110719,3.8,1.21,-9.22,-48.52,31.0,5.2,25968.0
002852,道道全,食品,湖南,33.16,2.06,2.89,29.11,17.33,7.6,10.45,3.62,0.42,6.92,3.38,20170310,7.94,2.75,32.5,-22.63,11.23,4.45,20786.0
600823,世茂股份,全国地产,上海,9.12,37.51,37.51,1348.35,788.73,16.69,7.78,0.21,0.27699999999999997,7.07,0.71,19940204,173.49,4.62,-28.58,-34.48,37.72,11.35,45317.0
