code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,ar
300276,三丰智能,专用机械,湖北,130.15,8.07,14.31,53.95,26.54,2.47,17.42,1.22,0.025,2.52,2.62,20111115.0,5.32,0.37,-27.99,-73.4,20.64,5.14,36635.0,0.0
300100,双林股份,汽车服务,浙江,54.16,3.81,4.57,57.45,30.08,18.86,10.43,2.28,0.11,3.93,3.02,20100806.0,1.85,0.41,-34.51,347.94,22.23,3.35,24634.0,0.0
300008,天海防务,船舶,上海,84.23,7.43,9.6,17.7,6.0,3.55,11.63,1.21,0.042,0.46,15.41,20091030.0,-17.39,-1.81,-33.29,194.88,31.12,17.5,67642.0,0.0
300722,新余国科,专用机械,江西,155.86,0.36,1.46,5.17,2.74,1.91,1.39,0.95,0.081,2.97,8.49,20171110.0,1.16,0.8,-10.0,-28.66,44.13,12.86,10288.0,0.0
300317,珈伟新能,半导体,深圳,141.27,7.69,8.24,40.99,17.63,13.97,33.89,4.11,0.021,2.34,2.51,20120511.0,-22.93,-2.78,-21.47,161.87,40.54,4.29,27206.0,0.0
300265,通光线缆,电气设备,江苏,71.05,3.53,3.54,23.34,15.63,3.87,3.05,0.86,0.1,3.31,4.02,20110916.0,4.7,1.33,-7.6,19.13,28.22,5.2,35030.0,0.0
300589,江龙船艇,船舶,广东,259.19,0.95,2.03,9.29,5.55,2.72,0.1,0.05,0.04,1.78,11.52,20170113.0,1.3,0.64,2.5,-6.35,20.68,3.98,13577.0,0.0
300447,全信股份,电气设备,江苏,37.16,1.7,2.91,16.13,12.35,1.4,5.08,1.74,0.209,3.96,3.92,20150422.0,3.19,1.09,4.99,-15.46,50.29,18.53,15048.0,0.0
300095,华伍股份,机械基件,江西,35.94,2.76,3.79,27.24,15.76,3.72,5.8,1.53,0.224,3.42,4.71,20100728.0,3.47,0.92,26.63,159.57,43.27,14.9,18106.0,0.0
300697,电工合金,铜,江苏,40.23,0.52,2.08,12.87,10.54,1.67,3.17,1.52,0.238,4.28,4.49,20170907.0,3.25,1.56,-29.01,-37.45,13.59,6.75,13929.0,0.0
300160,秀强股份,玻璃,江苏,53.99,5.83,6.19,17.02,9.31,3.92,1.98,0.32,0.092,1.53,6.5,20110113.0,1.06,0.17,-21.22,-25.23,35.09,10.69,62726.0,0.0
300719,安达维尔,航空,北京,77.99,1.33,2.54,13.09,11.65,1.21,4.53,1.78,0.122,3.88,4.92,20171109.0,2.54,1.0,24.49,1721.81,46.66,14.66,16786.0,0.0
300187,永清环保,环境保护,湖南,77.05,6.35,6.45,30.0,12.54,3.9,3.64,0.56,0.061,2.25,4.16,20110308.0,3.13,0.49,-26.04,32.7,33.48,14.22,23741.0,0.0
701,厦门信达,综合类,福建,200.03,4.07,4.07,231.14,179.55,15.98,17.43,4.29,-0.15,0.39,16.79,19970226.0,-21.54,-5.3,-24.45,34.35,2.27,0.02,40511.0,0.0
906,浙商中拓,批发业,浙江,12.51,6.62,6.74,245.53,230.77,3.45,6.35,0.94,0.26,3.96,1.83,19990707.0,12.71,1.88,47.9,-33.93,1.88,0.43,20848.0,0.0
603025,大豪科技,IT设备,北京,73.08,9.18,9.26,18.59,12.8,1.13,2.02,0.22,0.076,1.8,6.16,20150422.0,3.35,0.36,-35.49,-57.35,41.93,19.98,20020.0,0.0
601633,长城汽车,汽车整车,河北,61.45,60.28,91.77,1193.63,742.86,278.12,16.97,0.18,0.125,5.81,2.64,20110928.0,371.98,4.05,-10.88,-24.46,14.72,3.19,73666.0,0.0
2863,今飞凯达,汽车配件,浙江,49.66,3.77,3.77,48.51,21.43,15.59,1.4,0.37,0.075,2.73,2.74,20170418.0,4.62,1.23,0.72,45.84,15.51,2.19,21983.0,0.0
300279,和晶科技,元器件,江苏,249.34,4.4,4.49,22.56,11.8,2.39,9.97,2.22,0.014,2.01,3.39,20111229.0,-5.12,-1.14,-5.73,-72.77,16.19,0.9,24526.0,0.0
903,云内动力,机械基件,云南,44.52,17.67,19.71,147.95,91.8,31.86,23.43,1.19,0.083,2.88,2.55,19990415.0,11.03,0.56,29.4,10.54,11.76,3.7,72107.0,0.0
555,神州信息,软件服务,深圳,62.27,9.56,9.7,101.19,71.76,4.7,23.34,2.4,0.161,5.53,3.64,19940408.0,20.16,2.08,5.91,21.34,16.62,3.58,68404.0,0.0
600764,中国海防,通信设备,北京,70.45,3.29,7.11,89.45,77.4,7.38,30.07,4.23,0.33,9.14,4.82,19961104.0,27.36,3.85,-9.35,1.39,33.87,12.73,15792.0,0.0
2362,汉王科技,软件服务,北京,84.25,1.79,2.17,13.15,10.01,1.83,9.73,4.48,0.139,4.08,5.73,20100303.0,-3.27,-1.51,61.49,34.4,51.1,5.37,46004.0,0.0
603757,大元泵业,专用机械,浙江,17.6,1.64,1.64,15.11,11.74,2.99,4.12,2.51,0.606,6.96,3.07,20170711.0,5.23,3.19,14.87,33.97,31.15,17.08,7494.0,0.0
2919,名臣健康,日用化工,广东,154.13,0.45,1.22,7.26,6.45,0.49,3.23,2.65,0.131,4.66,8.66,20171218.0,1.06,0.87,3.22,22.89,37.43,6.68,12545.0,0.0
2594,比亚迪,汽车整车,深圳,76.72,11.46,27.28,1976.36,1088.5,485.39,263.55,9.66,0.56,20.28,4.61,20110630.0,223.88,8.21,-2.7,14.29,19.6,2.75,104331.0,0.0
2228,合兴包装,广告包装,福建,21.41,11.65,11.7,68.04,44.43,12.86,4.3,0.37,0.118,2.54,1.99,20080508.0,13.06,1.12,-13.14,3.32,13.17,2.9,30636.0,0.0
2459,晶澳科技,电气设备,河北,23.66,3.87,13.51,305.99,160.81,109.62,39.65,2.93,0.519,6.47,3.8,20100810.0,31.49,2.33,22.73,77.74,23.28,6.44,21761.0,0.0
2884,凌霄泵业,专用机械,广东,17.64,2.09,2.52,21.44,19.35,1.38,7.58,3.0,0.67,7.97,2.78,20170711.0,8.26,3.27,10.1,31.48,36.19,27.9,12886.0,0.0
2046,轴研科技,机械基件,河南,115.85,4.09,5.24,44.73,22.51,10.38,15.37,2.93,0.044,5.19,1.97,20050526.0,5.66,1.08,11.39,-28.36,25.1,2.26,51401.0,0.0
416,民生控股,多元金融,山东,102.28,5.32,5.32,9.26,7.44,0.32,0.28,0.05,0.03,1.66,3.72,19960719.0,2.73,0.51,-18.64,-15.66,99.92,52.82,39073.0,0.0
547,航天发展,通信设备,福建,57.33,12.05,16.05,111.52,61.08,6.82,53.91,3.36,0.194,4.94,4.52,19931130.0,21.12,1.32,29.47,40.15,36.52,16.16,103695.0,0.0
10,美丽生态,建筑工程,深圳,241.76,5.22,8.2,45.41,38.31,0.42,14.78,1.8,0.011,0.56,9.31,19951027.0,-18.49,-2.25,17.02,-13.83,19.89,1.59,27940.0,0.0
300004,南风股份,电气设备,广东,25.2,4.19,4.8,28.43,16.11,8.44,20.43,4.26,0.17,4.3,1.99,20091030.0,-5.19,-1.08,-24.43,1035.3,20.09,35.41,19154.0,0.0
300397,天和防务,通信设备,陕西,94.59,3.15,4.32,20.22,11.65,3.64,3.49,0.81,0.145,2.78,9.86,20140910.0,3.77,0.87,97.72,41.81,38.42,8.9,48624.0,0.0
